trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	68.08	82.6885492831	24403.4027661	14016.8213995	25655.1834857	28761.7660545	35776.1258037	None	7014.35974916	3	5	6	38	0	1	1	115	[236, 189]	-77	1	0	1	91	[1057, 457]	-53	0	1	1	178	[1419, 914]	40	0	1	1	158	[472, 629]	60	1	0	1	53	[261, 931]	-15	0	1	1	127	[802, 750]	-89	1	0	1	23	[1102, 136]	15	0	1	1	138	[622, 224]	80	15	38	23	115	91	178	158	53	127	138
2	8	collaborate	contingent	97.3	171.98885718	51825.6047556	41186.8713692	53245.6944028	56351.6161086	63381.9285689	None	7030.31246025	3	5	3	120	0	1	1	179	[199, 274]	-59	0	1	1	61	[399, 387]	59	0	1	1	81	[1144, 268]	39	1	0	1	124	[916, 768]	-4	1	0	1	26	[1069, 623]	-86	1	0	1	154	[1027, 914]	-34	0	1	1	41	[466, 587]	79	0	1	1	144	[373, 922]	-24	-4	120	124	179	61	81	26	154	41	144
3	8	collaborate	contingent	87.05	265.172479227	74087.3526666	68208.3847857	75339.3599049	78446.8236244	85476.7820116	None	7029.95838726	3	5	6	152	0	1	1	5	[716, 870]	-33	1	0	1	78	[1129, 133]	74	0	1	1	121	[237, 916]	31	0	1	1	30	[472, 144]	-58	1	0	1	88	[1482, 599]	64	0	1	1	149	[239, 207]	3	1	0	1	161	[874, 287]	-9	0	1	1	173	[523, 788]	-21	-9	152	161	5	78	121	30	88	149	173
4	8	collaborate	contingent	99.32	359.644058498	97969.1091472	91239.3841329	100974.841391	104081.112405	111179.001492	None	7097.88908718	3	5	0	75	1	0	1	77	[1302, 366]	-2	0	1	1	142	[377, 491]	-67	0	1	1	53	[1268, 150]	22	0	1	1	101	[276, 212]	-26	1	0	1	41	[1232, 684]	34	1	0	1	177	[1444, 899]	78	0	1	1	164	[218, 389]	-89	0	1	1	28	[704, 153]	47	-2	75	77	142	53	101	41	177	164	28
5	8	collaborate	contingent	98.47	424.74913441	126728.772756	119445.773135	128580.664682	131687.033561	138751.390909	None	7064.35734835	3	5	6	177	1	0	1	50	[753, 875]	-53	0	1	1	13	[294, 885]	-16	0	1	1	138	[403, 538]	39	0	1	1	62	[492, 251]	-65	0	1	1	157	[1397, 785]	20	1	0	1	103	[1265, 297]	74	1	0	1	0	[1327, 131]	-3	0	1	1	117	[906, 122]	60	-3	177	0	50	13	138	62	157	103	117
6	8	collaborate	contingent	95.81	504.941410768	153615.386927	143895.210155	154934.850569	158040.668179	165088.251044	None	7047.58286536	3	5	3	150	0	1	1	31	[343, 376]	-61	0	1	1	68	[1170, 625]	82	0	1	1	98	[736, 108]	52	1	0	1	155	[1340, 496]	-5	1	0	1	173	[665, 420]	-23	0	1	1	42	[580, 214]	-72	0	1	1	135	[936, 234]	15	1	0	1	11	[1482, 157]	-41	-5	150	155	31	68	98	173	42	135	11
7	8	collaborate	contingent	87.05	595.477414898	176812.345712	169998.27985	179533.849342	182640.464166	189655.379949	None	7014.91578304	3	5	4	16	0	1	1	36	[557, 942]	-20	0	1	1	94	[692, 789]	-78	0	1	1	164	[439, 525]	32	1	0	1	146	[1158, 501]	50	1	0	1	7	[850, 907]	9	0	1	1	111	[508, 343]	85	0	1	1	48	[803, 136]	-32	1	0	1	133	[1003, 629]	63	9	16	7	36	94	164	146	111	48	133
8	8	collaborate	contingent	97.3	645.40465453	200243.138186	194480.988003	203616.812383	206722.504638	213770.268938	None	7047.76430028	3	5	4	90	0	1	1	155	[253, 342]	-65	0	1	1	27	[809, 831]	63	1	0	1	132	[1125, 257]	-42	0	1	1	17	[1355, 154]	73	1	0	1	94	[874, 256]	-4	0	1	1	52	[1103, 894]	38	1	0	1	83	[1387, 924]	7	0	1	1	114	[696, 668]	-24	-4	90	94	155	27	132	17	52	83	114
9	8	collaborate	contingent	100.0	720.682034701	228801.111041	218646.754276	230771.045259	233877.81806	240891.788549	None	7013.97048879	3	5	2	112	0	1	1	28	[1425, 810]	84	0	1	1	62	[889, 892]	50	1	0	1	112	[352, 118]	0	1	0	1	133	[561, 242]	-21	0	1	1	47	[305, 846]	65	0	1	1	78	[1028, 637]	34	0	1	1	6	[226, 651]	-74	1	0	1	89	[1007, 224]	23	0	112	112	28	62	133	47	78	6	89
10	8	collaborate	contingent	91.95	813.668038831	253735.122612	245852.000054	254986.882805	258093.883591	265108.055674	None	7014.17208314	4	4	6	136	1	0	1	169	[691, 143]	-33	1	0	1	60	[1379, 280]	76	1	0	1	22	[306, 266]	-66	0	1	1	139	[263, 511]	-3	0	1	1	96	[479, 518]	40	0	1	1	37	[987, 921]	-81	1	0	1	129	[1287, 432]	7	0	1	1	117	[422, 942]	19	7	136	129	169	60	22	139	96	37	117
11	8	collaborate	contingent	1.07	836.128980756	275545.84164	270084.335715	276797.636654	279904.2841	286935.59207	None	7031.30796983	3	5	4	37	0	1	1	136	[775, 888]	81	1	0	1	20	[695, 360]	17	0	1	1	115	[1110, 235]	-78	0	1	1	94	[1046, 837]	-57	1	0	1	152	[883, 346]	65	0	1	1	125	[1371, 646]	-88	0	1	1	34	[346, 131]	3	1	0	1	72	[968, 121]	-35	65	37	152	136	20	115	94	125	34	72
12	8	collaborate	contingent	94.02	927.950560027	303385.592821	291746.662239	305372.392789	308478.956298	315576.659919	None	7097.70362038	3	5	5	104	0	1	1	171	[360, 224]	-67	1	0	1	144	[1153, 674]	-40	1	0	1	61	[433, 658]	43	0	1	1	29	[230, 826]	75	0	1	1	44	[670, 111]	60	1	0	1	98	[1017, 357]	6	0	1	1	71	[376, 936]	33	0	1	1	159	[823, 826]	-55	6	104	98	171	144	61	29	44	71	159
13	8	collaborate	contingent	11.52	979.687145252	329071.012161	321221.365629	330322.965885	333429.391577	340527.78465	None	7098.39307307	3	5	1	63	1	0	1	82	[955, 305]	-19	1	0	1	27	[1275, 682]	36	0	1	1	169	[961, 734]	74	0	1	1	124	[368, 792]	-61	0	1	1	100	[227, 563]	-37	0	1	1	143	[354, 350]	-80	0	1	1	65	[555, 210]	-2	1	0	1	12	[746, 254]	51	36	63	27	82	169	124	100	143	65	12
14	8	collaborate	contingent	19.77	1037.47678337	351283.383017	346105.117161	355607.435679	358731.068732	365761.735632	None	7030.66689978	3	5	2	71	1	0	1	69	[1376, 343]	2	0	1	1	23	[319, 676]	48	1	0	1	40	[1301, 549]	31	1	0	1	96	[966, 191]	-25	0	1	1	129	[741, 192]	-58	0	1	1	143	[414, 363]	-72	0	1	1	80	[540, 161]	-9	0	1	1	173	[1248, 713]	78	31	71	40	69	23	96	129	143	80	173
15	8	collaborate	contingent	71.53	1121.89033265	377653.037789	370721.700459	378921.356576	382027.867671	389109.83117	None	7081.96349969	3	5	7	104	0	1	1	104	[1455, 489]	0	1	0	1	140	[566, 652]	-36	0	1	1	14	[1325, 766]	90	0	1	1	37	[358, 492]	67	1	0	1	87	[772, 181]	17	0	1	1	27	[505, 336]	77	0	1	1	179	[672, 422]	-75	1	0	1	118	[1276, 495]	-14	-14	104	118	104	140	14	37	87	27	179
16	8	collaborate	contingent	95.81	1198.55453175	400348.720847	394453.362246	401600.666508	404707.510783	411738.174017	None	7030.66323443	3	5	6	81	0	1	1	71	[755, 857]	10	0	1	1	13	[248, 187]	68	0	1	1	1	[200, 350]	80	1	0	1	43	[709, 335]	38	0	1	1	114	[236, 852]	-33	0	1	1	154	[526, 253]	-73	1	0	1	86	[912, 223]	-5	1	0	1	124	[1082, 265]	-43	-5	81	86	71	13	1	43	114	154	124
