trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	43.85	22.6429187773	31397.3215807	24540.3252853	32648.9879414	35773.1150836	42836.7976407	None	7063.68255707	4	4	1	60	0	1	1	61	[225, 587]	-1	1	0	1	38	[1325, 490]	22	1	0	1	120	[1096, 612]	-60	1	0	1	147	[863, 347]	-87	1	0	1	167	[529, 250]	73	0	1	1	26	[509, 750]	34	0	1	1	16	[1334, 779]	44	0	1	1	86	[776, 803]	-26	22	60	38	61	120	147	167	26	16	86
2	8	collaborate	contingent	97.3	77.7381861704	60005.8308418	50084.831271	61273.7229822	64397.1126557	71428.1699155	None	7031.05725976	4	4	3	88	1	0	1	76	[1181, 121]	12	0	1	1	49	[450, 501]	39	0	1	1	137	[867, 337]	-49	1	0	1	92	[1450, 545]	-4	1	0	1	106	[1078, 724]	-18	0	1	1	5	[562, 698]	83	0	1	1	155	[599, 432]	-67	1	0	1	61	[303, 413]	27	-4	88	92	76	49	137	106	5	155	61
3	8	collaborate	contingent	99.32	164.848905924	89382.3504509	77590.3195857	90716.7031186	93840.316012	100871.076012	None	7030.75999972	4	4	4	8	0	1	1	111	[1258, 668]	77	1	0	1	82	[1198, 379]	-74	1	0	1	97	[224, 128]	-89	1	0	1	166	[1381, 182]	22	1	0	1	10	[1050, 255]	-2	0	1	1	124	[545, 743]	64	0	1	1	33	[1109, 531]	-25	0	1	1	136	[1483, 710]	52	-2	8	10	111	82	97	166	124	33	136
4	8	collaborate	contingent	68.08	243.700485194	116002.256391	107534.503973	117254.015851	120377.415788	127458.278216	None	7080.86242798	4	4	1	140	0	1	1	168	[458, 620]	-28	1	0	1	155	[1427, 551]	-15	1	0	1	90	[1159, 906]	50	0	1	1	15	[1101, 659]	-55	1	0	1	115	[480, 423]	25	1	0	1	143	[1253, 736]	-3	0	1	1	54	[939, 702]	86	0	1	1	130	[672, 640]	10	-15	140	155	168	90	15	115	143	54	130
5	8	collaborate	contingent	91.95	290.175525789	145946.222323	133688.009278	147215.115471	150338.137144	157402.301694	None	7064.16455084	4	4	5	128	1	0	1	132	[1163, 417]	-4	0	1	1	173	[670, 583]	-45	1	0	1	75	[1366, 589]	53	1	0	1	49	[1233, 225]	79	0	1	1	13	[1238, 676]	-65	1	0	1	121	[358, 148]	7	0	1	1	60	[763, 227]	68	0	1	1	111	[1045, 887]	17	7	128	121	132	173	75	49	13	60	111
6	8	collaborate	contingent	71.53	339.191035976	173018.794092	163932.77598	174286.13643	177409.792574	184473.771292	None	7063.9787175	4	4	2	125	1	0	1	8	[1376, 568]	-63	0	1	1	151	[698, 641]	-26	1	0	1	139	[1318, 751]	-14	1	0	1	177	[1451, 338]	-52	0	1	1	61	[342, 604]	64	0	1	1	21	[302, 752]	-76	1	0	1	129	[532, 342]	-4	0	1	1	108	[836, 803]	17	-14	125	139	8	151	177	61	21	129	108
7	8	collaborate	contingent	95.81	429.231915703	200907.534534	190419.24515	202159.434378	205282.681835	212347.337177	None	7064.65534146	4	4	2	12	1	0	1	35	[1008, 570]	-23	1	0	1	25	[1272, 173]	-13	1	0	1	7	[1371, 481]	5	0	1	1	96	[311, 581]	-84	1	0	1	127	[855, 800]	65	0	1	1	151	[203, 890]	41	0	1	1	73	[1210, 848]	-61	0	1	1	164	[539, 688]	28	5	12	7	35	25	96	127	151	73	164
8	8	collaborate	contingent	95.81	516.220917196	228496.885001	219144.064824	229781.981203	232905.676567	239952.871272	None	7047.19470459	4	4	5	77	0	1	1	128	[263, 464]	-51	0	1	1	32	[944, 149]	45	1	0	1	57	[1459, 693]	20	1	0	1	91	[674, 524]	-14	1	0	1	167	[1247, 274]	90	1	0	1	72	[1377, 518]	5	0	1	1	6	[809, 291]	71	0	1	1	104	[1006, 389]	-27	5	77	72	128	32	57	91	167	6	104
9	8	collaborate	contingent	99.32	599.919594297	255802.091157	245966.217185	257054.854924	260177.276944	267275.043242	None	7097.7662979	4	4	7	89	1	0	1	40	[1265, 262]	49	0	1	1	138	[676, 757]	-49	0	1	1	105	[220, 822]	-16	0	1	1	53	[1073, 635]	36	1	0	1	157	[855, 326]	-68	1	0	1	10	[1114, 263]	79	0	1	1	72	[230, 269]	17	1	0	1	91	[1507, 318]	-2	-2	89	91	40	138	105	53	157	10	72
10	8	collaborate	contingent	84.27	689.065598427	281203.722092	273170.415772	282455.433536	285579.52879	292643.276957	None	7063.74816687	4	4	6	56	1	0	1	90	[959, 105]	-34	0	1	1	16	[469, 805]	40	0	1	1	158	[459, 554]	78	0	1	1	126	[1103, 563]	-70	0	1	1	40	[543, 377]	16	1	0	1	27	[1416, 260]	29	1	0	1	66	[1320, 752]	-10	1	0	1	176	[837, 244]	60	-10	56	66	90	16	158	126	40	27	176
11	8	collaborate	contingent	98.47	740.820423139	310212.525534	298104.981543	311515.094469	314638.558916	321652.031283	None	7013.47236746	4	4	7	155	0	1	1	99	[1365, 856]	56	1	0	1	130	[652, 177]	25	1	0	1	52	[1270, 129]	-77	0	1	1	17	[411, 446]	-42	0	1	1	116	[465, 917]	39	0	1	1	143	[403, 757]	12	1	0	1	74	[685, 435]	81	1	0	1	158	[1085, 229]	-3	-3	155	158	99	130	52	17	116	143	74
12	8	collaborate	contingent	99.83	817.742326296	341158.748224	327396.909229	342477.272436	345600.478109	352714.996164	None	7114.51805571	4	4	6	140	1	0	1	122	[1020, 674]	18	0	1	1	149	[563, 659]	-9	0	1	1	6	[272, 892]	-46	1	0	1	21	[379, 368]	-61	0	1	1	69	[641, 813]	71	1	0	1	53	[1422, 233]	87	1	0	1	139	[1175, 366]	1	0	1	1	35	[1070, 839]	-75	1	140	139	122	149	6	21	69	53	35
13	8	collaborate	contingent	78.17	857.332230068	364589.302084	358810.644622	365674.634775	368797.551252	375828.408017	None	7030.85676501	2	6	7	13	0	1	1	63	[1257, 804]	-50	0	1	1	49	[1010, 578]	-36	0	1	1	127	[1145, 131]	66	0	1	1	86	[1481, 712]	-73	0	1	1	178	[1201, 606]	15	1	0	1	142	[689, 283]	51	0	1	1	13	[219, 484]	0	1	0	1	25	[820, 168]	-12	-12	13	25	63	49	127	86	178	142	13
14	8	collaborate	contingent	16.04	895.875497724	393280.784649	382708.952732	394582.914109	397707.026223	404770.465401	None	7063.4391777	4	4	4	61	1	0	1	27	[1482, 276]	34	1	0	1	173	[994, 148]	68	0	1	1	162	[196, 173]	79	0	1	1	79	[929, 670]	-18	1	0	1	94	[1125, 417]	-33	1	0	1	52	[1085, 943]	9	0	1	1	11	[798, 766]	50	0	1	1	66	[1168, 604]	-5	-33	61	94	27	173	162	79	52	11	66
15	8	collaborate	contingent	94.02	943.564718903	420402.420818	410682.281799	422572.948383	425679.470474	432745.06048	None	7065.5900062	2	6	2	58	0	1	1	13	[1114, 739]	45	0	1	1	42	[319, 209]	16	1	0	1	52	[1417, 699]	6	0	1	1	177	[1483, 120]	61	0	1	1	155	[1164, 304]	83	0	1	1	94	[1298, 564]	-36	0	1	1	29	[1021, 914]	29	1	0	1	166	[1034, 181]	72	6	58	52	13	42	177	155	94	29	166
16	8	collaborate	contingent	74.9	981.516455526	448175.416778	438639.017818	449427.437945	452551.211747	459598.171136	None	7046.959389	4	4	2	114	1	0	1	164	[1150, 932]	-50	0	1	1	76	[181, 336]	38	1	0	1	101	[1276, 738]	13	0	1	1	0	[1266, 207]	-66	1	0	1	11	[701, 842]	-77	1	0	1	149	[947, 659]	-35	0	1	1	42	[930, 172]	72	0	1	1	136	[240, 143]	-22	13	114	101	164	76	0	11	149	42	136
