trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	89.62	80.5743424159	21760.7877721	13844.3141778	23012.6326353	26136.2052099	33167.0964292	None	7030.89121932	3	5	3	68	1	0	1	82	[1156, 440]	-14	0	1	1	178	[659, 674]	70	0	1	1	127	[855, 942]	-59	1	0	1	60	[925, 224]	8	0	1	1	49	[168, 521]	19	0	1	1	96	[992, 762]	-28	1	0	1	149	[1476, 340]	-81	0	1	1	114	[1202, 737]	-46	8	68	60	82	178	127	49	96	149	114
2	8	collaborate	contingent	57.52	158.992964463	47546.5017698	39063.9556258	49835.2864161	52957.1681638	60037.9598505	None	7080.79168669	3	5	3	129	1	0	1	72	[478, 420]	57	0	1	1	0	[688, 860]	-51	0	1	1	136	[1319, 744]	-7	1	0	1	147	[450, 203]	-18	0	1	1	43	[1167, 916]	86	0	1	1	59	[1498, 504]	70	1	0	1	114	[274, 292]	15	0	1	1	12	[202, 758]	-63	-18	129	147	72	0	136	43	59	114	12
3	8	collaborate	contingent	89.62	242.886965957	76605.9035624	67186.4018377	77873.8470177	80997.2418227	88012.1850959	None	7014.94327318	4	4	1	104	0	1	1	52	[757, 671]	52	1	0	1	112	[637, 374]	-8	0	1	1	150	[633, 582]	-46	1	0	1	176	[1491, 392]	-72	1	0	1	31	[1132, 233]	73	1	0	1	82	[1051, 809]	22	0	1	1	133	[359, 505]	-29	0	1	1	62	[295, 685]	42	-8	104	112	52	150	176	31	82	133	62
4	8	collaborate	contingent	87.05	325.495967451	102124.47645	96528.7160162	103375.723495	106499.246587	113513.273889	None	7014.02730174	4	4	2	56	0	1	1	146	[559, 907]	90	0	1	1	134	[768, 706]	-78	1	0	1	47	[1320, 110]	9	1	0	1	13	[1357, 496]	43	1	0	1	114	[845, 127]	-58	0	1	1	94	[216, 779]	-38	0	1	1	75	[317, 277]	-19	1	0	1	159	[1146, 171]	77	9	56	47	146	134	13	114	94	75	159
5	8	collaborate	contingent	1.0	373.900605565	128527.397956	118656.799539	129829.67183	132952.687271	140033.56656	None	7080.8792886	4	4	4	171	1	0	1	175	[877, 139]	-4	0	1	1	48	[1085, 531]	-57	0	1	1	158	[348, 112]	13	0	1	1	65	[331, 863]	-74	1	0	1	77	[1377, 686]	-86	0	1	1	28	[549, 329]	-37	1	0	1	102	[989, 278]	69	1	0	1	147	[1495, 582]	24	-86	171	77	175	48	158	65	28	102	147
6	8	collaborate	contingent	89.62	468.625039467	155565.443942	146180.50282	156867.330022	159990.711632	167022.805453	None	7032.09382128	4	4	5	58	1	0	1	13	[232, 213]	45	1	0	1	145	[629, 229]	-87	0	1	1	78	[694, 713]	-20	0	1	1	23	[541, 796]	35	0	1	1	119	[1461, 820]	-61	1	0	1	66	[462, 505]	-8	0	1	1	0	[930, 760]	58	1	0	1	131	[1090, 292]	-73	-8	58	66	13	145	78	23	119	0	131
7	8	collaborate	contingent	99.32	568.285039467	182821.432119	171914.945143	184072.612087	187195.958143	194260.281037	None	7064.32289404	4	4	2	89	1	0	1	119	[1396, 556]	-30	0	1	1	43	[244, 644]	46	1	0	1	91	[743, 828]	-2	0	1	1	61	[414, 921]	28	0	1	1	170	[364, 116]	-81	1	0	1	15	[1014, 823]	74	0	1	1	0	[620, 565]	89	1	0	1	29	[1021, 571]	60	-2	89	91	119	43	61	170	15	0	29
8	8	collaborate	contingent	94.02	654.37904096	209257.577474	199337.989063	210493.568957	213616.101304	220631.03908	None	7014.93777515	4	4	3	84	0	1	1	47	[298, 702]	37	1	0	1	21	[1186, 615]	63	0	1	1	174	[775, 896]	90	1	0	1	90	[1504, 681]	-6	0	1	1	107	[524, 196]	-23	1	0	1	61	[1032, 410]	23	0	1	1	4	[701, 125]	80	1	0	1	78	[1350, 232]	6	-6	84	90	47	21	174	107	61	4	78
9	8	collaborate	contingent	81.3	744.687663008	236696.781564	226242.745994	237965.228273	241088.379332	248119.40287	None	7031.02353852	4	4	6	174	0	1	1	109	[543, 638]	65	1	0	1	71	[1127, 500]	-77	0	1	1	149	[501, 121]	25	0	1	1	31	[788, 824]	-37	0	1	1	47	[229, 785]	-53	1	0	1	132	[1226, 208]	42	1	0	1	5	[1137, 739]	-11	1	0	1	165	[941, 923]	9	-11	174	5	109	71	149	31	47	132	165
10	8	collaborate	contingent	98.47	843.157871473	261046.077139	252344.644976	262297.78895	265421.241667	272452.17907	None	7030.93740275	4	4	4	76	0	1	1	135	[1259, 650]	-59	0	1	1	153	[915, 837]	-77	1	0	1	67	[440, 861]	9	0	1	1	8	[1233, 906]	68	1	0	1	79	[212, 113]	-3	0	1	1	32	[1349, 209]	44	1	0	1	44	[507, 474]	32	1	0	1	57	[792, 351]	19	-3	76	79	135	153	67	8	32	44	57
