trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	97.3	82.6886771004	15461.6810447	9431.12022731	20603.586132	23727.1998862	30841.466195	None	7114.26630873	5	3	7	134	1	0	1	115	[236, 189]	19	0	1	1	91	[1057, 457]	43	1	0	1	178	[1419, 914]	-44	1	0	1	158	[472, 629]	-24	0	1	1	53	[261, 931]	81	1	0	1	127	[802, 750]	7	0	1	1	23	[1102, 136]	-69	1	0	1	138	[622, 224]	-4	-4	134	138	115	91	178	158	53	127	23
2	8	collaborate	contingent	81.3	171.987226384	46941.9444534	37321.6885514	48210.173475	51333.5299197	55408.5440681	None	4075.01414836	5	3	7	133	1	0	1	179	[199, 274]	-46	1	0	1	61	[399, 387]	72	1	0	1	81	[1144, 268]	52	0	1	1	124	[916, 768]	9	0	1	1	26	[1069, 623]	-73	0	1	1	154	[1027, 914]	-21	1	0	1	41	[466, 587]	-88	1	0	1	144	[373, 922]	-11	-11	133	144	179	61	81	124	26	154	41
3	8	collaborate	contingent	99.32	265.174503291	66916.1629216	63258.3064783	70305.5143404	73428.8619883	79140.4352709	None	5711.57328262	5	3	3	28	1	0	1	5	[716, 870]	23	0	1	1	78	[1129, 133]	-50	1	0	1	121	[237, 916]	87	1	0	1	30	[472, 144]	-2	0	1	1	88	[1482, 599]	-60	1	0	1	149	[239, 207]	59	0	1	1	161	[874, 287]	47	1	0	1	173	[523, 788]	35	-2	28	30	5	78	121	88	149	161	173
4	8	collaborate	contingent	89.62	359.643125339	94689.8694832	86188.2043023	95941.1948837	99064.5923807	102588.375182	None	3523.78280146	5	3	2	45	0	1	1	77	[1302, 366]	-32	1	0	1	142	[377, 491]	83	1	0	1	53	[1268, 150]	-8	1	0	1	101	[276, 212]	-56	0	1	1	41	[1232, 684]	4	0	1	1	177	[1444, 899]	48	1	0	1	164	[218, 389]	61	1	0	1	28	[704, 153]	17	-8	45	53	77	142	101	41	177	164	28
5	8	collaborate	contingent	31.74	424.748333804	122279.759932	114396.511734	123531.035484	126654.438845	133184.650352	None	6530.21150694	5	3	1	39	0	1	1	50	[753, 875]	-11	1	0	1	13	[294, 885]	26	1	0	1	138	[403, 538]	81	1	0	1	62	[492, 251]	-23	1	0	1	157	[1397, 785]	62	0	1	1	103	[1265, 297]	-64	0	1	1	0	[1327, 131]	39	1	0	1	117	[906, 122]	-78	26	39	13	50	138	62	157	103	0	117
6	8	collaborate	contingent	64.57	504.937971918	144575.327538	139581.391172	149918.394037	153041.993863	160056.130857	None	7014.13699421	5	3	0	15	1	0	1	31	[343, 376]	-16	1	0	1	68	[1170, 625]	-53	1	0	1	98	[736, 108]	-83	0	1	1	155	[1340, 496]	40	0	1	1	173	[665, 420]	22	1	0	1	42	[580, 214]	-27	1	0	1	135	[936, 234]	60	0	1	1	11	[1482, 157]	4	-16	15	31	68	98	155	173	42	135	11
7	8	collaborate	contingent	94.02	595.475248826	173234.090796	164983.687238	174485.371845	177608.980468	181399.842462	None	3790.86199414	5	3	5	105	1	0	1	36	[557, 942]	69	1	0	1	94	[692, 789]	11	1	0	1	164	[439, 525]	-59	0	1	1	146	[1158, 501]	-41	0	1	1	7	[850, 907]	-82	1	0	1	111	[508, 343]	-6	1	0	1	48	[803, 136]	57	0	1	1	133	[1003, 629]	-28	-6	105	111	36	94	164	146	7	48	133
8	8	collaborate	contingent	2.55	645.398798109	197316.775846	189450.212079	198568.027939	201691.419938	206000.696422	None	4309.27648382	5	3	1	76	1	0	1	155	[253, 342]	-79	1	0	1	27	[809, 831]	49	0	1	1	132	[1125, 257]	-56	1	0	1	17	[1355, 154]	59	0	1	1	94	[874, 256]	-18	1	0	1	52	[1103, 894]	24	0	1	1	83	[1387, 924]	-7	1	0	1	114	[696, 668]	-38	49	76	27	155	132	17	94	52	83	114
9	8	collaborate	contingent	50.55	720.673798109	224489.063613	213949.779931	225740.345029	228864.603523	235928.241073	None	7063.63754989	5	3	6	26	1	0	1	28	[1425, 810]	-2	1	0	1	62	[889, 892]	-36	0	1	1	112	[352, 118]	-86	0	1	1	133	[561, 242]	73	1	0	1	47	[305, 846]	-21	1	0	1	78	[1028, 637]	-52	1	0	1	6	[226, 651]	20	0	1	1	89	[1007, 224]	-63	20	26	6	28	62	112	133	47	78	89
10	8	collaborate	contingent	94.02	813.660383335	244546.725132	240838.295643	249940.045788	253063.445484	256938.07748	None	3874.63199611	4	4	7	111	0	1	1	169	[691, 143]	-58	0	1	1	60	[1379, 280]	51	0	1	1	22	[306, 266]	89	1	0	1	139	[263, 511]	-28	1	0	1	96	[479, 518]	15	1	0	1	37	[987, 921]	74	0	1	1	129	[1287, 432]	-18	1	0	1	117	[422, 942]	-6	-6	111	117	169	60	22	139	96	37	129
