trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	99.32	56.8590965202	12770.6699479	8679.00478409	14023.1191711	17129.0467896	20068.2516608	None	2939.20487118	4	4	2	155	0	1	1	31	[1422, 254]	-56	1	0	1	170	[916, 723]	-15	1	0	1	153	[712, 764]	2	1	0	1	125	[1299, 682]	30	0	1	1	97	[827, 118]	58	1	0	1	114	[1152, 927]	41	0	1	1	52	[1111, 581]	-77	0	1	1	10	[1255, 175]	-35	2	155	153	31	170	125	97	114	52	10
2	8	collaborate	contingent	95.81	114.651257588	35065.2005783	29486.6828531	36316.7422473	39423.0081826	42812.7685825	None	3389.76039985	4	4	6	14	0	1	1	65	[248, 510]	-51	1	0	1	113	[1259, 678]	81	0	1	1	140	[898, 161]	54	0	1	1	151	[225, 936]	43	0	1	1	19	[746, 300]	-5	1	0	1	38	[1063, 583]	-24	1	0	1	9	[1424, 332]	5	1	0	1	76	[1458, 810]	-62	5	14	9	65	113	140	151	19	38	76
3	8	collaborate	contingent	78.17	154.236298183	54636.8478696	51598.493079	55888.9166238	58995.3870887	62084.6330857	None	3089.24599701	4	4	6	42	0	1	1	65	[640, 572]	-23	1	0	1	110	[973, 384]	-68	1	0	1	158	[1198, 363]	64	1	0	1	81	[625, 749]	-39	0	1	1	38	[174, 506]	4	0	1	1	123	[570, 314]	-81	1	0	1	54	[914, 894]	-12	0	1	1	174	[257, 716]	48	-12	42	54	65	110	158	81	38	123	174
4	8	collaborate	contingent	97.3	251.534847466	78533.9823298	71638.4162961	79835.5160816	82958.7528389	86767.3729168	None	3808.62007791	4	4	0	69	1	0	1	65	[881, 238]	4	1	0	1	115	[898, 752]	-46	0	1	1	19	[738, 932]	50	1	0	1	165	[1410, 494]	84	0	1	1	1	[1255, 593]	68	1	0	1	81	[1497, 359]	-12	0	1	1	131	[356, 141]	-62	0	1	1	145	[226, 320]	-76	4	69	65	115	19	165	1	81	131	145
5	8	collaborate	contingent	43.85	305.747123823	102047.078086	96034.4500354	103334.644082	106454.886204	110647.091208	None	4192.2050046	4	4	3	51	0	1	1	129	[288, 245]	-78	1	0	1	141	[1349, 551]	90	1	0	1	102	[589, 250]	-51	1	0	1	73	[1221, 704]	-22	1	0	1	35	[862, 314]	16	0	1	1	6	[557, 466]	45	0	1	1	169	[235, 758]	62	0	1	1	22	[216, 483]	29	-22	51	73	129	141	102	35	6	169	22
6	8	collaborate	contingent	71.53	342.667014577	126162.963142	118946.111226	127447.4436	130585.745902	136848.921565	None	6263.1756623	4	4	0	65	1	0	1	51	[1459, 737]	14	1	0	1	134	[922, 272]	-69	0	1	1	91	[385, 323]	-26	1	0	1	2	[777, 199]	63	1	0	1	159	[1237, 304]	86	0	1	1	28	[567, 262]	37	0	1	1	66	[332, 745]	-1	0	1	1	148	[1150, 544]	-83	14	65	51	134	91	2	159	28	66	148
7	8	collaborate	contingent	26.5	381.194394748	147185.364994	143779.158658	148487.630727	151594.913812	155334.673772	None	3739.75996	4	4	1	138	0	1	1	60	[219, 601]	78	1	0	1	166	[631, 791]	-28	1	0	1	78	[1413, 605]	60	0	1	1	49	[391, 334]	89	1	0	1	3	[982, 636]	-45	1	0	1	93	[979, 830]	45	0	1	1	111	[490, 708]	27	0	1	1	127	[596, 145]	11	-28	138	166	60	78	49	3	93	111	127
8	8	collaborate	contingent	99.83	468.560114501	167893.06916	163717.648042	169144.7941	172251.836734	178313.123394	None	6061.28665954	4	4	7	158	1	0	1	101	[1499, 522]	57	0	1	1	29	[488, 153]	-51	1	0	1	62	[358, 904]	-84	0	1	1	50	[1225, 315]	-72	0	1	1	141	[461, 349]	17	1	0	1	125	[532, 859]	33	0	1	1	1	[1098, 154]	-23	1	0	1	159	[975, 693]	-1	-1	158	159	101	29	62	50	141	125	1
9	8	collaborate	contingent	94.02	551.334456917	191457.176715	184610.389149	192691.486952	195798.51859	200506.837445	None	4708.31885499	4	4	6	11	1	0	1	61	[1156, 513]	-50	0	1	1	32	[1296, 835]	-21	0	1	1	112	[915, 914]	79	0	1	1	97	[473, 311]	-86	1	0	1	6	[1366, 261]	5	1	0	1	130	[639, 602]	61	1	0	1	17	[909, 763]	-6	0	1	1	42	[494, 531]	-31	-6	11	17	61	32	112	97	6	130	42
10	8	collaborate	contingent	94.02	641.871733825	214584.895529	208005.521932	215820.056872	218943.663469	222132.870173	None	3189.20670388	4	4	0	70	1	0	1	64	[866, 127]	6	1	0	1	166	[1190, 360]	84	1	0	1	84	[1021, 763]	-14	0	1	1	114	[659, 731]	-44	1	0	1	96	[541, 146]	-26	0	1	1	30	[220, 873]	40	0	1	1	139	[797, 792]	-69	0	1	1	49	[391, 549]	21	6	70	64	166	84	114	96	30	139	49
