trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	34.58	54.7407197534	14604.5941108	9075.24506714	15855.6761302	18979.1861543	26010.0207754	None	7030.8346211	4	4	0	31	1	0	1	56	[1100, 657]	-25	0	1	1	155	[891, 113]	56	1	0	1	136	[1171, 496]	75	0	1	1	32	[1023, 234]	-1	1	0	1	19	[1210, 256]	12	1	0	1	176	[1020, 432]	35	0	1	1	118	[617, 167]	-87	0	1	1	90	[376, 480]	-59	-25	31	56	155	136	32	19	176	118	90
2	8	collaborate	contingent	37.55	109.280062169	36382.166546	33592.884696	37683.5866598	40823.6982779	45549.907046	None	4726.20876817	3	5	4	151	0	1	1	113	[523, 254]	38	0	1	1	44	[644, 902]	-73	0	1	1	86	[310, 539]	65	0	1	1	17	[308, 343]	-46	1	0	1	175	[1098, 387]	-24	0	1	1	159	[752, 762]	-8	1	0	1	149	[1290, 566]	2	1	0	1	133	[1055, 915]	18	-24	151	175	113	44	86	17	159	149	133
3	8	collaborate	contingent	95.81	157.698163368	59613.6160708	54033.8765178	60897.7997472	64004.4516009	67862.5135252	None	3858.06192435	4	4	0	150	1	0	1	145	[1266, 209]	5	0	1	1	166	[605, 205]	-16	1	0	1	28	[722, 359]	-58	0	1	1	96	[505, 705]	54	1	0	1	77	[1505, 323]	73	0	1	1	45	[208, 750]	-75	1	0	1	18	[1197, 406]	-48	0	1	1	119	[526, 473]	31	5	150	145	166	28	96	77	45	18	119
4	8	collaborate	contingent	24.11	219.411785415	91361.3475687	78400.4619109	92596.0332552	95702.7745441	102332.900574	None	6630.12603034	4	4	5	35	0	1	1	61	[390, 810]	-26	0	1	1	75	[797, 221]	-40	1	0	1	117	[1414, 246]	-82	0	1	1	51	[449, 332]	-16	1	0	1	86	[1421, 746]	-51	1	0	1	6	[1195, 614]	29	0	1	1	136	[510, 668]	79	1	0	1	22	[1166, 175]	13	29	35	6	61	75	117	51	86	136	22
5	8	collaborate	contingent	43.85	286.148364686	115845.580581	108528.911031	117146.99703	120269.719731	126115.188884	None	5845.46915365	4	4	5	143	0	1	1	50	[275, 109]	-87	1	0	1	152	[1483, 623]	-9	0	1	1	176	[801, 330]	-33	0	1	1	66	[266, 482]	77	1	0	1	34	[1385, 262]	-71	1	0	1	165	[1117, 779]	-22	0	1	1	136	[826, 108]	7	1	0	1	102	[1406, 464]	41	-22	143	165	50	152	176	66	34	136	102
6	8	collaborate	contingent	99.32	385.722798588	137656.280331	133496.753209	138907.511165	142014.577939	144452.685842	None	2438.10790285	4	4	4	16	1	0	1	2	[838, 812]	14	0	1	1	119	[422, 818]	77	0	1	1	70	[324, 359]	-54	0	1	1	81	[582, 168]	-65	1	0	1	18	[1436, 839]	-2	1	0	1	147	[632, 800]	49	1	0	1	170	[1169, 573]	26	0	1	1	45	[599, 465]	-29	-2	16	18	2	119	70	81	147	170	45
7	8	collaborate	contingent	89.62	467.983518341	158398.348088	155976.05079	159633.339833	162739.945503	169721.198197	None	6981.25269405	4	4	4	42	1	0	1	79	[454, 807]	-37	0	1	1	133	[1419, 239]	89	0	1	1	116	[1260, 194]	-74	0	1	1	170	[1308, 483]	52	1	0	1	34	[227, 924]	8	0	1	1	61	[503, 172]	-19	1	0	1	95	[813, 928]	-53	1	0	1	23	[1388, 922]	19	8	42	34	79	133	116	170	61	95	23
8	8	collaborate	contingent	19.77	518.518826238	180460.988288	175365.884206	181711.83609	184835.266942	187056.428486	None	2221.16154345	4	4	2	60	1	0	1	87	[1135, 175]	-27	1	0	1	97	[1128, 561]	-37	1	0	1	29	[1236, 333]	31	0	1	1	133	[871, 938]	-73	0	1	1	118	[1255, 741]	-58	0	1	1	15	[418, 930]	45	1	0	1	61	[494, 323]	-1	0	1	1	176	[624, 892]	64	31	60	29	87	97	133	118	15	61	176
9	8	collaborate	contingent	71.53	554.784838462	201487.298368	197878.755179	202721.522217	205828.186533	210370.912005	None	4542.72547203	3	5	6	89	0	1	1	156	[704, 767]	-67	0	1	1	1	[608, 510]	88	0	1	1	54	[475, 864]	35	1	0	1	88	[715, 348]	1	0	1	1	136	[1458, 788]	-47	0	1	1	32	[705, 935]	57	1	0	1	103	[1141, 605]	-14	1	0	1	123	[1221, 440]	-34	-14	89	103	156	1	54	88	136	32	123
10	8	collaborate	contingent	21.86	615.373460509	223398.629222	218837.925074	224683.344745	227789.930255	230478.847107	None	2688.91685165	4	4	7	127	1	0	1	83	[178, 441]	44	1	0	1	110	[1133, 317]	17	0	1	1	61	[335, 669]	66	0	1	1	99	[645, 592]	28	1	0	1	171	[1321, 186]	-44	0	1	1	14	[619, 179]	-67	0	1	1	34	[727, 304]	-87	1	0	1	157	[1216, 597]	-30	-30	127	157	83	110	61	99	171	14	34
