trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.0	3.01982471291	22660.1626457	11236.4154309	23928.5090393	27051.5797426	34065.53222	None	7013.95247742	5	3	6	76.0	1	0	1	116	[1507, 523]	-40.0	0	1	1	87	[988, 404]	-11.0	1	0	1	66	[380, 893]	10.0	0	1	1	22	[1267, 505]	54.0	1	0	1	10	[1101, 825]	66.0	1	0	1	130	[919, 824]	-54.0	1	0	1	166	[683, 795]	90.0	0	1	1	36	[1071, 188]	40.0	90	76.0	166	116	87	66	22	10	130	36
2	8	collaborate	contingent	1.0	23.8409391669	50766.8503856	43201.362333	52035.2693529	55158.5434825	62189.1981742	None	7030.65469176	1	7	6	12.0	0	1	1	1	[226, 456]	11.0	0	1	1	28	[1509, 705]	-16.0	0	1	1	38	[1302, 471]	-26.0	0	1	1	11	[703, 848]	1.0	0	1	1	58	[1070, 424]	-46.0	0	1	1	151	[1209, 735]	41.0	1	0	1	102	[909, 179]	90.0	0	1	1	82	[401, 149]	-70.0	90	12.0	102	1	28	38	11	58	151	82
3	8	collaborate	contingent	99.83	120.766943297	79108.6494291	70573.2340124	83515.6486128	86639.081085	93453.3895401	None	6814.30845509	3	5	5	156	1	0	1	94	[1465, 767]	62	0	1	1	80	[743, 205]	76	0	1	1	32	[724, 396]	-56	0	1	1	104	[343, 432]	52	0	1	1	125	[514, 329]	31	1	0	1	155	[1158, 624]	1	1	0	1	13	[648, 650]	-37	0	1	1	46	[315, 884]	-70	1	156	155	94	80	32	104	125	13	46
4	8	collaborate	contingent	99.32	202.714219654	106497.233586	100752.062211	107764.749047	110888.116276	117936.967907	None	7048.85163113	3	5	2	140	0	1	1	86	[298, 480]	54	0	1	1	39	[170, 132]	-79	1	0	1	138	[679, 811]	2	0	1	1	49	[380, 791]	-89	0	1	1	119	[655, 346]	21	1	0	1	107	[818, 694]	33	0	1	1	29	[216, 298]	-69	1	0	1	8	[1230, 810]	-48	2	140	138	86	39	49	119	107	29	8
5	8	collaborate	contingent	87.05	259.489729842	126103.622051	124181.594063	135838.350143	138961.582488	146059.6083	None	7098.02581205	3	5	6	118	1	0	1	67	[1069, 379]	51	0	1	1	123	[324, 767]	-5	0	1	1	154	[1160, 784]	-36	1	0	1	44	[1457, 650]	74	0	1	1	17	[420, 448]	-79	0	1	1	81	[497, 818]	37	1	0	1	109	[1295, 381]	9	0	1	1	176	[190, 449]	-58	9	118	109	67	123	154	44	17	81	176
6	8	collaborate	contingent	2.31	298.095449595	165198.597202	152206.092086	167185.185728	170308.469021	177355.948716	None	7047.47969494	3	5	7	25	1	0	1	57	[544, 770]	-32	0	1	1	137	[605, 172]	68	0	1	1	98	[391, 202]	-73	0	1	1	3	[289, 886]	22	0	1	1	110	[426, 533]	-85	0	1	1	85	[683, 464]	-60	1	0	1	36	[1378, 812]	-11	1	0	1	75	[785, 822]	-50	-50	25	75	57	137	98	3	110	85	36
7	8	collaborate	contingent	10.27	322.003601566	185039.409353	183702.064795	198732.92328	201855.592262	207233.095001	None	5377.50273892	2	6	2	117	0	1	1	164	[518, 867]	-47	0	1	1	88	[206, 161]	29	1	0	1	154	[1270, 550]	-37	0	1	1	48	[1378, 185]	69	1	0	1	104	[1086, 301]	13	0	1	1	70	[537, 172]	47	0	1	1	135	[1426, 626]	-18	0	1	1	17	[568, 323]	-80	-37	117	154	164	88	48	104	70	135	17
8	8	collaborate	contingent	47.16	395.242223614	219141.09977	214531.297775	220492.891992	223616.561612	230700.750771	None	7084.18915932	3	5	2	167	0	1	1	67	[395, 768]	-80	0	1	1	113	[188, 574]	54	1	0	1	8	[1439, 851]	-21	0	1	1	134	[693, 114]	33	0	1	1	153	[783, 336]	14	0	1	1	77	[340, 166]	90	1	0	1	91	[1288, 422]	76	1	0	1	54	[1157, 879]	-67	-21	167	8	67	113	134	153	77	91	54
9	8	collaborate	contingent	74.9	433.192298769	241853.661728	237009.975219	255414.312267	258537.093775	262479.126447	None	3942.03267209	2	6	0	33	1	0	1	20	[1488, 498]	13	0	1	1	82	[625, 824]	-49	0	1	1	132	[647, 396]	81	0	1	1	174	[467, 252]	39	0	1	1	72	[1141, 829]	-39	1	0	1	164	[1090, 404]	49	0	1	1	47	[930, 141]	-14	0	1	1	122	[245, 884]	-89	13	33	20	82	132	174	72	164	47	122
10	8	collaborate	contingent	61.05	467.779877981	279680.478151	278009.721211	300838.982048	303962.09087	311060.084794	None	7097.9939236	2	6	4	68	0	1	1	105	[191, 513]	-37	0	1	1	20	[223, 259]	48	0	1	1	166	[1447, 454]	82	0	1	1	62	[863, 323]	6	1	0	1	51	[1162, 844]	17	0	1	1	178	[563, 389]	70	1	0	1	126	[1065, 461]	-58	0	1	1	137	[1027, 276]	-69	17	68	51	105	20	166	62	178	126	137
