trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	5.04	3.0200405949	23717.2062347	15850.8990438	28959.8857429	32066.2099118	38329.6127309	None	6263.40281912	3	5	3	65	0	1	1	116	[1507, 523]	-51	1	0	1	87	[988, 404]	-22	0	1	1	66	[380, 893]	-1	1	0	1	22	[1267, 505]	43	0	1	1	10	[1101, 825]	55	0	1	1	130	[919, 824]	-65	0	1	1	166	[683, 795]	79	1	0	1	36	[1071, 188]	29	43	65	22	116	87	66	10	130	166	36
2	8	collaborate	contingent	40.64	23.8400811898	55797.1953998	48231.2787182	57065.2884359	60171.7859771	67202.1312704	None	7030.34529322	7	1	4	81	1	0	1	1	[226, 456]	80	1	0	1	28	[1509, 705]	53	1	0	1	38	[1302, 471]	43	1	0	1	11	[703, 848]	70	1	0	1	58	[1070, 424]	23	1	0	1	151	[1209, 735]	-70	0	1	1	102	[909, 179]	-21	1	0	1	82	[401, 149]	-1	23	81	58	1	28	38	11	151	102	82
3	8	collaborate	contingent	94.02	120.764515092	87276.1187465	75618.8044125	88544.0915582	91651.3800879	96593.7845462	None	4942.40445827	5	3	2	38	0	1	1	94	[1465, 767]	-56	1	0	1	80	[743, 205]	-42	1	0	1	32	[724, 396]	6	1	0	1	104	[343, 432]	-66	1	0	1	125	[514, 329]	-87	0	1	1	155	[1158, 624]	63	0	1	1	13	[648, 650]	25	1	0	1	46	[315, 884]	-8	6	38	32	94	80	104	125	155	13	46
4	8	collaborate	contingent	64.57	202.708137139	111523.871504	105794.900874	112791.90626	115915.186832	120206.870603	None	4291.68377176	5	3	1	55	1	0	1	86	[298, 480]	-31	1	0	1	39	[170, 132]	16	0	1	1	138	[679, 811]	-83	1	0	1	49	[380, 791]	6	1	0	1	119	[655, 346]	-64	0	1	1	107	[818, 694]	-52	1	0	1	29	[216, 298]	26	0	1	1	8	[1230, 810]	47	16	55	39	86	138	49	119	107	29	8
5	8	collaborate	contingent	26.5	259.485414047	139612.459644	129228.567439	140863.850655	143970.330602	148362.59453	None	4392.2639277	5	3	1	151	0	1	1	67	[1069, 379]	84	1	0	1	123	[324, 767]	28	1	0	1	154	[1160, 784]	-3	0	1	1	44	[1457, 650]	-73	1	0	1	17	[420, 448]	-46	1	0	1	81	[497, 818]	70	0	1	1	109	[1295, 381]	42	1	0	1	176	[190, 449]	-25	28	151	123	67	154	44	17	81	109	176
6	8	collaborate	contingent	74.9	298.0903048	170941.193051	157247.881412	172209.013383	175315.387401	179807.731161	None	4492.34375962	5	3	4	97	0	1	1	57	[544, 770]	40	1	0	1	137	[605, 172]	-40	1	0	1	98	[391, 202]	-1	1	0	1	3	[289, 886]	-86	1	0	1	110	[426, 533]	-13	1	0	1	85	[683, 464]	12	0	1	1	36	[1378, 812]	61	0	1	1	75	[785, 822]	22	-13	97	110	57	137	98	3	85	36	75
7	8	collaborate	contingent	37.55	321.99949078	202486.578854	188742.084984	203755.210334	206861.022816	213908.06427	None	7047.04145395	6	2	1	64	1	0	1	164	[518, 867]	80	1	0	1	88	[206, 161]	-24	0	1	1	154	[1270, 550]	90	1	0	1	48	[1378, 185]	16	0	1	1	104	[1086, 301]	-40	1	0	1	70	[537, 172]	-6	1	0	1	135	[1426, 626]	-71	1	0	1	17	[568, 323]	47	-24	64	88	164	154	48	104	70	135	17
8	8	collaborate	contingent	99.32	395.240193562	224248.897088	219552.510564	225514.253553	228620.828434	232645.360072	None	4024.53163807	5	3	1	115	1	0	1	67	[395, 768]	48	1	0	1	113	[188, 574]	2	0	1	1	8	[1439, 851]	-73	1	0	1	134	[693, 114]	-19	1	0	1	153	[783, 336]	-38	1	0	1	77	[340, 166]	38	0	1	1	91	[1288, 422]	24	0	1	1	54	[1157, 879]	61	2	115	113	67	8	134	153	77	91	54
9	8	collaborate	contingent	1.0	433.190913316	259164.848517	242046.972545	260432.979673	263556.366907	270653.624032	None	7097.25712476	6	2	2	44	0	1	1	20	[1488, 498]	24	1	0	1	82	[625, 824]	-38	1	0	1	132	[647, 396]	-88	1	0	1	174	[467, 252]	50	1	0	1	72	[1141, 829]	-28	0	1	1	164	[1090, 404]	60	1	0	1	47	[930, 141]	-3	1	0	1	122	[245, 884]	-78	-88	44	132	20	82	174	72	164	47	122
10	8	collaborate	contingent	8.13	467.779180971	304604.082791	283027.834143	305856.541159	308979.637362	315892.668952	None	6913.03158969	6	2	5	37	1	0	1	105	[191, 513]	-68	1	0	1	20	[223, 259]	17	1	0	1	166	[1447, 454]	51	1	0	1	62	[863, 323]	-25	0	1	1	51	[1162, 844]	-14	1	0	1	178	[563, 389]	39	0	1	1	126	[1065, 461]	-89	1	0	1	137	[1027, 276]	80	39	37	178	105	20	166	62	51	126	137
