trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	31.74	59.3972769076	17597.1092942	9381.29599771	18849.8237522	21988.5615782	29052.3230732	None	7063.76149496	4	4	4	50	0	1	1	15	[473, 609]	35	1	0	1	94	[1038, 281]	-44	0	1	1	151	[590, 858]	79	0	1	1	109	[740, 338]	-59	1	0	1	76	[1101, 884]	-26	1	0	1	167	[246, 876]	63	0	1	1	177	[1348, 600]	53	1	0	1	29	[407, 352]	21	-26	50	76	15	94	151	109	167	177	29
2	8	collaborate	contingent	71.53	123.921476005	37720.0436469	34646.8717619	39155.3495065	42295.1741054	49392.6633119	None	7097.4892065	4	4	0	171	1	0	1	5	[1254, 440]	-14	0	1	1	86	[509, 715]	85	0	1	1	38	[625, 250]	-47	1	0	1	56	[1131, 892]	-65	0	1	1	124	[1176, 270]	47	1	0	1	161	[1441, 638]	10	0	1	1	21	[351, 309]	-30	1	0	1	103	[1058, 656]	68	-14	171	5	86	38	56	124	161	21	103
3	8	collaborate	contingent	74.9	203.507355731	59681.2661985	54769.3516126	61115.9661777	64238.1747934	71285.4063449	None	7047.23155153	4	4	3	130	0	1	1	129	[659, 416]	1	1	0	1	163	[1298, 635]	-33	1	0	1	7	[760, 752]	-57	1	0	1	117	[1183, 751]	13	0	1	1	30	[1457, 366]	-80	1	0	1	153	[1493, 648]	-23	0	1	1	69	[891, 110]	61	0	1	1	88	[1248, 107]	42	13	130	117	129	163	7	30	153	69	88
4	8	collaborate	contingent	97.3	301.392564197	80019.6377839	76261.5090712	81204.8799583	84328.5385819	91375.0586912	None	7046.52010933	4	4	2	109	0	1	1	178	[252, 110]	-69	0	1	1	96	[247, 563]	13	1	0	1	113	[1353, 729]	-4	1	0	1	147	[852, 287]	-38	1	0	1	42	[1026, 665]	67	0	1	1	11	[296, 288]	-82	0	1	1	23	[469, 570]	86	1	0	1	81	[1187, 699]	28	-4	109	113	178	96	147	42	11	23	81
5	8	collaborate	contingent	100.0	396.204143468	100576.96606	96083.687008	101845.469697	104967.871109	112048.631344	None	7080.76023518	4	4	7	122	0	1	1	14	[288, 454]	-72	1	0	1	53	[1438, 611]	69	0	1	1	89	[568, 600]	33	1	0	1	38	[945, 288]	84	0	1	1	107	[337, 644]	15	1	0	1	1	[1410, 269]	-59	0	1	1	66	[851, 763]	56	1	0	1	122	[1057, 661]	0	0	122	122	14	53	89	38	107	1	66
6	8	collaborate	contingent	94.02	475.501419825	127245.567781	117059.250929	128664.488845	131804.391515	138886.527719	None	7082.13620324	4	4	4	74	0	1	1	83	[609, 733]	-9	0	1	1	55	[427, 778]	19	0	1	1	106	[222, 387]	-32	1	0	1	36	[1175, 708]	38	1	0	1	68	[959, 404]	6	1	0	1	127	[661, 501]	-53	0	1	1	142	[475, 933]	-68	1	0	1	173	[954, 901]	81	6	74	68	83	55	106	36	127	142	173
7	8	collaborate	contingent	68.08	559.455853727	150424.483215	144445.305636	151675.816207	154782.168568	161829.343307	None	7047.17473878	4	4	6	121	0	1	1	150	[669, 288]	-29	0	1	1	72	[895, 160]	49	0	1	1	118	[276, 514]	3	1	0	1	35	[1238, 770]	86	1	0	1	100	[1101, 129]	21	0	1	1	20	[435, 113]	-79	1	0	1	136	[1328, 400]	-15	1	0	1	160	[1042, 744]	-39	-15	121	136	150	72	118	35	100	20	160
8	8	collaborate	contingent	16.04	617.390287629	175039.212524	167122.962209	176457.715373	179597.915669	186661.450646	None	7063.53497704	4	4	4	35	1	0	1	102	[187, 357]	-67	0	1	1	151	[1282, 391]	64	0	1	1	48	[1397, 748]	-13	1	0	1	19	[710, 720]	16	1	0	1	68	[1000, 795]	-33	0	1	1	91	[1046, 275]	-56	0	1	1	79	[1381, 169]	-44	1	0	1	163	[853, 248]	52	-33	35	68	102	151	48	19	91	79	163
9	8	collaborate	contingent	74.9	695.490595526	198202.11446	191438.172521	199804.440264	202926.699462	209974.211045	None	7047.51158339	4	4	1	62	1	0	1	175	[1177, 519]	67	1	0	1	75	[600, 904]	-13	0	1	1	96	[1474, 527]	-34	1	0	1	5	[1243, 199]	57	1	0	1	158	[1196, 882]	84	0	1	1	127	[366, 770]	-65	0	1	1	50	[545, 523]	12	0	1	1	117	[567, 150]	-55	-13	62	75	175	96	5	158	127	50	117
10	8	collaborate	contingent	29.05	744.054272626	222933.014107	215050.670006	224218.033759	227342.982581	234422.277781	None	7079.2951994	4	4	2	53	1	0	1	168	[1379, 231]	65	0	1	1	153	[1057, 495]	80	1	0	1	26	[448, 892]	27	0	1	1	3	[389, 528]	50	0	1	1	108	[557, 349]	-55	1	0	1	84	[479, 673]	-31	1	0	1	66	[798, 786]	-13	0	1	1	138	[1090, 907]	-85	27	53	26	168	153	3	108	84	66	138
11	8	collaborate	contingent	87.05	832.390851897	244025.133592	239131.016057	245276.088688	248416.026912	255479.695674	None	7063.6687619	3	5	7	44	0	1	1	102	[615, 432]	-58	1	0	1	20	[1149, 567]	24	0	1	1	55	[1475, 711]	-11	0	1	1	159	[1308, 944]	65	0	1	1	9	[1013, 202]	35	1	0	1	118	[665, 614]	-74	0	1	1	178	[1165, 284]	46	1	0	1	35	[1163, 779]	9	9	44	35	102	20	55	159	9	118	178
