trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	68.08	61.0469031561	17660.8701166	13903.3971451	18996.5387841	22119.076017	25994.3666814	None	3875.29066443	4	4	3	121	1	0	1	111	[895, 776]	10	1	0	1	171	[1008, 247]	-50	0	1	1	60	[267, 758]	61	1	0	1	136	[735, 872]	-15	1	0	1	11	[724, 107]	-70	0	1	1	91	[213, 264]	30	0	1	1	74	[337, 926]	47	0	1	1	1	[350, 566]	-60	-15	121	136	111	171	60	11	91	74	1
2	8	collaborate	contingent	89.62	126.17801761	38370.0169194	34744.9681699	39637.8607098	42761.4722648	45182.9584141	None	2421.48614927	4	4	2	146	1	0	1	107	[1198, 199]	39	0	1	1	76	[420, 873]	70	1	0	1	154	[975, 660]	-8	1	0	1	2	[1234, 559]	-36	0	1	1	167	[746, 888]	-21	0	1	1	30	[256, 804]	-64	0	1	1	44	[459, 674]	-78	1	0	1	133	[1298, 843]	13	-8	146	154	107	76	2	167	30	44	133
3	8	collaborate	contingent	98.47	181.858285003	59880.6626416	55320.188679	61131.8535227	64255.6483466	67595.7162001	None	3340.06785347	4	4	4	58	0	1	1	83	[556, 251]	-25	1	0	1	6	[1124, 832]	52	1	0	1	26	[873, 731]	32	0	1	1	97	[411, 135]	-39	1	0	1	55	[1495, 225]	3	0	1	1	114	[622, 791]	-56	1	0	1	70	[1063, 686]	-12	0	1	1	143	[243, 358]	-85	3	58	55	83	6	26	97	114	70	143
4	8	collaborate	contingent	84.27	273.907718905	84481.2182395	79335.9692284	85815.5450123	88938.7643719	91059.9743717	None	2121.20999974	4	4	4	27	0	1	1	71	[625, 186]	-44	0	1	1	52	[815, 725]	-25	1	0	1	164	[1332, 365]	43	0	1	1	31	[313, 176]	-4	1	0	1	17	[1150, 778]	10	1	0	1	152	[1272, 889]	55	0	1	1	112	[459, 793]	-85	1	0	1	100	[1465, 468]	-73	10	27	17	71	52	164	31	152	112	100
5	8	collaborate	contingent	87.05	329.485837036	108011.52358	103384.795721	109263.410516	112388.786218	116194.520847	None	3805.73462961	5	3	3	19	1	0	1	102	[713, 681]	-83	0	1	1	44	[265, 588]	-25	1	0	1	131	[1407, 395]	68	1	0	1	10	[1306, 884]	9	0	1	1	144	[466, 808]	55	0	1	1	114	[554, 396]	85	1	0	1	168	[833, 335]	31	1	0	1	62	[772, 901]	-43	9	19	10	102	44	131	144	114	168	62
6	8	collaborate	contingent	78.17	374.328876	133364.03539	127400.840544	134698.521607	137822.415396	142247.985509	None	4425.57011281	4	4	1	116	0	1	1	30	[772, 322]	86	1	0	1	128	[992, 257]	-12	1	0	1	4	[799, 145]	-68	0	1	1	107	[639, 821]	9	1	0	1	59	[1459, 592]	57	0	1	1	92	[271, 225]	24	1	0	1	168	[1304, 333]	-52	0	1	1	42	[375, 664]	74	-12	116	128	30	4	107	59	92	168	42
7	8	collaborate	contingent	99.83	427.445000509	157863.345566	152902.692293	159115.755918	162238.399447	165161.568004	None	2923.16855751	4	4	6	0	0	1	1	128	[209, 431]	52	1	0	1	160	[982, 332]	20	1	0	1	90	[1015, 132]	90	0	1	1	108	[360, 119]	72	0	1	1	59	[584, 345]	-59	0	1	1	36	[635, 192]	-36	1	0	1	179	[1364, 845]	1	1	0	1	22	[1086, 820]	-22	1	0	179	128	160	90	108	59	36	22
8	8	collaborate	contingent	95.81	518.877277417	180727.802108	176284.184043	182679.778699	185803.204053	190179.776133	None	4376.57208038	4	4	2	57	1	0	1	140	[1467, 886]	-83	0	1	1	159	[351, 172]	78	1	0	1	52	[1056, 153]	5	0	1	1	124	[1129, 886]	-67	1	0	1	28	[1446, 313]	29	1	0	1	80	[1370, 535]	-23	0	1	1	42	[996, 403]	15	0	1	1	114	[200, 282]	-57	5	57	52	140	159	124	28	80	42	114
9	8	collaborate	contingent	54.01	571.159657588	205794.538001	200884.878559	207062.840697	210186.954409	216298.64469	None	6111.69028147	4	4	2	52	0	1	1	36	[766, 945]	16	0	1	1	46	[524, 287]	6	1	0	1	71	[1427, 343]	-19	1	0	1	129	[1213, 850]	-77	0	1	1	87	[626, 133]	-35	1	0	1	175	[1482, 597]	57	1	0	1	24	[1289, 200]	28	0	1	1	145	[379, 496]	87	-19	52	71	36	46	129	87	175	24	145
10	8	collaborate	contingent	89.62	658.105537314	228875.780725	225267.542496	230143.329086	233266.778632	235840.315266	None	2573.53663471	4	4	2	23	1	0	1	88	[1006, 696]	-65	0	1	1	103	[178, 283]	-80	1	0	1	15	[1304, 451]	8	1	0	1	138	[1449, 799]	65	1	0	1	158	[1096, 396]	45	0	1	1	73	[561, 269]	-50	0	1	1	41	[662, 650]	-18	0	1	1	123	[839, 297]	80	8	23	15	88	103	138	158	73	41	123
