trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	87.05	54.457012923	24149.3590629	19255.1055229	25418.2161523	28540.5152201	35655.3458216	None	7114.83060151	4	4	6	61	1	0	1	92	[347, 280]	-31	0	1	1	111	[974, 691]	-50	0	1	1	171	[432, 689]	70	0	1	1	80	[543, 825]	-19	1	0	1	159	[839, 300]	82	0	1	1	53	[1165, 920]	8	1	0	1	70	[1254, 384]	-9	1	0	1	136	[1434, 472]	-75	-9	61	70	92	111	171	80	159	53	136
2	8	collaborate	contingent	40.64	115.42732082	45926.3786479	42903.3215542	47195.0037221	50319.0625125	57382.6221809	None	7063.55966838	4	4	6	65	1	0	1	74	[1224, 325]	-9	0	1	1	157	[1161, 685]	88	1	0	1	55	[940, 305]	10	0	1	1	103	[790, 814]	-38	1	0	1	126	[1043, 419]	-61	0	1	1	168	[1180, 496]	77	1	0	1	88	[636, 278]	-23	0	1	1	42	[291, 652]	23	-23	65	88	74	157	55	103	126	168	42
3	8	collaborate	contingent	98.47	196.949597177	67573.250238	63812.3635812	68839.0141595	71962.4417809	78810.6130219	None	6848.17124105	4	4	3	89	0	1	1	174	[607, 944]	-85	1	0	1	134	[241, 239]	-45	0	1	1	31	[992, 848]	58	1	0	1	86	[977, 254]	3	0	1	1	76	[759, 752]	13	1	0	1	60	[393, 143]	29	1	0	1	164	[562, 123]	-75	0	1	1	42	[1384, 111]	47	3	89	86	174	134	31	76	60	164	42
4	8	collaborate	contingent	26.5	213.807059997	90233.5127266	88011.6975183	91501.9072519	94626.0639064	101722.926352	None	7096.86244512	4	4	2	112	0	1	1	5	[1437, 766]	-73	0	1	1	34	[895, 842]	78	1	0	1	140	[628, 528]	-28	1	0	1	107	[605, 373]	5	1	0	1	90	[537, 161]	22	0	1	1	166	[630, 819]	-54	0	1	1	47	[1025, 936]	65	1	0	1	76	[1224, 296]	36	-28	112	140	5	34	107	90	166	47	76
5	8	collaborate	contingent	68.08	251.909639209	115117.427484	110757.868995	116386.579632	119509.168627	125838.834925	None	6329.66629781	4	4	2	42	0	1	1	116	[1059, 836]	-74	1	0	1	42	[1361, 769]	0	1	0	1	27	[1366, 467]	15	0	1	1	175	[407, 774]	47	0	1	1	81	[446, 409]	-39	1	0	1	105	[1095, 303]	-63	0	1	1	57	[275, 545]	-15	1	0	1	130	[549, 144]	-88	15	42	27	116	42	175	81	105	57	130
6	8	collaborate	contingent	97.3	301.836878841	141170.235655	132786.104826	142422.197062	145546.273446	152627.39222	None	7081.11877449	5	3	6	125	0	1	1	131	[274, 934]	-6	1	0	1	174	[1270, 156]	-49	1	0	1	68	[357, 128]	57	0	1	1	97	[425, 628]	28	1	0	1	28	[597, 921]	-83	0	1	1	146	[222, 429]	-21	1	0	1	121	[1074, 174]	4	1	0	1	160	[1114, 373]	-35	4	125	121	131	174	68	97	28	146	160
7	8	collaborate	contingent	11.52	348.247186738	163715.913852	160642.707048	164968.297504	168092.222877	175172.250484	None	7080.02760723	4	4	4	154	0	1	1	104	[634, 415]	50	1	0	1	151	[1185, 273]	3	0	1	1	175	[633, 711]	-21	1	0	1	17	[999, 281]	-43	1	0	1	118	[1062, 543]	36	0	1	1	132	[258, 358]	22	0	1	1	67	[1032, 836]	87	1	0	1	44	[609, 163]	-70	36	154	118	104	151	175	17	132	67	44
8	8	collaborate	contingent	64.57	429.767395204	187649.44978	183773.014851	188917.019973	192023.085683	199104.15351	None	7081.06782647	4	4	5	56	1	0	1	14	[287, 429]	42	0	1	1	62	[996, 708]	-6	1	0	1	30	[1057, 275]	26	1	0	1	109	[1207, 427]	-53	0	1	1	93	[1302, 890]	-37	1	0	1	72	[1331, 693]	-16	0	1	1	44	[795, 767]	12	0	1	1	163	[306, 893]	73	-16	56	72	14	62	30	109	93	44	163
9	8	collaborate	contingent	78.17	504.61673762	209826.549855	207271.109798	211078.253956	214185.632952	221265.997403	None	7080.3644506	4	4	7	67	0	1	1	166	[785, 924]	81	1	0	1	100	[1108, 312]	-33	0	1	1	155	[257, 870]	-88	0	1	1	3	[1162, 655]	64	1	0	1	57	[306, 219]	10	0	1	1	131	[432, 653]	-64	1	0	1	110	[1055, 164]	-43	1	0	1	79	[552, 378]	-12	-12	67	79	166	100	155	3	57	131	110
10	8	collaborate	contingent	89.62	588.510739113	230835.764849	227779.932785	232104.471293	235227.841003	241490.471804	None	6262.63080171	4	4	0	167	1	0	1	175	[473, 379]	-8	0	1	1	105	[223, 944]	62	0	1	1	14	[1227, 778]	-27	1	0	1	44	[1467, 396]	-57	1	0	1	134	[430, 530]	33	0	1	1	155	[1082, 858]	12	0	1	1	63	[253, 532]	-76	1	0	1	78	[1179, 190]	89	-8	167	175	105	14	44	134	155	63	78
11	8	collaborate	contingent	98.47	638.392625402	251260.905167	247235.445819	252512.515802	255636.146483	261564.818524	None	5928.67204174	4	4	3	122	1	0	1	94	[1214, 114]	28	0	1	1	46	[437, 753]	76	0	1	1	142	[592, 684]	-20	1	0	1	125	[631, 214]	-3	0	1	1	74	[410, 506]	48	0	1	1	28	[1019, 626]	-86	1	0	1	104	[1481, 898]	18	1	0	1	155	[956, 115]	-33	-3	122	125	94	46	142	74	28	104	155
12	8	collaborate	contingent	57.52	702.916967818	274224.344649	270449.470379	275492.763732	278616.004788	285646.950028	None	7030.94523968	4	4	2	124	0	1	1	167	[924, 773]	-43	0	1	1	11	[599, 758]	-67	1	0	1	142	[313, 402]	-18	0	1	1	60	[525, 621]	64	0	1	1	104	[674, 355]	20	1	0	1	70	[952, 176]	54	1	0	1	127	[1321, 847]	-3	1	0	1	25	[1360, 122]	-81	-18	124	142	167	11	60	104	70	127	25
13	8	collaborate	contingent	84.27	772.058870974	295951.893709	292778.057605	297186.748311	300326.905942	307374.359439	None	7047.45349711	4	4	0	47	1	0	1	37	[1493, 194]	10	1	0	1	92	[404, 116]	-45	0	1	1	18	[706, 804]	29	1	0	1	81	[378, 519]	-34	1	0	1	136	[482, 275]	-89	0	1	1	60	[1020, 204]	-13	0	1	1	124	[844, 717]	-77	0	1	1	160	[294, 943]	67	10	47	37	92	18	81	136	60	124	160
14	8	collaborate	contingent	89.62	847.39213863	315759.188145	313536.967919	317027.683467	320151.363629	327181.57837	None	7030.2147404	4	4	7	75	1	0	1	98	[1135, 117]	-23	1	0	1	61	[1471, 507]	14	0	1	1	169	[907, 892]	86	0	1	1	144	[676, 828]	-69	0	1	1	122	[1264, 656]	-47	1	0	1	132	[1024, 384]	-57	0	1	1	108	[1401, 800]	-33	1	0	1	83	[564, 265]	-8	-8	75	83	98	61	169	144	122	132	108
15	8	collaborate	contingent	71.53	923.807446527	336584.559598	333661.154262	337853.908941	340976.026209	348024.536785	None	7048.51057685	4	4	5	127	0	1	1	159	[179, 757]	-32	1	0	1	29	[1425, 251]	-82	1	0	1	0	[1334, 804]	-53	0	1	1	56	[650, 742]	71	0	1	1	93	[832, 849]	34	1	0	1	113	[565, 151]	14	1	0	1	141	[1506, 875]	-14	0	1	1	46	[1152, 777]	81	14	127	113	159	29	0	56	93	141	46
16	8	collaborate	contingent	100.0	981.006543047	356825.222274	354204.051577	358327.718911	361451.673972	367279.563137	None	5827.88916497	4	4	1	125	0	1	1	56	[260, 942]	69	1	0	1	125	[1251, 276]	0	0	1	1	88	[981, 802]	37	0	1	1	0	[1202, 939]	-55	1	0	1	154	[1035, 642]	-29	1	0	1	67	[1271, 573]	58	1	0	1	44	[428, 308]	81	0	1	1	17	[621, 811]	-72	0	125	125	56	88	0	154	67	44	17
17	8	collaborate	contingent	34.58	1038.94685094	378218.711044	376448.3202	379488.147988	382612.234635	389625.116053	None	7012.8814183	4	4	2	34	1	0	1	12	[1290, 416]	22	0	1	1	113	[305, 891]	-79	1	0	1	59	[200, 133]	-25	0	1	1	140	[399, 753]	74	1	0	1	33	[1024, 290]	1	0	1	1	81	[706, 864]	-47	1	0	1	91	[645, 525]	-57	0	1	1	102	[1300, 700]	-68	-25	34	59	12	113	140	33	81	91	102
18	8	collaborate	contingent	3.17	1085.34343021	404656.804621	398577.499449	405924.5053	409047.850818	416129.384141	None	7081.53332275	4	4	4	144	1	0	1	132	[1447, 212]	12	0	1	1	35	[207, 526]	-71	1	0	1	148	[649, 359]	-4	0	1	1	66	[678, 838]	78	1	0	1	97	[1066, 251]	47	0	1	1	14	[1181, 828]	-50	1	0	1	117	[1184, 551]	27	0	1	1	4	[492, 476]	-40	47	144	97	132	35	148	66	14	117	4
19	8	collaborate	contingent	43.85	1144.71914997	429022.606992	425397.85967	430290.762171	433414.161936	440428.446808	None	7014.28487126	4	4	3	44	1	0	1	81	[1148, 851]	-37	0	1	1	177	[967, 871]	47	0	1	1	12	[784, 824]	32	1	0	1	22	[483, 411]	22	0	1	1	135	[315, 871]	89	0	1	1	123	[191, 639]	-79	1	0	1	42	[1155, 556]	2	1	0	1	60	[992, 244]	-16	22	44	22	81	177	12	135	123	42	60
20	8	collaborate	contingent	98.47	1195.72676392	451987.006423	448662.044936	453254.235008	456377.553403	463441.997148	None	7064.44374477	4	4	6	41	0	1	1	74	[1434, 609]	-33	0	1	1	22	[1385, 913]	19	1	0	1	145	[571, 295]	76	0	1	1	156	[532, 683]	65	1	0	1	128	[230, 211]	-87	0	1	1	106	[352, 704]	-65	1	0	1	44	[430, 155]	-3	1	0	1	176	[629, 155]	45	-3	41	44	74	22	145	156	128	106	176
21	8	collaborate	contingent	47.16	1259.95707182	474315.2722	470806.753435	475833.549893	478956.810742	485838.374927	None	6881.56418479	4	4	4	145	0	1	1	58	[1395, 799]	87	0	1	1	114	[1011, 826]	31	1	0	1	26	[468, 373]	-61	0	1	1	82	[290, 424]	63	1	0	1	124	[1126, 184]	21	1	0	1	159	[336, 204]	-14	1	0	1	138	[1212, 722]	7	0	1	1	95	[477, 662]	50	21	145	124	58	114	26	82	159	138	95
22	8	collaborate	contingent	99.83	1327.15996178	497594.987448	493519.573019	498930.310442	502054.314986	509067.950728	None	7013.6357422	4	4	7	52	0	1	1	140	[1468, 548]	-88	0	1	1	25	[414, 867]	27	1	0	1	4	[1245, 292]	48	1	0	1	39	[1013, 356]	13	1	0	1	114	[400, 153]	-62	0	1	1	70	[1227, 758]	-18	0	1	1	101	[1507, 194]	-49	1	0	1	53	[1128, 197]	-1	-1	52	53	140	25	4	39	114	70	101
23	8	collaborate	contingent	47.16	1351.62366383	520458.952208	517568.600773	521709.973826	524833.604506	531931.201116	None	7097.59660972	4	4	0	166	1	0	1	7	[1469, 155]	-21	0	1	1	142	[300, 644]	24	0	1	1	157	[521, 666]	9	1	0	1	44	[1250, 809]	-58	0	1	1	86	[189, 333]	80	0	1	1	106	[624, 855]	60	1	0	1	172	[1471, 605]	-6	1	0	1	28	[1054, 646]	-42	-21	166	7	142	157	44	86	106	172	28
24	8	collaborate	contingent	43.85	1423.54866383	545375.636071	538878.648419	546643.987712	549767.40727	556815.097181	None	7047.68991057	4	4	7	44	0	1	1	90	[236, 442]	-46	0	1	1	162	[185, 231]	62	0	1	1	6	[492, 504]	38	1	0	1	36	[704, 816]	8	0	1	1	48	[467, 728]	-4	1	0	1	67	[1325, 703]	-23	1	0	1	123	[1476, 300]	-79	1	0	1	22	[1418, 570]	22	22	44	22	90	162	6	36	48	67	123
25	8	collaborate	contingent	10.27	1478.59809773	567587.296863	564013.753033	568855.878687	571979.251328	579027.60283	None	7048.35150174	4	4	1	11	1	0	1	71	[1255, 594]	-60	1	0	1	154	[1450, 368]	37	0	1	1	164	[253, 272]	27	0	1	1	88	[1272, 897]	-77	0	1	1	61	[567, 914]	-50	1	0	1	100	[1296, 325]	-89	1	0	1	15	[1500, 784]	-4	0	1	1	176	[617, 268]	15	37	11	154	71	164	88	61	100	15	176
