trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.02	1.78723963223	56489.8296394	28465.8851705	57591.4097243	60748.1276603	67779.2517679	None	7031.12410754	6	2	1	64	1	0	1	97	[1342, 758]	-33	1	0	1	173	[1175, 237]	71	1	0	1	59	[749, 665]	5	1	0	1	153	[316, 236]	-89	0	1	1	78	[1274, 107]	-14	1	0	1	34	[1101, 808]	30	1	0	1	107	[1441, 363]	-43	0	1	1	13	[1060, 350]	51	71	64	173	97	59	153	78	34	107	13
2	8	collaborate	contingent	81.3	43.3973780059	84596.7764932	75377.8902462	85933.219977	89056.7619566	96136.803492	None	7080.04153546	4	4	5	86	1	0	1	54	[370, 787]	32	0	1	1	6	[1485, 755]	80	1	0	1	117	[1091, 856]	-31	0	1	1	72	[328, 482]	14	0	1	1	17	[898, 150]	69	1	0	1	97	[228, 263]	-11	0	1	1	128	[1203, 249]	-42	1	0	1	171	[628, 862]	-85	-11	86	97	54	6	117	72	17	128	171
3	8	collaborate	contingent	74.9	81.4113988626	108613.689769	105355.381485	109881.132776	113005.104698	120018.674098	None	7013.56939981	4	4	7	133	0	1	1	99	[1085, 928]	34	1	0	1	157	[532, 840]	-24	1	0	1	37	[275, 669]	-84	0	1	1	143	[547, 177]	-10	0	1	1	77	[1386, 824]	56	0	1	1	177	[1349, 385]	-44	1	0	1	58	[395, 401]	75	1	0	1	120	[372, 173]	13	13	133	120	99	157	37	143	77	177	58
4	8	collaborate	contingent	61.05	120.854180853	131559.43013	127484.634774	132827.645787	135951.846792	143048.831659	None	7096.98486697	4	4	4	49	1	0	1	123	[1139, 926]	-74	0	1	1	87	[610, 802]	-38	1	0	1	52	[175, 316]	-3	1	0	1	174	[240, 780]	55	1	0	1	66	[1303, 837]	-17	0	1	1	153	[498, 116]	76	0	1	1	25	[577, 547]	24	0	1	1	102	[762, 885]	-53	-17	49	66	123	87	52	174	153	25	102
5	8	collaborate	contingent	99.83	173.970305363	154675.221047	152250.818192	155941.415277	159064.743202	166179.213868	None	7114.47066659	4	4	1	139	0	1	1	3	[792, 124]	-44	1	0	1	140	[375, 675]	-1	1	0	1	38	[690, 943]	-79	0	1	1	168	[1499, 162]	-29	1	0	1	120	[988, 629]	19	0	1	1	24	[780, 305]	-65	0	1	1	108	[960, 301]	31	1	0	1	158	[280, 251]	-19	-1	139	140	3	38	168	120	24	108	158
6	8	collaborate	contingent	98.47	241.978457334	177352.488444	173561.132673	178620.884069	181744.190368	188791.8209	None	7047.6305323	4	4	1	29	0	1	1	150	[1126, 113]	59	1	0	1	26	[470, 485]	3	1	0	1	58	[523, 921]	-29	0	1	1	45	[744, 929]	-16	1	0	1	112	[1162, 866]	-83	0	1	1	73	[927, 246]	-44	0	1	1	5	[751, 113]	24	1	0	1	102	[1344, 912]	-73	3	29	26	150	58	45	112	73	5	102
7	8	collaborate	contingent	99.32	327.40279975	200233.170385	194236.151394	201501.014012	204624.833457	211721.8832	None	7097.04974323	4	4	5	112	1	0	1	87	[468, 696]	25	0	1	1	99	[1016, 404]	13	0	1	1	57	[1492, 742]	55	1	0	1	35	[624, 150]	77	1	0	1	150	[597, 796]	-38	1	0	1	110	[258, 862]	2	0	1	1	5	[1314, 396]	-73	0	1	1	20	[708, 312]	-88	2	112	110	87	99	57	35	150	5	20
8	8	collaborate	contingent	57.52	402.139384975	220657.117273	217350.053569	222009.027329	225132.402903	231428.57766	None	6296.17475683	4	4	5	120	1	0	1	28	[671, 472]	-88	0	1	1	49	[697, 194]	71	1	0	1	71	[276, 504]	49	0	1	1	10	[1070, 833]	-70	0	1	1	141	[1113, 642]	-21	1	0	1	102	[428, 382]	18	0	1	1	163	[967, 188]	-43	1	0	1	81	[282, 268]	39	18	120	102	28	49	71	10	141	163	81
9	8	collaborate	contingent	1.0	452.553818877	242033.929914	238526.739096	243469.287325	246593.439948	253657.237862	None	7063.7979145	4	4	5	163	0	1	1	130	[842, 304]	33	0	1	1	75	[652, 225]	88	1	0	1	13	[545, 511]	-30	1	0	1	49	[175, 345]	-66	1	0	1	89	[198, 516]	74	1	0	1	63	[448, 834]	-80	0	1	1	101	[1380, 216]	62	0	1	1	148	[969, 631]	15	-80	163	63	130	75	13	49	89	101	148
10	8	collaborate	contingent	5.68	461.151857841	263444.137331	258801.626011	264545.527186	267669.701067	274750.699252	None	7080.9981853	4	4	0	147	1	0	1	105	[331, 225]	42	0	1	1	29	[1093, 444]	-62	0	1	1	90	[746, 211]	57	0	1	1	118	[1352, 567]	29	1	0	1	0	[187, 437]	-33	1	0	1	80	[915, 771]	67	0	1	1	143	[1371, 340]	4	1	0	1	50	[501, 785]	-83	42	147	105	29	90	118	0	80	143	50
