trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	54.01	61.0436771004	12495.5178573	9112.94185951	14064.4624379	17187.6789366	24252.0482753	None	7064.36933868	4	4	2	79	0	1	1	111	[895, 776]	-32	0	1	1	171	[1008, 247]	88	1	0	1	60	[267, 758]	19	0	1	1	136	[735, 872]	-57	0	1	1	11	[724, 107]	68	1	0	1	91	[213, 264]	-12	1	0	1	74	[337, 926]	5	1	0	1	1	[350, 566]	78	19	79	60	111	171	136	11	91	74	1
2	8	collaborate	contingent	40.64	126.175256371	33604.7262167	30298.0239133	34706.417361	37829.7082658	44928.4096045	None	7098.70133869	4	4	6	67	0	1	1	107	[1198, 199]	-40	1	0	1	76	[420, 873]	-9	0	1	1	154	[975, 660]	-87	0	1	1	2	[1234, 559]	65	1	0	1	167	[746, 888]	80	1	0	1	30	[256, 804]	37	1	0	1	44	[459, 674]	23	0	1	1	133	[1298, 843]	-66	23	67	44	107	76	154	2	167	30	133
3	8	collaborate	contingent	12.89	181.855464837	54716.1766555	50923.7945937	56200.020086	59323.5290776	66421.9067681	None	7098.37769049	4	4	3	62	1	0	1	83	[556, 251]	-21	0	1	1	6	[1124, 832]	56	0	1	1	26	[873, 731]	36	1	0	1	97	[411, 135]	-35	0	1	1	55	[1495, 225]	7	1	0	1	114	[622, 791]	-52	0	1	1	70	[1063, 686]	-8	1	0	1	143	[243, 358]	-81	-35	62	97	83	6	26	55	114	70	143
4	8	collaborate	contingent	99.83	273.906344563	79631.7642199	75590.4834967	80883.5951414	84006.946524	91021.4113627	None	7014.46483872	4	4	6	111	1	0	1	71	[625, 186]	40	1	0	1	52	[815, 725]	59	0	1	1	164	[1332, 365]	-53	1	0	1	31	[313, 176]	80	0	1	1	17	[1150, 778]	-86	0	1	1	152	[1272, 889]	-41	1	0	1	112	[459, 793]	-1	0	1	1	100	[1465, 468]	11	-1	111	112	71	52	164	31	17	152	100
5	8	collaborate	contingent	24.11	329.488621471	103246.393045	99621.9103601	104347.878565	107454.608065	114468.692076	None	7014.08401145	3	5	4	115	0	1	1	102	[713, 681]	13	1	0	1	44	[265, 588]	71	0	1	1	131	[1407, 395]	-16	0	1	1	10	[1306, 884]	-75	1	0	1	144	[466, 808]	-29	1	0	1	114	[554, 396]	1	0	1	1	168	[833, 335]	-53	0	1	1	62	[772, 901]	53	-29	115	144	102	44	131	10	114	168	62
6	8	collaborate	contingent	11.52	374.332622964	128364.885306	123637.575593	129766.862236	132890.280694	139970.73128	None	7080.45058574	4	4	3	143	1	0	1	30	[772, 322]	-67	0	1	1	128	[992, 257]	15	0	1	1	4	[799, 145]	-41	1	0	1	107	[639, 821]	36	0	1	1	59	[1459, 592]	84	1	0	1	92	[271, 225]	51	0	1	1	168	[1304, 333]	-25	1	0	1	42	[375, 664]	-79	36	143	107	30	128	4	59	92	168	42
7	8	collaborate	contingent	6.4	427.447056866	152864.122003	149139.351993	154182.590732	157306.009924	164370.290195	None	7064.28027128	4	4	3	149	1	0	1	128	[209, 431]	21	0	1	1	160	[982, 332]	-11	0	1	1	90	[1015, 132]	59	1	0	1	108	[360, 119]	41	1	0	1	59	[584, 345]	90	1	0	1	36	[635, 192]	-67	0	1	1	179	[1364, 845]	-30	0	1	1	22	[1086, 820]	-53	41	149	108	128	160	90	59	36	179	22
8	8	collaborate	contingent	87.05	518.87669498	176428.930264	172520.103391	177748.652901	180870.611094	187951.772753	None	7081.16165879	4	4	1	150	0	1	1	140	[1467, 886]	10	1	0	1	159	[351, 172]	-9	0	1	1	52	[1056, 153]	-82	1	0	1	124	[1129, 886]	26	0	1	1	28	[1446, 313]	-58	0	1	1	80	[1370, 535]	70	1	0	1	42	[996, 403]	-72	1	0	1	114	[200, 282]	36	-9	150	159	140	52	124	28	80	42	114
9	8	collaborate	contingent	50.55	571.158598136	200410.515304	197120.389433	202130.223867	205254.126515	212317.829497	None	7063.70298258	4	4	1	66	1	0	1	36	[766, 945]	30	1	0	1	46	[524, 287]	20	0	1	1	71	[1427, 343]	-5	0	1	1	129	[1213, 850]	-63	1	0	1	87	[626, 133]	-21	0	1	1	175	[1482, 597]	71	0	1	1	24	[1289, 200]	42	1	0	1	145	[379, 496]	-79	20	66	46	36	71	129	87	175	24	145
10	8	collaborate	contingent	84.27	658.105177407	223541.105704	221486.777523	225210.337976	228333.789788	235414.771113	None	7080.9813248	4	4	7	133	0	1	1	88	[1006, 696]	45	1	0	1	103	[178, 283]	30	0	1	1	15	[1304, 451]	-62	0	1	1	138	[1449, 799]	-5	0	1	1	158	[1096, 396]	-25	1	0	1	73	[561, 269]	60	1	0	1	41	[662, 650]	-88	1	0	1	123	[839, 297]	10	10	133	123	88	103	15	138	158	73	41
11	8	collaborate	contingent	99.83	755.924815521	246186.944772	243064.338916	247789.760988	250896.469229	257993.977504	None	7097.50827539	4	4	1	9	1	0	1	76	[438, 532]	-67	1	0	1	10	[426, 868]	-1	1	0	1	125	[268, 699]	64	0	1	1	52	[707, 936]	-43	0	1	1	144	[1295, 308]	45	0	1	1	93	[771, 682]	-84	0	1	1	166	[1153, 372]	23	1	0	1	177	[667, 188]	12	-1	9	10	76	125	52	144	93	166	177
12	8	collaborate	contingent	31.74	819.699453635	270837.186628	267179.266649	272006.241315	275129.060126	281658.821649	None	6529.76152296	4	4	2	44	0	1	1	36	[1373, 944]	8	0	1	1	159	[1376, 513]	65	1	0	1	18	[617, 925]	26	1	0	1	98	[441, 165]	-54	0	1	1	74	[1192, 220]	-30	1	0	1	84	[249, 441]	-40	0	1	1	133	[1237, 840]	-89	1	0	1	111	[1028, 942]	-67	26	44	18	36	159	98	74	84	133	111
13	8	collaborate	contingent	100.0	908.783455128	291662.72742	287387.341653	293166.053885	296288.596331	303386.33882	None	7097.74248966	4	4	7	50	1	0	1	61	[780, 758]	-11	0	1	1	124	[939, 168]	-74	0	1	1	102	[705, 189]	-52	1	0	1	143	[932, 935]	87	0	1	1	17	[1317, 346]	33	0	1	1	72	[1497, 270]	-22	1	0	1	37	[317, 627]	13	1	0	1	50	[263, 875]	0	0	50	50	61	124	102	143	17	72	37
14	8	collaborate	contingent	50.55	983.293663594	314575.982005	311954.460169	315844.819301	318968.029935	326032.314239	None	7064.28430314	4	4	1	164	0	1	1	30	[1193, 164]	-46	1	0	1	144	[927, 737]	20	0	1	1	17	[802, 198]	-33	1	0	1	67	[267, 628]	-83	1	0	1	126	[437, 832]	38	1	0	1	162	[1136, 766]	2	0	1	1	113	[1409, 706]	51	0	1	1	92	[1431, 448]	72	20	164	144	30	17	67	126	162	113	92
15	8	collaborate	contingent	1.0	994.725676517	336821.576742	332963.113268	338006.405889	341130.930175	348194.029479	None	7063.09930355	4	4	0	149	1	0	1	55	[495, 872]	-86	1	0	1	71	[221, 121]	78	0	1	1	179	[1260, 621]	-30	0	1	1	120	[1411, 181]	29	1	0	1	139	[226, 579]	10	0	1	1	150	[415, 177]	-1	0	1	1	35	[664, 832]	-66	1	0	1	168	[335, 383]	-19	-86	149	55	71	179	120	139	150	35	168
16	8	collaborate	contingent	97.3	1093.03429856	360252.204418	355959.998475	361520.903532	364644.289735	371675.180728	None	7030.89099287	4	4	4	122	1	0	1	104	[262, 556]	18	1	0	1	83	[1401, 802]	39	0	1	1	163	[1186, 141]	-41	0	1	1	2	[1181, 533]	-60	1	0	1	118	[1442, 585]	4	0	1	1	31	[1024, 549]	-89	1	0	1	19	[224, 218]	-77	0	1	1	143	[963, 233]	-21	4	122	118	104	83	163	2	31	19	143
17	8	collaborate	contingent	99.32	1192.60873247	383599.941135	380826.962204	385102.200258	388225.913042	395273.22689	None	7047.31384822	4	4	2	113	0	1	1	70	[1035, 661]	43	1	0	1	136	[553, 190]	-23	1	0	1	111	[422, 296]	2	0	1	1	46	[1285, 906]	67	0	1	1	83	[650, 871]	30	0	1	1	167	[850, 169]	-54	1	0	1	6	[664, 459]	-73	1	0	1	124	[635, 660]	-11	2	113	111	70	136	46	83	167	6	124
18	8	collaborate	contingent	78.17	1281.35235451	406045.91626	401870.551716	407230.517056	410337.243258	417434.999309	None	7097.75605136	3	5	6	43	1	0	1	100	[321, 291]	-57	0	1	1	65	[751, 854]	-22	0	1	1	178	[793, 154]	45	0	1	1	80	[1280, 933]	-37	0	1	1	42	[1343, 192]	1	1	0	1	16	[514, 855]	27	1	0	1	55	[372, 142]	-12	0	1	1	150	[1504, 403]	73	-12	43	55	100	65	178	80	42	16	150
19	8	collaborate	contingent	94.02	1358.88562217	429293.522528	425050.238045	430644.992378	433768.373083	440782.970607	None	7014.59752349	4	4	5	44	1	0	1	130	[378, 903]	-86	0	1	1	166	[569, 945]	58	0	1	1	5	[1062, 204]	39	1	0	1	147	[546, 662]	77	0	1	1	74	[1381, 420]	-30	1	0	1	38	[254, 376]	6	0	1	1	55	[719, 664]	-11	1	0	1	118	[406, 478]	-74	6	44	38	130	166	5	147	74	55	118
20	8	collaborate	contingent	50.55	1418.19929927	452573.45403	448381.266744	453742.067778	456848.596052	463946.229682	None	7097.6336295	4	4	2	42	0	1	1	135	[1265, 323]	87	0	1	1	2	[1350, 129]	40	1	0	1	62	[223, 163]	-20	1	0	1	14	[377, 428]	28	1	0	1	155	[392, 257]	67	1	0	1	111	[754, 255]	-69	0	1	1	37	[1355, 680]	5	0	1	1	49	[1009, 436]	-7	-20	42	62	135	2	14	155	111	37	49
21	8	collaborate	contingent	97.3	1504.30001902	474969.148226	471711.944671	476788.700609	479911.886319	486609.06926	None	6697.18294114	4	4	0	38	1	0	1	42	[315, 251]	-4	1	0	1	137	[824, 910]	81	0	1	1	16	[1265, 484]	22	0	1	1	117	[1347, 180]	-79	1	0	1	66	[654, 583]	-28	0	1	1	167	[1195, 631]	51	0	1	1	87	[1155, 286]	-49	1	0	1	149	[1022, 748]	69	-4	38	42	137	16	117	66	167	87	149
22	8	collaborate	contingent	89.62	1598.34522749	501122.132662	495794.199696	502290.497901	505413.964742	512511.821223	None	7097.85648127	4	4	3	44	1	0	1	179	[681, 308]	45	1	0	1	54	[372, 695]	-10	1	0	1	126	[852, 868]	-82	1	0	1	36	[324, 865]	8	0	1	1	92	[1209, 461]	-48	0	1	1	151	[1497, 942]	73	0	1	1	69	[1410, 339]	-25	0	1	1	22	[1363, 848]	22	8	44	36	179	54	126	92	151	69	22
23	8	collaborate	contingent	81.3	1686.8998656	523818.653279	519793.084338	525070.40393	528193.591839	535257.79917	None	7064.20733131	4	4	1	74	0	1	1	56	[1388, 840]	18	1	0	1	85	[664, 796]	-11	0	1	1	35	[899, 755]	39	1	0	1	104	[378, 302]	-30	0	1	1	10	[1211, 668]	64	1	0	1	165	[574, 518]	89	1	0	1	147	[233, 772]	-73	0	1	1	136	[1436, 695]	-62	-11	74	85	56	35	104	10	165	147	136
24	8	collaborate	contingent	99.32	1774.01058536	547700.441415	544426.374066	549135.778301	552259.010194	558472.495951	None	6213.4857571	4	4	2	70	1	0	1	5	[528, 445]	65	0	1	1	38	[1264, 818]	32	1	0	1	68	[825, 747]	2	0	1	1	19	[1021, 203]	51	1	0	1	146	[441, 238]	-76	1	0	1	117	[206, 669]	-47	0	1	1	131	[1260, 643]	-61	0	1	1	52	[960, 365]	18	2	70	68	5	38	19	146	117	131	52
25	8	collaborate	contingent	10.27	1829.14558536	572183.318666	567473.472393	573987.152303	577109.674222	584123.944066	None	7014.26984343	4	4	1	15	0	1	1	71	[789, 161]	-56	1	0	1	52	[225, 696]	-37	0	1	1	102	[1277, 485]	-87	1	0	1	91	[523, 748]	-76	1	0	1	31	[350, 500]	-16	0	1	1	132	[726, 806]	63	1	0	1	3	[169, 310]	12	0	1	1	17	[1447, 378]	-2	-37	15	52	71	102	91	31	132	3	17
