trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	87.05	59.3950759128	22493.7421011	14059.0309035	23845.7077697	26968.865551	30308.5401095	None	3339.67455847	4	4	0	24	1	0	1	15	[473, 609]	9	0	1	1	94	[1038, 281]	-70	1	0	1	151	[590, 858]	53	1	0	1	109	[740, 338]	-85	0	1	1	76	[1101, 884]	-52	0	1	1	167	[246, 876]	37	1	0	1	177	[1348, 600]	27	0	1	1	29	[407, 352]	-5	9	24	15	94	151	109	76	167	177	29
2	8	collaborate	contingent	57.52	123.919418329	42884.7488044	39627.4711975	44153.0309739	47277.0585493	50599.9431133	None	3322.88456407	4	4	2	20	0	1	1	5	[1254, 440]	15	1	0	1	86	[509, 715]	-66	1	0	1	38	[625, 250]	-18	0	1	1	56	[1131, 892]	-36	1	0	1	124	[1176, 270]	76	0	1	1	161	[1441, 638]	39	1	0	1	21	[351, 309]	-1	0	1	1	103	[1058, 656]	-83	-18	20	38	5	86	56	124	161	21	103
3	8	collaborate	contingent	84.27	203.505138082	64830.254905	59000.2782021	66097.769178	69222.0577282	72277.429852	None	3055.37212378	4	4	7	78	1	0	1	129	[659, 416]	-51	0	1	1	163	[1298, 635]	-85	0	1	1	7	[760, 752]	71	0	1	1	117	[1183, 751]	-39	1	0	1	30	[1457, 366]	48	0	1	1	153	[1493, 648]	-75	1	0	1	69	[891, 110]	9	1	0	1	88	[1248, 107]	-10	-10	78	88	129	163	7	117	30	153	69
4	8	collaborate	contingent	98.47	301.388687365	84921.2094133	81178.8183703	86188.7761012	89312.5918177	91601.2149993	None	2288.62318161	4	4	6	20	1	0	1	178	[252, 110]	22	1	0	1	96	[247, 563]	-76	0	1	1	113	[1353, 729]	87	0	1	1	147	[852, 287]	53	0	1	1	42	[1026, 665]	-22	1	0	1	11	[296, 288]	9	1	0	1	23	[469, 570]	-3	0	1	1	81	[1187, 699]	-61	-3	20	23	178	96	113	147	42	11	81
5	8	collaborate	contingent	89.62	396.198687365	105562.521809	101069.52378	106831.449818	109971.840738	113262.062024	None	3290.22128617	4	4	6	58	1	0	1	14	[288, 454]	44	0	1	1	53	[1438, 611]	5	1	0	1	89	[568, 600]	-31	0	1	1	38	[945, 288]	20	1	0	1	107	[337, 644]	-49	0	1	1	1	[1410, 269]	57	1	0	1	66	[851, 763]	-8	0	1	1	122	[1057, 661]	-64	-8	58	66	14	53	89	38	107	1	122
6	8	collaborate	contingent	64.57	475.494691495	132400.640048	122045.588498	133670.040524	136792.492354	140784.161684	None	3991.66933017	4	4	6	126	1	0	1	83	[609, 733]	43	1	0	1	55	[427, 778]	71	1	0	1	106	[222, 387]	20	0	1	1	36	[1175, 708]	90	0	1	1	68	[959, 404]	58	0	1	1	127	[661, 501]	-1	1	0	1	142	[475, 933]	-16	0	1	1	173	[954, 901]	-47	-16	126	142	83	55	106	36	68	127	173
7	8	collaborate	contingent	99.83	559.448368596	154161.519255	149435.825472	156666.051494	159789.708133	165768.152049	None	5978.44391533	4	4	0	151	1	0	1	150	[669, 288]	1	1	0	1	72	[895, 160]	79	1	0	1	118	[276, 514]	33	0	1	1	35	[1238, 770]	-64	0	1	1	100	[1101, 129]	51	1	0	1	20	[435, 113]	-49	0	1	1	136	[1328, 400]	15	0	1	1	160	[1042, 744]	-9	1	151	150	72	118	35	100	20	136	160
8	8	collaborate	contingent	99.83	617.385801608	180197.9718	172114.359409	181466.509446	184589.849764	187748.411425	None	3158.56166191	4	4	5	90	0	1	1	102	[187, 357]	-12	1	0	1	151	[1282, 391]	-61	1	0	1	48	[1397, 748]	42	0	1	1	19	[710, 720]	71	0	1	1	68	[1000, 795]	22	1	0	1	91	[1046, 275]	-1	1	0	1	79	[1381, 169]	11	0	1	1	163	[853, 248]	-73	-1	90	91	102	151	48	19	68	79	163
9	8	collaborate	contingent	81.3	695.486521362	203529.649238	196430.610007	204797.464072	207921.769116	211696.195558	None	3774.42644174	4	4	6	61	0	1	1	175	[1177, 519]	66	0	1	1	75	[600, 904]	-14	1	0	1	96	[1474, 527]	-35	0	1	1	5	[1243, 199]	56	0	1	1	158	[1196, 882]	83	1	0	1	127	[366, 770]	-66	1	0	1	50	[545, 523]	11	1	0	1	117	[567, 150]	-56	11	61	50	175	75	96	5	158	127	117
10	8	collaborate	contingent	68.08	744.0499162	227861.861455	220046.427137	229213.989133	232337.683892	236395.829607	None	4058.14571488	4	4	7	153	0	1	1	168	[1379, 231]	-15	1	0	1	153	[1057, 495]	0	0	1	1	26	[448, 892]	-53	1	0	1	3	[389, 528]	-30	1	0	1	108	[557, 349]	45	0	1	1	84	[479, 673]	69	0	1	1	66	[798, 786]	87	1	0	1	138	[1090, 907]	15	15	153	138	168	153	26	3	108	84	66
