trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	100.0	50.8188578045	18959.1791255	9440.21228174	20479.6615866	23601.4754453	30665.2677291	None	7063.7922838	4	4	1	143	0	1	1	17	[1337, 873]	-54	1	0	1	143	[237, 410]	0	1	0	1	2	[922, 944]	-39	0	1	1	126	[480, 466]	17	1	0	1	113	[304, 786]	30	0	1	1	29	[1110, 899]	-66	0	1	1	79	[1509, 460]	64	1	0	1	47	[541, 905]	-84	0	143	143	17	2	126	113	29	79	47
2	8	collaborate	contingent	94.02	98.9837485579	42488.6152754	38397.3505467	43741.3359646	46863.547879	53927.2976449	None	7063.74976588	4	4	6	126	1	0	1	66	[1347, 108]	60	0	1	1	48	[220, 252]	78	0	1	1	36	[1172, 531]	90	1	0	1	78	[872, 295]	48	0	1	1	132	[500, 886]	-6	1	0	1	146	[1412, 459]	-20	1	0	1	120	[1403, 279]	6	0	1	1	13	[1242, 732]	-67	6	126	120	66	48	36	78	132	146	13
3	8	collaborate	contingent	19.77	109.368885785	65650.8101681	60306.8445431	66902.489168	70025.6522378	76188.6634013	None	6163.01116352	4	4	5	121	1	0	1	30	[946, 305]	-89	0	1	1	169	[654, 163]	-48	0	1	1	110	[358, 751]	11	1	0	1	157	[1277, 160]	-36	0	1	1	17	[488, 320]	-76	1	0	1	90	[652, 388]	31	1	0	1	130	[1155, 766]	-9	0	1	1	51	[708, 838]	70	31	121	90	30	169	110	157	17	130	51
4	8	collaborate	contingent	1.0	110.687743589	88663.2015779	83468.5735712	89931.0153977	93054.2924596	100084.605175	None	7030.31271568	4	4	3	21	1	0	1	154	[843, 878]	47	1	0	1	98	[1249, 681]	-77	0	1	1	30	[417, 843]	-9	1	0	1	118	[1059, 500]	83	1	0	1	81	[1430, 917]	-60	0	1	1	144	[486, 234]	57	0	1	1	3	[839, 695]	18	0	1	1	59	[677, 445]	-38	83	21	118	154	98	30	81	144	3	59
5	8	collaborate	contingent	71.53	147.099629878	114129.401842	107199.162397	115397.636077	118521.567035	125567.938698	None	7046.37166312	4	4	1	149	0	1	1	2	[1430, 403]	-33	1	0	1	135	[233, 725]	14	0	1	1	101	[935, 116]	48	1	0	1	15	[196, 305]	-46	0	1	1	58	[1396, 561]	-89	1	0	1	149	[944, 292]	0	0	1	1	79	[1458, 713]	70	1	0	1	166	[521, 920]	-17	14	149	135	2	101	15	58	149	79	166
6	8	collaborate	contingent	99.83	236.098631372	138944.455827	134085.257972	140212.860133	143335.953562	150349.848127	None	7013.89456507	4	4	4	62	0	1	1	137	[1198, 261]	-75	1	0	1	36	[1414, 615]	26	0	1	1	122	[344, 200]	-60	0	1	1	170	[571, 923]	72	1	0	1	63	[516, 605]	-1	1	0	1	2	[1194, 562]	60	1	0	1	105	[1348, 360]	-43	0	1	1	89	[518, 315]	-27	-1	62	63	137	36	122	170	2	105	89
7	8	collaborate	contingent	11.52	274.14590773	160954.344177	156829.539036	162189.333059	165313.01734	172376.42403	None	7063.40669019	4	4	1	168	0	1	1	112	[896, 327]	56	1	0	1	132	[1033, 410]	36	0	1	1	54	[507, 178]	-66	0	1	1	160	[692, 130]	8	1	0	1	83	[1389, 903]	85	1	0	1	102	[1352, 649]	66	1	0	1	11	[587, 886]	-23	0	1	1	71	[257, 557]	-83	36	168	132	112	54	160	83	102	11	71
8	8	collaborate	contingent	74.9	320.51368972	181728.304587	178154.285825	182980.971395	186103.255884	193117.084472	None	7013.82858898	4	4	6	67	1	0	1	108	[598, 534]	-41	0	1	1	40	[714, 167]	27	0	1	1	20	[950, 832]	47	1	0	1	160	[573, 823]	87	0	1	1	73	[1035, 517]	-6	0	1	1	10	[1424, 226]	57	1	0	1	54	[643, 324]	13	1	0	1	91	[271, 860]	-24	13	67	54	108	40	20	160	73	10	91
9	8	collaborate	contingent	19.77	330.940087314	204273.178776	199446.599501	205524.316772	208647.988591	215744.793845	None	7096.80525434	4	4	6	138	1	0	1	76	[1262, 707]	62	0	1	1	91	[201, 211]	47	0	1	1	66	[436, 808]	72	1	0	1	168	[579, 533]	-30	0	1	1	125	[239, 667]	13	0	1	1	24	[1020, 919]	-66	1	0	1	107	[1317, 468]	31	1	0	1	139	[1505, 379]	-1	31	138	107	76	91	66	168	125	24	139
10	8	collaborate	contingent	94.02	382.012666526	231342.431314	221355.790373	232594.230537	235717.233798	242780.963771	None	7063.72997305	4	4	7	123	1	0	1	18	[1207, 123]	-75	0	1	1	167	[362, 153]	-44	0	1	1	104	[392, 330]	19	1	0	1	32	[600, 816]	-89	0	1	1	177	[610, 154]	-54	1	0	1	94	[1463, 570]	29	0	1	1	134	[751, 312]	-11	1	0	1	117	[886, 945]	6	6	123	117	18	167	104	32	177	94	134
