trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	95.81	95.8096381139	12446.8394085	9156.22751552	13715.4237977	16838.8294271	23936.5063075	None	7097.67688034	4	4	0	80	1	0	1	85	[405, 150]	-5	1	0	1	25	[219, 185]	55	0	1	1	165	[759, 348]	-85	0	1	1	61	[1041, 911]	19	1	0	1	122	[1313, 786]	-42	0	1	1	104	[1048, 340]	-24	0	1	1	50	[671, 526]	30	1	0	1	175	[357, 363]	85	-5	80	85	25	165	61	122	104	50	175
2	8	collaborate	contingent	3.17	144.405642244	32972.2358959	30616.9313825	34307.1362779	37431.2174267	44444.617122	None	7013.39969526	4	4	7	28	1	0	1	51	[1139, 314]	-23	0	1	1	97	[277, 710]	-69	1	0	1	110	[1369, 229]	-82	0	1	1	64	[1158, 897]	-36	0	1	1	3	[481, 315]	25	0	1	1	142	[890, 231]	66	1	0	1	28	[1251, 553]	0	1	0	1	161	[1493, 904]	47	47	28	161	51	97	110	64	3	142	28
3	8	collaborate	contingent	1.2	194.920076146	54315.4206455	50006.0345911	55567.0455757	58691.0937367	65705.6564396	None	7014.5627029	4	4	1	33	0	1	1	25	[640, 696]	8	1	0	1	153	[451, 139]	60	0	1	1	95	[675, 368]	-62	1	0	1	132	[1490, 421]	81	1	0	1	174	[1506, 144]	39	1	0	1	36	[1467, 700]	-3	0	1	1	106	[363, 617]	-73	0	1	1	53	[374, 920]	-20	60	33	153	25	95	132	174	36	106	53
4	8	collaborate	contingent	19.77	254.463698193	74606.7520419	71215.8990071	75874.9783288	78998.2666678	86029.2980426	None	7031.03137482	4	4	0	108	1	0	1	77	[295, 234]	31	0	1	1	12	[582, 575]	-84	0	1	1	95	[323, 938]	13	1	0	1	119	[1444, 215]	-11	1	0	1	42	[1003, 193]	66	0	1	1	172	[520, 889]	-64	0	1	1	2	[531, 317]	-74	1	0	1	136	[1062, 712]	-28	31	108	77	12	95	119	42	172	2	136
5	8	collaborate	contingent	1.36	265.030859261	94598.3555153	91223.1453547	95865.6867298	98989.8444839	106003.441374	None	7013.59688975	4	4	4	90	1	0	1	14	[261, 172]	76	0	1	1	106	[552, 686]	-16	0	1	1	149	[621, 836]	-59	0	1	1	54	[168, 458]	36	1	0	1	33	[1050, 575]	57	1	0	1	75	[1338, 360]	15	0	1	1	166	[354, 598]	-76	1	0	1	88	[1317, 130]	2	57	90	33	14	106	149	54	75	166	88
6	8	collaborate	contingent	11.52	320.705293163	113201.607172	111013.426086	114470.955048	117593.565302	124674.505209	None	7080.93990663	4	4	4	68	1	0	1	71	[1110, 874]	-3	0	1	1	52	[361, 737]	16	1	0	1	13	[1032, 525]	55	1	0	1	171	[1181, 623]	77	1	0	1	32	[1359, 866]	36	0	1	1	87	[694, 852]	-19	0	1	1	102	[731, 680]	-34	0	1	1	136	[964, 770]	-68	36	68	32	71	52	13	171	87	102	136
7	8	collaborate	contingent	11.52	363.916012916	140991.522836	129584.601017	142260.600212	145383.968455	152447.791293	None	7063.82283871	4	4	6	28	1	0	1	9	[1226, 322]	19	0	1	1	106	[612, 633]	-78	0	1	1	70	[316, 886]	-42	0	1	1	40	[555, 123]	-12	0	1	1	143	[1062, 569]	65	1	0	1	132	[1000, 164]	76	1	0	1	172	[951, 361]	36	1	0	1	28	[1441, 647]	0	36	28	172	9	106	70	40	143	132	28
8	8	collaborate	contingent	1.29	384.88212737	160097.0765	157674.993063	161365.463328	164489.461274	171586.644069	None	7097.18279452	4	4	0	102	1	0	1	160	[1114, 255]	-58	1	0	1	106	[1321, 838]	-4	0	1	1	26	[1074, 538]	76	0	1	1	89	[453, 839]	13	0	1	1	36	[642, 399]	66	1	0	1	147	[1269, 175]	-45	0	1	1	52	[771, 902]	50	1	0	1	176	[1440, 494]	-74	-58	102	160	106	26	89	36	147	52	176
9	8	collaborate	contingent	3.98	424.322847124	179620.229075	176930.894328	180871.974961	183995.0826	191093.04281	None	7097.96020996	4	4	7	68	1	0	1	158	[1346, 933]	90	1	0	1	126	[1169, 658]	-58	0	1	1	74	[915, 343]	-6	0	1	1	11	[619, 320]	57	0	1	1	34	[184, 677]	34	0	1	1	99	[694, 679]	-31	1	0	1	56	[1353, 629]	12	1	0	1	23	[1495, 262]	45	45	68	23	158	126	74	11	34	99	56
10	8	collaborate	contingent	12.89	441.699860047	198208.061809	196253.478119	199476.912301	202599.585598	209681.424243	None	7081.83864433	4	4	5	103	0	1	1	45	[1220, 857]	58	0	1	1	18	[906, 934]	85	1	0	1	110	[878, 230]	-7	0	1	1	90	[577, 913]	13	0	1	1	67	[309, 841]	36	1	0	1	138	[624, 177]	-35	1	0	1	166	[1035, 638]	-63	1	0	1	2	[1160, 493]	-79	-35	103	138	45	18	110	90	67	166	2
11	8	collaborate	contingent	1.16	447.414046026	217780.831156	215926.913052	219049.471625	222173.043294	229237.831213	None	7064.7879188	4	4	1	94	0	1	1	13	[661, 684]	81	1	0	1	33	[603, 142]	61	0	1	1	176	[536, 568]	-82	1	0	1	134	[734, 377]	-40	1	0	1	144	[1057, 116]	-50	0	1	1	120	[852, 750]	-26	1	0	1	51	[1302, 453]	43	0	1	1	101	[174, 819]	-7	61	94	33	13	176	134	144	120	51	101
12	8	collaborate	contingent	84.27	538.784254492	237020.2172	234564.803863	238288.900919	241412.03055	248442.979455	None	7030.94890501	4	4	3	16	0	1	1	57	[513, 412]	-41	1	0	1	89	[1284, 302]	-73	0	1	1	126	[1032, 528]	70	1	0	1	26	[595, 259]	-10	1	0	1	77	[1097, 114]	-61	0	1	1	141	[1363, 935]	55	1	0	1	178	[848, 270]	18	0	1	1	112	[252, 769]	84	-10	16	26	57	89	126	77	141	178	112
13	8	collaborate	contingent	57.52	609.680134218	256927.422166	253520.315614	258028.722587	261152.322112	268199.971704	None	7047.64959199	4	4	6	11	0	1	1	128	[873, 687]	63	1	0	1	94	[745, 258]	-83	0	1	1	171	[1378, 696]	20	0	1	1	72	[1409, 851]	-61	1	0	1	160	[247, 891]	31	1	0	1	7	[1364, 536]	4	1	0	1	29	[609, 385]	-18	0	1	1	56	[1025, 548]	-45	-18	11	29	128	94	171	72	160	7	56
14	8	collaborate	contingent	1.92	655.451713488	279356.282056	273593.968488	280457.707464	283597.646275	290612.182587	None	7014.53631256	4	4	1	111	1	0	1	133	[470, 711]	-22	1	0	1	59	[556, 417]	52	0	1	1	104	[1458, 568]	7	0	1	1	23	[272, 898]	88	0	1	1	35	[348, 357]	76	1	0	1	77	[751, 821]	34	0	1	1	176	[212, 699]	-65	1	0	1	122	[1089, 805]	-11	52	111	59	133	104	23	35	77	176	122
15	8	collaborate	contingent	26.5	718.360335536	298194.556552	295822.4194	299462.970504	302586.206795	309634.114793	None	7047.90799741	4	4	4	112	0	1	1	104	[423, 895]	8	0	1	1	85	[559, 646]	27	1	0	1	64	[1471, 195]	48	0	1	1	175	[383, 462]	-63	1	0	1	140	[1502, 694]	-28	0	1	1	119	[414, 159]	-7	1	0	1	129	[1283, 388]	-17	1	0	1	17	[796, 143]	-85	-28	112	140	104	85	64	175	119	129	17
16	8	collaborate	contingent	64.57	789.729337029	317867.975359	315913.776527	319436.917374	322560.918618	329641.247149	None	7080.32853041	4	4	7	90	0	1	1	31	[556, 855]	59	1	0	1	177	[279, 253]	-87	0	1	1	128	[1461, 605]	-38	1	0	1	55	[1058, 331]	35	0	1	1	90	[388, 870]	0	1	0	1	139	[505, 255]	-49	0	1	1	160	[866, 871]	-70	1	0	1	74	[1324, 387]	16	16	90	74	31	177	128	55	90	139	160
17	8	collaborate	contingent	1.01	802.28745516	337257.620669	334819.420065	338525.760821	341649.106339	348663.570811	None	7014.46447219	4	4	2	77	0	1	1	162	[608, 778]	-85	1	0	1	32	[1485, 415]	45	1	0	1	149	[1505, 119]	-72	0	1	1	103	[1223, 915]	-26	0	1	1	2	[1257, 685]	75	0	1	1	138	[797, 811]	-61	1	0	1	51	[1206, 204]	26	1	0	1	18	[541, 441]	59	-72	77	149	162	32	103	2	138	51	18
18	8	collaborate	contingent	1.08	831.586654257	359987.084128	354358.177395	361255.790206	364378.653367	371426.346576	None	7047.69320936	4	4	4	87	0	1	1	76	[324, 525]	11	0	1	1	179	[584, 742]	88	1	0	1	100	[882, 126]	-13	0	1	1	51	[290, 136]	36	1	0	1	23	[1050, 237]	64	1	0	1	115	[1300, 681]	-28	0	1	1	88	[457, 906]	-1	1	0	1	132	[354, 348]	-45	64	87	23	76	179	100	51	115	88	132
19	8	collaborate	contingent	89.62	922.373239483	379994.095161	376419.746792	381263.054513	384386.122933	391500.611926	None	7114.48899321	4	4	1	25	0	1	1	87	[550, 421]	-62	1	0	1	33	[1149, 472]	-8	1	0	1	160	[797, 237]	45	1	0	1	140	[1405, 744]	65	1	0	1	98	[1353, 285]	-73	0	1	1	76	[211, 607]	-51	0	1	1	115	[552, 786]	90	0	1	1	21	[642, 577]	4	-8	25	33	87	160	140	98	76	115	21
20	8	collaborate	contingent	1.02	972.54186153	401237.565476	397863.357782	402489.282773	405612.421567	412711.158092	None	7098.73652581	5	3	4	65	0	1	1	85	[205, 511]	-20	1	0	1	60	[1217, 812]	5	1	0	1	12	[1428, 354]	53	0	1	1	172	[293, 385]	73	1	0	1	135	[1149, 414]	-70	0	1	1	116	[609, 263]	-51	1	0	1	103	[988, 742]	-38	1	0	1	47	[1035, 889]	18	-70	65	135	85	60	12	172	116	103	47
21	8	collaborate	contingent	1.0	1020.94649964	420560.930714	417871.101148	421896.051015	425019.63368	432099.96331	None	7080.32963001	4	4	1	92	1	0	1	22	[1175, 917]	70	1	0	1	168	[1278, 633]	-76	0	1	1	69	[376, 669]	23	1	0	1	102	[1215, 425]	-10	0	1	1	42	[420, 295]	50	0	1	1	142	[196, 466]	-50	1	0	1	0	[1354, 141]	-88	0	1	1	123	[708, 168]	-31	-76	92	168	22	69	102	42	142	0	123
