trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.0	7.69909652021	15055.6845764	10579.4753545	16323.19457	19446.3350392	26460.6970349	None	7014.36199575	4	4	2	132.0	0	1	1	163	[793, 163]	-31.0	0	1	1	18	[1246, 352]	-66.0	1	0	1	42	[1263, 902]	90.0	1	0	1	135	[1221, 554]	-3.0	1	0	1	84	[971, 127]	48.0	1	0	1	66	[1455, 852]	66.0	0	1	1	95	[1438, 258]	37.0	0	1	1	52	[1027, 617]	80.0	90	132.0	42	163	18	135	84	66	95	52
2	8	collaborate	contingent	1.0	11.4002210297	37114.9102609	33140.8445439	38383.406604	41506.4726663	48536.4919974	None	7030.01933113	4	4	4	12.0	0	1	1	79	[213, 353]	-67.0	0	1	1	36	[503, 885]	-24.0	1	0	1	66	[1258, 468]	-54.0	0	1	1	15	[232, 621]	-3.0	1	0	1	102	[1435, 234]	90.0	1	0	1	55	[669, 561]	-43.0	0	1	1	152	[775, 909]	40.0	1	0	1	134	[1345, 853]	58.0	90	12.0	102	79	36	66	15	55	152	134
3	8	collaborate	contingent	1.0	54.0361007559	59725.7834899	54983.5073282	60994.3340803	64119.0590864	71148.2104593	None	7029.15137294	4	4	6	125.0	0	1	1	159	[278, 108]	-34.0	0	1	1	100	[728, 664]	25.0	1	0	1	12	[1412, 506]	-67.0	1	0	1	45	[809, 165]	80.0	0	1	1	133	[468, 569]	-8.0	1	0	1	122	[734, 393]	3.0	1	0	1	35	[1059, 776]	90.0	0	1	1	178	[474, 403]	-53.0	90	125.0	35	159	100	12	45	133	122	178
4	8	collaborate	contingent	1.0	90.3004431718	81019.278715	77643.8406124	82286.0834926	85409.3896363	92439.3983378	None	7030.00870157	4	4	0	58.0	1	0	1	148	[1145, 632]	90.0	0	1	1	65	[665, 254]	-7.0	0	1	1	176	[1246, 289]	62.0	1	0	1	120	[1394, 633]	-62.0	1	0	1	158	[1357, 793]	80.0	0	1	1	45	[346, 719]	13.0	1	0	1	78	[818, 747]	-20.0	0	1	1	109	[1496, 509]	-51.0	90	58.0	148	65	176	120	158	45	78	109
5	8	collaborate	contingent	17.84	122.801145954	102994.989081	99837.5521673	104262.598039	107386.34476	114400.227692	None	7013.88293267	5	3	5	90	0	1	1	98	[611, 414]	-8	1	0	1	171	[643, 845]	-81	1	0	1	67	[912, 201]	23	0	1	1	30	[295, 111]	60	1	0	1	9	[1237, 246]	81	1	0	1	122	[1398, 692]	-32	1	0	1	132	[1417, 273]	-42	0	1	1	19	[332, 875]	71	-32	90	122	98	171	67	30	9	132	19
6	8	collaborate	contingent	2.55	142.849297925	126257.219118	123667.636155	127525.092349	130648.109662	137712.738826	None	7064.62916413	4	4	2	55	0	1	1	148	[510, 818]	87	0	1	1	56	[177, 411]	-1	1	0	1	104	[1290, 591]	-49	1	0	1	7	[1112, 607]	48	1	0	1	129	[1181, 267]	-74	0	1	1	30	[337, 518]	25	0	1	1	174	[332, 825]	61	1	0	1	116	[1083, 118]	-61	-49	55	104	148	56	7	129	30	174	116
7	8	collaborate	contingent	1.0	192.584506391	146563.285442	144324.870374	147831.509815	150954.720659	157968.413726	None	7013.69306682	5	3	6	17	0	1	1	127	[567, 472]	70	1	0	1	145	[1278, 751]	52	1	0	1	42	[1403, 577]	-25	1	0	1	94	[1188, 258]	-77	1	0	1	28	[596, 623]	-11	0	1	1	82	[491, 791]	-65	1	0	1	104	[1364, 157]	-87	0	1	1	70	[291, 495]	-53	-87	17	104	127	145	42	94	28	82	70
8	8	collaborate	contingent	95.81	287.500510521	171495.518726	165366.54373	172597.586651	175737.812481	182817.342816	None	7079.53033492	3	5	3	103	0	1	1	31	[1410, 829]	72	1	0	1	98	[1472, 614]	5	0	1	1	64	[738, 857]	39	1	0	1	108	[1152, 403]	-5	0	1	1	15	[430, 438]	88	1	0	1	133	[781, 169]	-30	0	1	1	170	[307, 847]	-67	0	1	1	83	[610, 462]	20	-5	103	108	31	98	64	15	133	170	83
9	8	collaborate	contingent	57.52	346.783778177	193538.499884	190800.507433	194807.928695	197930.137429	205011.838393	None	7081.70096348	4	4	4	64	1	0	1	147	[949, 861]	-83	0	1	1	35	[583, 770]	29	1	0	1	56	[1104, 698]	8	1	0	1	166	[1235, 279]	78	1	0	1	82	[1457, 250]	-18	0	1	1	115	[375, 386]	-51	0	1	1	7	[363, 231]	57	0	1	1	17	[265, 737]	47	-18	64	82	147	35	56	166	115	7	17
10	8	collaborate	contingent	61.05	426.967400224	217035.004226	214212.28542	218219.888852	221359.723221	228474.286372	None	7114.56315092	4	4	5	133	0	1	1	145	[618, 164]	-12	1	0	1	65	[1125, 876]	68	0	1	1	17	[1501, 604]	-64	0	1	1	91	[1392, 892]	42	0	1	1	3	[394, 115]	-50	1	0	1	116	[1244, 224]	17	1	0	1	173	[1394, 465]	-40	1	0	1	79	[1413, 283]	54	17	133	116	145	65	17	91	3	173	79
