trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.16	2.35261395258	13247.7889762	9556.81219649	14499.5288207	17622.6383766	24737.3458771	None	7114.70750049	3	5	2	137	0	1	1	127	[1436, 171]	10	1	0	1	27	[1497, 741]	-70	1	0	1	76	[466, 668]	61	0	1	1	104	[846, 186]	33	1	0	1	161	[391, 441]	-24	0	1	1	57	[569, 355]	80	0	1	1	13	[967, 876]	-56	0	1	1	114	[1397, 503]	23	61	137	76	127	27	104	161	57	13	114
2	8	collaborate	contingent	68.08	36.8926891081	35658.3006538	32034.1635203	36759.6890473	39882.7630494	46946.834632	None	7064.07158259	3	5	5	133	0	1	1	64	[617, 692]	69	0	1	1	11	[1134, 143]	-58	1	0	1	47	[1343, 577]	86	0	1	1	113	[187, 554]	20	0	1	1	94	[299, 251]	39	1	0	1	148	[1332, 836]	-15	0	1	1	173	[470, 729]	-40	1	0	1	131	[1063, 505]	2	-15	133	148	64	11	47	113	94	173	131
3	8	collaborate	contingent	1.01	73.162031524	55998.3821196	52874.9837351	57099.5949434	60222.7730411	67336.8042867	None	7114.03124555	3	5	3	124	0	1	1	152	[292, 326]	-28	1	0	1	39	[1440, 382]	85	1	0	1	126	[837, 847]	-2	1	0	1	19	[1440, 685]	-75	0	1	1	52	[1329, 223]	72	0	1	1	9	[253, 652]	-65	0	1	1	139	[454, 156]	-15	0	1	1	114	[484, 308]	10	-75	124	19	152	39	126	52	9	139	114
4	8	collaborate	contingent	10.27	127.955653571	77857.7247558	73281.5899945	78959.1113167	82084.1228167	89179.6316408	None	7095.50882412	4	4	5	60	1	0	1	44	[542, 795]	16	0	1	1	70	[886, 356]	-10	1	0	1	9	[1462, 582]	51	0	1	1	133	[469, 436]	-73	0	1	1	119	[1362, 926]	-59	1	0	1	23	[297, 613]	37	1	0	1	159	[1061, 885]	81	0	1	1	94	[375, 294]	-34	37	60	23	44	70	9	133	119	159	94
5	8	collaborate	contingent	89.62	173.270557344	99233.0993992	95859.19419	100485.492774	103607.868895	110688.317577	None	7080.44868141	4	4	6	70	0	1	1	129	[417, 560]	-59	0	1	1	140	[267, 427]	-70	1	0	1	93	[1013, 573]	-23	0	1	1	14	[1467, 194]	56	0	1	1	2	[410, 346]	68	1	0	1	76	[1202, 823]	-6	1	0	1	62	[777, 818]	8	1	0	1	154	[1438, 369]	-84	8	70	62	129	140	93	14	2	76	154
6	8	collaborate	contingent	6.4	177.0345782	119689.775648	117117.80801	121042.769735	124164.789586	131278.731397	None	7113.94181128	4	4	0	84	1	0	1	43	[1315, 867]	41	0	1	1	76	[1185, 263]	8	1	0	1	15	[667, 670]	69	1	0	1	98	[905, 944]	-14	0	1	1	116	[933, 250]	-32	1	0	1	65	[1405, 332]	19	0	1	1	55	[245, 846]	29	0	1	1	132	[662, 237]	-48	41	84	43	76	15	98	116	65	55	132
7	8	collaborate	contingent	8.13	190.017360191	140731.719216	137658.039315	142000.379729	145122.622066	152187.221091	None	7064.5990248	4	4	1	81	0	1	1	177	[1002, 216]	84	1	0	1	120	[1390, 901]	-39	0	1	1	62	[1182, 335]	19	1	0	1	154	[1440, 197]	-73	0	1	1	28	[833, 351]	53	0	1	1	38	[641, 137]	43	1	0	1	9	[632, 520]	72	1	0	1	142	[912, 724]	-61	-39	81	120	177	62	154	28	38	9	142
8	8	collaborate	contingent	1.13	205.105755029	161472.862384	158249.468068	162656.648686	165779.848042	172843.647657	None	7063.79961448	4	4	7	55	0	1	1	62	[185, 541]	-7	1	0	1	172	[1339, 321]	63	0	1	1	97	[719, 235]	-42	1	0	1	15	[990, 688]	40	1	0	1	130	[1474, 143]	-75	0	1	1	84	[190, 306]	-29	0	1	1	28	[477, 706]	27	1	0	1	117	[1341, 867]	-62	-62	55	117	62	172	97	15	130	84	28
9	8	collaborate	contingent	95.81	253.829612834	185235.550778	178387.66489	187723.683694	190845.621808	197942.79323	None	7097.17142165	4	4	1	63	0	1	1	79	[410, 295]	-16	1	0	1	58	[855, 277]	5	0	1	1	163	[437, 139]	80	0	1	1	106	[1502, 805]	-43	1	0	1	128	[489, 697]	-65	0	1	1	35	[1385, 247]	28	1	0	1	149	[446, 446]	-86	1	0	1	45	[306, 664]	18	5	63	58	79	163	106	128	35	149	45
10	8	collaborate	contingent	84.27	331.72895525	210016.791282	204005.642789	211269.01825	214391.920714	221489.144917	None	7097.22420252	4	4	5	37	0	1	1	15	[1227, 256]	22	1	0	1	86	[664, 648]	-49	0	1	1	153	[267, 174]	64	1	0	1	48	[625, 478]	-11	0	1	1	115	[486, 309]	-78	1	0	1	27	[1034, 786]	10	1	0	1	104	[286, 761]	-67	0	1	1	127	[1260, 426]	90	10	37	27	15	86	153	48	115	104	127
