trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	97.3	98.65	12081.2558576	9340.88072629	13682.7100387	16807.055824	23903.88858	None	7096.83275598	4	4	0	54	1	0	1	50	[1299, 270]	4	0	1	1	128	[418, 364]	-74	1	0	1	168	[901, 261]	66	1	0	1	27	[1446, 327]	27	0	1	1	62	[819, 792]	-8	1	0	1	6	[1067, 306]	48	0	1	1	151	[621, 786]	83	0	1	1	77	[477, 876]	-23	4	54	50	128	168	27	62	6	151	77
2	8	collaborate	contingent	1.01	126.161903156	32856.9599574	29114.278237	33957.4961578	37080.6518121	44128.272448	None	7047.62063593	4	4	3	52	0	1	1	28	[540, 453]	24	0	1	1	58	[357, 563]	-6	1	0	1	171	[797, 364]	61	1	0	1	126	[931, 911]	-74	0	1	1	3	[370, 364]	49	1	0	1	43	[669, 643]	9	1	0	1	152	[1455, 209]	80	0	1	1	90	[594, 923]	-38	-74	52	126	28	58	171	3	43	152	90
3	8	collaborate	contingent	1.24	168.917782882	53597.8892859	49523.080735	54866.4476513	57990.0108897	65020.8197793	None	7030.80888959	4	4	4	0	1	0	1	39	[1436, 372]	-39	0	1	1	60	[646, 220]	-60	0	1	1	110	[1482, 627]	70	1	0	1	178	[474, 247]	2	1	0	1	121	[1017, 228]	59	0	1	1	86	[985, 649]	-86	1	0	1	27	[1483, 145]	-27	0	1	1	134	[671, 596]	46	59	0	121	39	60	110	178	86	27	134
4	8	collaborate	contingent	40.64	194.371968862	73973.1064106	70832.5499923	75241.7992934	78364.5781522	85395.969462	None	7031.39130973	4	4	1	156	0	1	1	89	[399, 594]	67	1	0	1	179	[960, 212]	-23	1	0	1	41	[499, 338]	-65	0	1	1	154	[1381, 938]	2	0	1	1	52	[592, 729]	-76	0	1	1	112	[1009, 808]	44	1	0	1	13	[640, 267]	-37	1	0	1	79	[1012, 361]	77	-23	156	179	89	41	154	52	112	13	79
5	8	collaborate	contingent	99.83	293.522177327	94666.2618926	91908.7946175	96935.9568753	100058.922666	107157.540435	None	7098.61776928	4	4	1	90	0	1	1	142	[754, 732]	-52	1	0	1	89	[1199, 906]	1	1	0	1	44	[1078, 602]	46	0	1	1	178	[967, 708]	-88	0	1	1	22	[453, 783]	68	0	1	1	56	[193, 110]	34	1	0	1	69	[1203, 349]	21	1	0	1	119	[1365, 461]	-29	1	90	89	142	44	178	22	56	69	119
6	8	collaborate	contingent	99.83	391.341815441	117077.156925	114170.637374	118429.827535	121554.134468	128616.984163	None	7062.84969491	4	4	3	107	1	0	1	135	[1330, 322]	-28	0	1	1	79	[376, 866]	28	1	0	1	150	[1379, 871]	-43	1	0	1	108	[1239, 454]	-1	0	1	1	89	[412, 483]	18	1	0	1	14	[1370, 613]	-87	0	1	1	176	[444, 202]	-69	0	1	1	24	[942, 867]	83	-1	107	108	135	79	150	89	14	176	24
7	8	collaborate	contingent	1.0	424.129091799	140090.694436	137017.162884	141359.224578	144482.290432	151546.72538	None	7064.43494799	4	4	7	70	1	0	1	63	[290, 324]	7	0	1	1	132	[748, 836]	-62	0	1	1	145	[230, 884]	-75	0	1	1	20	[572, 509]	50	1	0	1	77	[485, 171]	-7	1	0	1	46	[1119, 281]	24	0	1	1	173	[566, 775]	77	1	0	1	160	[1401, 938]	90	90	70	160	63	132	145	20	77	46	173
8	8	collaborate	contingent	64.57	498.549971525	160849.501388	157308.44993	162201.536797	165325.312258	172389.32716	None	7064.01490175	4	4	2	61	1	0	1	43	[1409, 593]	18	1	0	1	67	[938, 349]	-6	1	0	1	77	[1180, 805]	-16	0	1	1	29	[670, 296]	32	0	1	1	130	[809, 712]	-69	0	1	1	119	[994, 765]	-58	1	0	1	163	[1182, 511]	78	0	1	1	57	[276, 458]	4	-16	61	77	43	67	29	130	119	163	57
9	8	collaborate	contingent	94.02	546.123992382	181190.841746	178451.432794	182292.315903	185415.552194	192429.989909	None	7014.43771532	4	4	2	69	1	0	1	107	[907, 169]	-38	0	1	1	117	[319, 837]	-48	1	0	1	63	[1500, 549]	6	0	1	1	14	[307, 354]	55	1	0	1	96	[636, 136]	-27	0	1	1	179	[711, 637]	70	0	1	1	32	[221, 595]	37	1	0	1	151	[1367, 407]	-82	6	69	63	107	117	14	96	179	32	151
10	8	collaborate	contingent	1.24	570.324695165	202017.144191	198358.704469	203284.959229	206408.299249	213523.420511	None	7115.12126178	4	4	0	29	1	0	1	150	[1322, 764]	59	1	0	1	93	[1014, 124]	-64	0	1	1	108	[502, 747]	-79	0	1	1	4	[274, 303]	25	0	1	1	74	[171, 552]	-45	0	1	1	136	[700, 814]	73	1	0	1	15	[664, 649]	14	1	0	1	30	[1492, 929]	-1	59	29	150	93	108	4	74	136	15	30
