trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	3.55	2.35420280268	18215.1608985	14239.957819	19566.4229933	22672.8651637	29772.0711726	None	7099.20600885	5	3	7	68	1	0	1	127	[1436, 171]	-59	0	1	1	27	[1497, 741]	41	0	1	1	76	[466, 668]	-8	1	0	1	104	[846, 186]	-36	0	1	1	161	[391, 441]	87	1	0	1	57	[569, 355]	11	1	0	1	13	[967, 876]	55	1	0	1	114	[1397, 503]	-46	-46	68	114	127	27	76	104	161	57	13
2	8	collaborate	contingent	1.0	36.8928799031	40541.859923	37102.2486275	41810.1048221	44933.3207978	51947.7934875	None	7014.47268974	5	3	1	103	1	0	1	64	[617, 692]	39	1	0	1	11	[1134, 143]	-88	0	1	1	47	[1343, 577]	56	1	0	1	113	[187, 554]	-10	1	0	1	94	[299, 251]	9	0	1	1	148	[1332, 836]	-45	1	0	1	173	[470, 729]	-70	0	1	1	131	[1063, 505]	-28	-88	103	11	64	47	113	94	148	173	131
3	8	collaborate	contingent	71.53	73.1608183878	60898.9437154	57942.8584414	62166.815847	65290.0589464	69832.0966395	None	4542.03769314	5	3	4	66	1	0	1	152	[292, 326]	-86	0	1	1	39	[1440, 382]	27	0	1	1	126	[837, 847]	-60	0	1	1	19	[1440, 685]	47	1	0	1	52	[1329, 223]	14	1	0	1	9	[253, 652]	57	1	0	1	139	[454, 156]	-73	1	0	1	114	[484, 308]	-48	14	66	52	152	39	126	19	9	139	114
4	8	collaborate	contingent	99.32	127.955004367	82741.2964099	78031.5609832	84010.5247262	87132.9680432	92727.2701615	None	5594.30211836	4	4	4	121	0	1	1	44	[542, 795]	77	1	0	1	70	[886, 356]	51	0	1	1	9	[1462, 582]	-68	1	0	1	133	[469, 436]	-12	1	0	1	119	[1362, 926]	2	0	1	1	23	[297, 613]	-82	0	1	1	159	[1061, 885]	-38	1	0	1	94	[375, 294]	27	2	121	119	44	70	9	133	23	159	94
5	8	collaborate	contingent	1.01	173.271583638	104283.658121	100927.3107	105535.270332	108658.530292	115755.859634	None	7097.32934249	4	4	4	75	1	0	1	129	[417, 560]	-54	1	0	1	140	[267, 427]	-65	0	1	1	93	[1013, 573]	-18	1	0	1	14	[1467, 194]	61	1	0	1	2	[410, 346]	73	0	1	1	76	[1202, 823]	-1	0	1	1	62	[777, 818]	13	0	1	1	154	[1438, 369]	-79	73	75	2	129	140	93	14	76	62	154
6	8	collaborate	contingent	1.13	177.037708147	124823.971627	122185.07779	126092.307427	129215.420406	134425.636362	None	5210.21595592	4	4	7	70	0	1	1	43	[1315, 867]	27	1	0	1	76	[1185, 263]	-6	0	1	1	15	[667, 670]	55	0	1	1	98	[905, 944]	-28	1	0	1	116	[933, 250]	-46	0	1	1	65	[1405, 332]	5	1	0	1	55	[245, 846]	15	1	0	1	132	[662, 237]	-62	-62	70	132	43	76	15	98	116	65	55
7	8	collaborate	contingent	17.84	190.020287359	145698.250742	142725.741705	147050.144745	150173.43806	157220.607996	None	7047.1699358	4	4	0	145	1	0	1	177	[1002, 216]	-32	0	1	1	120	[1390, 901]	25	1	0	1	62	[1182, 335]	83	0	1	1	154	[1440, 197]	-9	1	0	1	28	[833, 351]	-63	1	0	1	38	[641, 137]	-73	0	1	1	9	[632, 520]	-44	0	1	1	142	[912, 724]	3	-32	145	177	120	62	154	28	38	9	142
8	8	collaborate	contingent	29.05	205.109308216	166455.596314	163316.659226	167724.242937	170847.332092	176090.815991	None	5243.48389916	4	4	5	57	1	0	1	62	[185, 541]	-5	0	1	1	172	[1339, 321]	65	1	0	1	97	[719, 235]	-40	0	1	1	15	[990, 688]	42	0	1	1	130	[1474, 143]	-73	1	0	1	84	[190, 306]	-27	1	0	1	28	[477, 706]	29	0	1	1	117	[1341, 867]	-60	-27	57	84	62	172	97	15	130	28	117
9	8	collaborate	contingent	1.64	253.83394633	191504.951907	183455.324344	192774.099218	195896.770888	200388.732378	None	4491.96149022	4	4	3	52	1	0	1	79	[410, 295]	-27	0	1	1	58	[855, 277]	-6	1	0	1	163	[437, 139]	69	1	0	1	106	[1502, 805]	-54	0	1	1	128	[489, 697]	-76	1	0	1	35	[1385, 247]	17	0	1	1	149	[446, 446]	83	0	1	1	45	[306, 664]	7	-54	52	106	79	58	163	128	35	149	45
10	8	collaborate	contingent	71.53	331.734826056	215067.676181	209072.380676	216336.233369	219459.549776	223918.276311	None	4458.72653526	4	4	7	113	1	0	1	15	[1227, 256]	-82	0	1	1	86	[664, 648]	27	1	0	1	153	[267, 174]	-40	0	1	1	48	[625, 478]	65	1	0	1	115	[486, 309]	-2	0	1	1	27	[1034, 786]	86	0	1	1	104	[286, 761]	9	1	0	1	127	[1260, 426]	-14	-14	113	127	15	86	153	48	115	27	104
11	8	collaborate	contingent	34.58	386.475545809	235742.29962	231800.355687	237076.974843	240200.526933	244408.3648	None	4207.83786776	4	4	4	113	1	0	1	50	[183, 244]	63	0	1	1	169	[1282, 337]	-56	1	0	1	149	[360, 860]	-36	0	1	1	11	[1061, 360]	-78	1	0	1	138	[1160, 707]	-25	0	1	1	109	[1380, 136]	4	0	1	1	21	[1444, 367]	-88	1	0	1	126	[516, 200]	-13	-25	113	138	50	169	149	11	109	21	126
12	8	collaborate	contingent	1.1	427.675853706	256632.881174	252574.495957	257901.796835	261024.449811	265434.171162	None	4409.7213517	4	4	1	21	0	1	1	135	[1117, 811]	66	1	0	1	84	[864, 844]	-63	0	1	1	64	[1028, 567]	-43	0	1	1	156	[1014, 366]	45	1	0	1	118	[350, 387]	83	1	0	1	9	[503, 330]	12	1	0	1	146	[453, 148]	55	0	1	1	20	[1330, 944]	1	-63	21	84	135	64	156	118	9	146	20
13	8	collaborate	contingent	68.08	462.993093338	278760.315251	274534.616431	280027.96013	283151.562435	289080.17324	None	5928.61080505	4	4	5	135	0	1	1	157	[1423, 187]	-22	1	0	1	106	[734, 246]	29	0	1	1	174	[1362, 580]	-39	1	0	1	131	[859, 870]	4	0	1	1	96	[1066, 822]	39	1	0	1	120	[520, 491]	15	1	0	1	147	[435, 767]	-12	0	1	1	57	[1159, 515]	78	15	135	120	157	106	174	131	96	147	57
14	8	collaborate	contingent	91.95	552.495370246	298732.437225	295375.276094	300000.511685	303123.777509	306680.99714	None	3557.21963081	4	4	6	55	1	0	1	7	[451, 129]	48	0	1	1	40	[1201, 469]	15	1	0	1	127	[662, 323]	-72	1	0	1	74	[319, 564]	-19	0	1	1	157	[409, 774]	78	0	1	1	28	[1156, 737]	27	1	0	1	62	[562, 505]	-7	0	1	1	99	[818, 800]	-44	-7	55	62	7	40	127	74	157	28	99
15	8	collaborate	contingent	1.0	593.645678142	318438.072209	316399.612644	319705.907687	322829.148587	326837.353505	None	4008.2049173	4	4	6	64	0	1	1	57	[1213, 699]	7	1	0	1	123	[484, 130]	-59	0	1	1	45	[1352, 852]	19	1	0	1	11	[1450, 189]	53	1	0	1	79	[684, 247]	-15	0	1	1	68	[821, 766]	-4	1	0	1	153	[951, 356]	-89	0	1	1	178	[1048, 808]	66	-89	64	153	57	123	45	11	79	68	178
16	8	collaborate	contingent	1.0	628.184355243	340447.527749	335420.498255	341716.224221	344839.348196	348796.666865	None	3957.31866894	4	4	3	45	1	0	1	66	[595, 297]	-21	1	0	1	172	[556, 107]	53	0	1	1	91	[980, 439]	-46	1	0	1	138	[758, 223]	87	0	1	1	125	[1425, 807]	-80	0	1	1	157	[648, 847]	68	1	0	1	54	[423, 683]	-9	0	1	1	105	[1227, 339]	-60	87	45	138	66	172	91	125	157	54	105
17	8	collaborate	contingent	1.0	678.34297729	361355.255875	357964.530639	362606.807974	365730.148572	369554.530353	None	3824.38178138	4	4	7	71	1	0	1	16	[693, 344]	55	1	0	1	108	[474, 909]	-37	0	1	1	57	[787, 880]	14	0	1	1	45	[1470, 699]	26	0	1	1	133	[1035, 669]	-62	1	0	1	72	[400, 725]	-1	0	1	1	28	[1132, 344]	43	1	0	1	165	[277, 892]	86	86	71	165	16	108	57	45	133	72	28
18	8	collaborate	contingent	99.32	777.917411192	385536.947602	380525.567747	386804.335173	389928.232539	394921.559744	None	4993.32720485	4	4	0	30	1	0	1	32	[1358, 268]	-2	0	1	1	47	[644, 900]	-17	0	1	1	102	[1261, 586]	-72	1	0	1	121	[1077, 393]	89	1	0	1	62	[1315, 810]	-32	0	1	1	92	[560, 756]	-62	1	0	1	168	[1019, 116]	42	0	1	1	148	[741, 671]	62	-2	30	32	47	102	121	62	92	168	148
19	8	collaborate	contingent	26.5	841.081845094	406560.575638	403003.343179	407829.080411	410952.210251	414492.506163	None	3540.29591217	4	4	4	128	0	1	1	68	[749, 723]	60	1	0	1	47	[636, 443]	81	0	1	1	107	[835, 865]	21	0	1	1	88	[1463, 737]	40	1	0	1	156	[1200, 255]	-28	0	1	1	4	[519, 677]	-56	1	0	1	146	[288, 384]	-18	1	0	1	20	[1472, 337]	-72	-28	128	156	68	47	107	88	4	146	20
20	8	collaborate	contingent	99.83	914.577547877	427470.403285	423677.005559	428719.991848	431843.281131	436569.24679	None	4725.96565847	4	4	2	2	0	1	1	151	[1296, 798]	31	1	0	1	123	[1422, 520]	59	1	0	1	3	[955, 125]	-1	1	0	1	93	[1348, 370]	89	0	1	1	164	[1071, 782]	18	0	1	1	69	[321, 910]	-67	1	0	1	13	[497, 274]	-11	0	1	1	141	[299, 595]	41	-1	2	3	151	123	93	164	69	13	141
21	8	collaborate	contingent	95.81	967.052791164	449696.152687	444718.332171	451114.000884	454237.250215	458595.705953	None	4358.45573817	4	4	7	89	0	1	1	173	[1104, 713]	-84	1	0	1	117	[1455, 354]	-28	0	1	1	78	[278, 928]	11	1	0	1	59	[180, 228]	30	1	0	1	28	[1026, 239]	61	0	1	1	132	[605, 564]	-43	0	1	1	150	[294, 330]	-61	1	0	1	94	[567, 263]	-5	-5	89	94	173	117	78	59	28	132	150
22	8	collaborate	contingent	1.01	1016.20634045	470185.498207	464824.539025	471453.90255	474577.46307	480155.123336	None	5577.66026621	5	3	4	74	0	1	1	99	[1215, 265]	-25	1	0	1	161	[835, 904]	-87	1	0	1	143	[293, 722]	-69	1	0	1	50	[981, 135]	24	1	0	1	0	[1009, 700]	74	0	1	1	20	[1115, 388]	54	1	0	1	36	[353, 333]	38	0	1	1	84	[732, 377]	-10	74	74	0	99	161	143	50	20	36	84
23	8	collaborate	contingent	1.0	1047.2296081	490175.980357	487736.341204	491443.205551	494566.774868	499092.006134	None	4525.23126614	4	4	2	133	0	1	1	128	[1264, 297]	5	0	1	1	14	[1331, 717]	-61	1	0	1	29	[277, 642]	-76	1	0	1	43	[221, 898]	90	1	0	1	72	[742, 811]	61	1	0	1	147	[511, 939]	-14	0	1	1	3	[1107, 377]	-50	0	1	1	157	[1336, 154]	-24	-76	133	29	128	14	43	72	147	3	157
24	8	collaborate	contingent	1.24	1081.8882852	512903.856403	508660.752602	514238.101312	517361.248012	521353.059589	None	3991.81157683	4	4	3	63	0	1	1	16	[918, 902]	47	1	0	1	59	[184, 457]	4	1	0	1	157	[724, 241]	86	1	0	1	122	[625, 759]	-59	0	1	1	47	[1435, 773]	16	0	1	1	27	[1183, 309]	36	1	0	1	4	[458, 930]	59	0	1	1	102	[1236, 563]	-39	-59	63	122	16	59	157	47	27	4	102
25	8	collaborate	contingent	37.55	1101.16386709	532892.049166	530620.661584	534644.694642	537768.588344	540373.11133	None	2604.52298586	4	4	1	79	1	0	1	16	[638, 607]	63	1	0	1	55	[295, 539]	24	1	0	1	175	[700, 111]	84	0	1	1	141	[1498, 391]	-62	0	1	1	123	[1388, 559]	-44	0	1	1	160	[1457, 204]	-81	1	0	1	101	[406, 272]	-22	0	1	1	86	[1153, 593]	-7	24	79	55	16	175	141	123	160	101	86
