trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	3.08	1.57790117265	62961.1923536	10189.9304719	69773.5285353	72913.4735037	90698.3580323	None	17784.8845286	3	5	5	134	0	1	1	78	[537, 622]	56	0	1	1	30	[1393, 692]	-76	1	0	1	133	[1203, 413]	1	0	1	1	117	[579, 186]	17	0	1	1	46	[788, 944]	88	1	0	1	167	[1493, 213]	-33	0	1	1	157	[629, 331]	-23	1	0	1	102	[1256, 808]	32	-33	134	167	78	30	133	117	46	157	102
2	8	collaborate	contingent	9.35	6.27790935314	195188.987377	98246.3516003	195454.229834	198593.83979	209165.167721	None	10571.3279313	4	4	4	20	1	0	1	49	[224, 878]	-29	1	0	1	27	[1042, 821]	-7	1	0	1	87	[1116, 482]	-67	0	1	1	60	[451, 315]	-40	1	0	1	179	[1410, 524]	21	0	1	1	145	[497, 827]	55	0	1	1	131	[525, 653]	69	0	1	1	155	[331, 552]	45	21	20	179	49	27	87	60	145	131	155
3	8	collaborate	contingent	19.46	16.5044164377	231626.04687	219083.558294	231909.487067	235032.955912	238338.365128	None	3305.40921638	3	5	7	100	0	1	1	132	[474, 903]	-32	1	0	1	10	[1267, 125]	90	1	0	1	92	[1262, 779]	8	0	1	1	25	[456, 278]	75	0	1	1	162	[245, 162]	-62	0	1	1	151	[702, 879]	-51	0	1	1	76	[252, 832]	24	1	0	1	104	[1011, 641]	-4	-4	100	104	132	10	92	25	162	151	76
4	8	collaborate	contingent	19.16	26.4095948586	283494.682491	251581.115887	283760.717397	286883.976951	303549.821479	None	16665.8445282	4	4	1	136	0	1	1	78	[1075, 595]	58	1	0	1	141	[985, 322]	-5	1	0	1	158	[1304, 312]	-22	1	0	1	54	[1342, 661]	82	0	1	1	35	[641, 845]	-79	1	0	1	169	[213, 281]	-33	0	1	1	107	[524, 356]	29	0	1	1	9	[258, 531]	-53	-5	136	141	78	158	54	35	169	107	9
5	8	collaborate	contingent	17.39	37.0212500434	320184.224619	310664.079661	320450.005516	323555.768146	329000.45597	None	5444.68782381	6	2	0	99	1	0	1	90	[1352, 919]	9	1	0	1	76	[1090, 297]	23	0	1	1	3	[435, 770]	-84	1	0	1	108	[1133, 571]	-9	0	1	1	15	[575, 460]	84	1	0	1	44	[1375, 750]	55	1	0	1	135	[1180, 917]	-36	1	0	1	158	[494, 150]	-59	9	99	90	76	3	108	15	44	135	158
6	8	collaborate	contingent	14.26	45.8725606567	350141.902999	340889.763442	350408.213174	353531.519644	357388.930491	None	3857.41084673	6	2	1	89	0	1	1	88	[316, 420]	1	1	0	1	75	[912, 683]	14	1	0	1	99	[686, 776]	-10	0	1	1	18	[301, 775]	71	1	0	1	165	[1156, 800]	-76	1	0	1	178	[1405, 525]	-89	1	0	1	125	[1000, 890]	-36	1	0	1	152	[1341, 366]	-63	14	89	75	88	99	18	165	178	125	152
7	8	collaborate	contingent	2.75	49.841981649	371350.81413	367709.343459	371683.47707	374823.573784	378747.649685	None	3924.07590064	6	2	3	50	1	0	1	136	[1298, 398]	-86	0	1	1	146	[754, 178]	84	1	0	1	165	[1159, 298]	65	1	0	1	16	[917, 724]	34	1	0	1	59	[1096, 867]	-9	1	0	1	120	[1201, 138]	-70	1	0	1	5	[1173, 667]	45	0	1	1	94	[454, 427]	-44	34	50	16	136	146	165	59	120	5	94
8	8	collaborate	contingent	17.39	68.264643853	400858.861226	390689.50804	401107.860677	404231.142956	408006.143496	None	3775.00054064	5	3	7	125	1	0	1	23	[785, 690]	-78	0	1	1	85	[173, 942]	40	0	1	1	54	[538, 319]	71	1	0	1	140	[445, 628]	-15	1	0	1	36	[879, 172]	89	1	0	1	97	[1450, 190]	28	0	1	1	173	[203, 143]	-48	1	0	1	116	[1112, 493]	9	9	125	116	23	85	54	140	36	97	173
9	8	collaborate	contingent	19.16	80.9669470293	426075.858123	414902.028076	426340.747607	429464.105026	433204.5347	None	3740.42967454	5	3	4	48	1	0	1	179	[869, 760]	49	0	1	1	139	[297, 794]	89	1	0	1	30	[1429, 186]	18	0	1	1	104	[374, 377]	-56	1	0	1	53	[801, 357]	-5	1	0	1	69	[1185, 647]	-21	0	1	1	162	[188, 467]	66	1	0	1	149	[679, 849]	79	-5	48	53	179	139	30	104	69	162	149
10	8	collaborate	contingent	15.6	98.6128299475	449739.033909	443758.679462	450003.869145	453110.381706	456450.59967	None	3340.21796382	5	3	4	40	1	0	1	13	[680, 412]	27	0	1	1	2	[455, 604]	38	1	0	1	134	[1501, 669]	86	0	1	1	105	[185, 731]	-65	1	0	1	28	[828, 307]	12	1	0	1	73	[1339, 835]	-33	1	0	1	45	[1086, 595]	-5	0	1	1	150	[642, 825]	70	12	40	28	13	2	134	105	73	45	150
