trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	0.08	1.58088422837	74635.9111686	15415.8967346	74902.0247622	78025.6147575	90084.7155579	None	12059.1008005	5	3	3	55	1	0	1	78	[537, 622]	-23	1	0	1	30	[1393, 692]	25	0	1	1	133	[1203, 413]	-78	1	0	1	117	[579, 186]	-62	1	0	1	46	[788, 944]	9	0	1	1	167	[1493, 213]	68	1	0	1	157	[629, 331]	78	0	1	1	102	[1256, 808]	-47	-62	55	117	78	30	133	46	167	157	102
2	8	collaborate	contingent	0.05	6.28199554668	170212.517378	102825.942511	200589.891547	203713.91405	217273.915604	None	13560.0015541	4	4	5	154	0	1	1	49	[224, 878]	-75	0	1	1	27	[1042, 821]	-53	0	1	1	87	[1116, 482]	67	1	0	1	60	[451, 315]	-86	0	1	1	179	[1410, 524]	-25	1	0	1	145	[497, 827]	9	1	0	1	131	[525, 653]	23	1	0	1	155	[331, 552]	-1	90	154	145	49	27	87	60	179	131	155
3	8	collaborate	contingent	0.99	16.5046577507	233928.532026	224204.515607	237030.364652	240154.242375	249456.157398	None	9301.91502237	5	3	4	120	1	0	1	132	[474, 903]	-12	0	1	1	10	[1267, 125]	-70	0	1	1	92	[1262, 779]	28	1	0	1	25	[456, 278]	-85	1	0	1	162	[245, 162]	-42	1	0	1	151	[702, 879]	-31	1	0	1	76	[252, 832]	44	0	1	1	104	[1011, 641]	16	-42	120	162	132	10	92	25	151	76	104
4	8	collaborate	contingent	0.65	26.4074105827	270048.715102	256703.928605	288885.742655	292008.73337	299310.281127	None	7301.5477568	4	4	6	152	1	0	1	78	[1075, 595]	74	0	1	1	141	[985, 322]	11	0	1	1	158	[1304, 312]	-6	0	1	1	54	[1342, 661]	-82	1	0	1	35	[641, 845]	-63	0	1	1	169	[213, 281]	-17	1	0	1	107	[524, 356]	45	1	0	1	9	[258, 531]	-37	45	152	107	78	141	158	54	35	169	9
5	8	collaborate	contingent	3.83	37.0180588081	321319.248344	314990.028483	325577.562859	328699.737306	339538.419754	None	10838.6824476	2	6	2	67	0	1	1	90	[1352, 919]	-23	0	1	1	76	[1090, 297]	-9	1	0	1	3	[435, 770]	64	0	1	1	108	[1133, 571]	-41	1	0	1	15	[575, 460]	52	0	1	1	44	[1375, 750]	23	0	1	1	135	[1180, 917]	-68	0	1	1	158	[494, 150]	89	-31	67	3	90	76	108	15	44	135	158
6	8	collaborate	contingent	3.44	45.8693581131	355356.725926	345867.874929	355537.836967	358661.047601	365792.520978	None	7131.47337636	2	6	3	166	1	0	1	88	[316, 420]	78	0	1	1	75	[912, 683]	-89	0	1	1	99	[686, 776]	67	1	0	1	18	[301, 775]	-32	0	1	1	165	[1156, 800]	1	0	1	1	178	[1405, 525]	-12	0	1	1	125	[1000, 890]	41	0	1	1	152	[1341, 366]	14	-32	166	18	88	75	99	165	178	125	152
7	8	collaborate	contingent	5.19	49.8393275634	374660.639284	372071.121234	376830.986365	379954.251612	389088.786268	None	9134.53465583	2	6	7	122	0	1	1	136	[1298, 398]	-14	1	0	1	146	[754, 178]	-24	0	1	1	165	[1159, 298]	-43	0	1	1	16	[917, 724]	-74	0	1	1	59	[1096, 867]	63	0	1	1	120	[1201, 138]	2	0	1	1	5	[1173, 667]	-63	1	0	1	94	[454, 427]	28	28	122	94	136	146	165	16	59	120	5
8	8	collaborate	contingent	19.46	68.2649757887	400029.265788	395118.70485	406240.426996	409364.048146	413171.247651	None	3807.19950474	3	5	1	81	0	1	1	23	[785, 690]	58	1	0	1	85	[173, 942]	-4	1	0	1	54	[538, 319]	27	0	1	1	140	[445, 628]	-59	0	1	1	36	[879, 172]	45	0	1	1	97	[1450, 190]	-16	1	0	1	173	[203, 143]	88	0	1	1	116	[1112, 493]	-35	-4	81	85	23	54	140	36	97	173	116
9	8	collaborate	contingent	6.24	80.9627286208	424645.493794	420035.357924	431475.030523	434598.316663	442665.00322	None	8066.68655716	3	5	3	78	0	1	1	179	[869, 760]	79	1	0	1	139	[297, 794]	-61	0	1	1	30	[1429, 186]	48	1	0	1	104	[374, 377]	-26	0	1	1	53	[801, 357]	25	0	1	1	69	[1185, 647]	9	1	0	1	162	[188, 467]	-84	0	1	1	149	[679, 849]	-71	-26	78	104	179	139	30	53	69	162	149
10	8	collaborate	contingent	19.69	98.6079895278	451801.600721	448258.661255	455139.387913	458263.301923	466779.947447	None	8516.64552385	3	5	3	108	0	1	1	13	[680, 412]	-85	1	0	1	2	[455, 604]	-74	0	1	1	134	[1501, 669]	-26	1	0	1	105	[185, 731]	3	0	1	1	28	[828, 307]	80	0	1	1	73	[1339, 835]	35	0	1	1	45	[1086, 595]	63	1	0	1	150	[642, 825]	-42	3	108	105	13	2	134	28	73	45	150
11	8	collaborate	contingent	11.44	107.736003716	476668.774839	472741.741931	477935.7069	481058.421249	486436.37234	None	5377.95109064	3	5	0	44	1	0	1	26	[721, 682]	18	0	1	1	115	[1145, 178]	-71	0	1	1	169	[913, 230]	55	0	1	1	36	[1050, 674]	8	1	0	1	89	[357, 608]	-45	0	1	1	146	[1419, 222]	78	1	0	1	78	[578, 414]	-34	0	1	1	56	[928, 776]	-12	18	44	26	115	169	36	89	146	78	56
12	8	collaborate	contingent	2.75	109.146395913	495757.154623	492181.375311	499395.870132	502521.380757	510134.054132	None	7612.67337446	3	5	4	130	0	1	1	153	[1040, 209]	-23	1	0	1	171	[444, 120]	-41	0	1	1	69	[839, 210]	61	1	0	1	57	[519, 788]	73	1	0	1	96	[464, 610]	34	0	1	1	125	[262, 207]	5	0	1	1	137	[1476, 740]	-7	0	1	1	16	[1339, 371]	-66	34	130	96	153	171	69	57	125	137	16
13	8	collaborate	contingent	12.86	124.765616876	521441.680464	516131.14423	521707.173518	524830.909393	531779.747686	None	6948.83829356	3	5	6	21	1	0	1	57	[634, 549]	-36	0	1	1	106	[1448, 544]	-85	1	0	1	68	[410, 847]	-47	0	1	1	147	[1410, 691]	54	0	1	1	24	[1340, 390]	-3	0	1	1	37	[729, 241]	-16	1	0	1	5	[387, 420]	16	0	1	1	124	[1205, 157]	77	16	21	5	57	106	68	147	24	37	124
14	8	collaborate	contingent	11.44	132.206927489	541683.617207	537372.945356	545272.852294	548394.932908	555209.203924	None	6814.27101633	3	5	0	147	1	0	1	129	[177, 636]	18	0	1	1	12	[1228, 744]	-45	0	1	1	161	[1288, 898]	-14	1	0	1	85	[185, 935]	62	0	1	1	99	[1237, 252]	48	1	0	1	26	[227, 477]	-59	0	1	1	39	[1038, 331]	-72	0	1	1	113	[502, 719]	34	18	147	129	12	161	85	99	26	39	113
15	8	collaborate	contingent	4.71	134.587277445	563426.8282	561020.483669	565729.687044	568836.741291	573447.288411	None	4610.5471194	3	5	0	27	1	0	1	56	[308, 526]	-29	1	0	1	26	[539, 863]	1	1	0	1	128	[242, 754]	79	0	1	1	73	[1041, 528]	-46	0	1	1	84	[1411, 111]	-57	0	1	1	44	[1341, 487]	-17	0	1	1	96	[1507, 335]	-69	0	1	1	151	[1361, 646]	56	-29	27	56	26	128	73	84	44	96	151
16	8	collaborate	contingent	17.91	151.342538352	581947.847556	579091.437031	587423.785247	590552.466379	596142.469351	None	5590.00297258	3	5	4	137	0	1	1	54	[567, 859]	83	0	1	1	9	[1378, 881]	-52	0	1	1	168	[403, 583]	-31	0	1	1	92	[684, 753]	45	1	0	1	129	[661, 421]	8	1	0	1	35	[882, 173]	-78	0	1	1	108	[1142, 526]	29	1	0	1	65	[226, 219]	72	8	137	129	54	9	168	92	35	108	65
17	8	collaborate	contingent	0.07	151.46679303	605762.828913	602238.641616	606028.730284	609152.262367	614229.889553	None	5077.62718586	3	5	2	124	0	1	1	95	[1016, 569]	29	0	1	1	124	[1370, 914]	0	1	0	1	7	[295, 157]	-63	0	1	1	156	[1288, 593]	-32	1	0	1	45	[721, 179]	79	0	1	1	145	[526, 601]	-21	1	0	1	68	[194, 499]	56	0	1	1	80	[1428, 702]	44	-63	124	7	95	124	156	45	145	68	80
18	8	collaborate	contingent	0.07	151.52706067	622044.917459	619607.366717	626804.480567	629927.548253	637226.642441	None	7299.09418822	3	5	6	105	1	0	1	55	[287, 693]	50	0	1	1	125	[1299, 118]	-20	1	0	1	115	[214, 135]	-10	0	1	1	145	[604, 581]	-40	0	1	1	100	[582, 344]	5	0	1	1	26	[980, 195]	79	1	0	1	42	[190, 818]	63	0	1	1	0	[1194, 690]	-75	63	105	42	55	125	115	145	100	26	0
