trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	12.15	11.4415426057	22128.3965442	14928.8485554	22443.6314694	25549.8251444	30276.355438	None	4726.53029358	4	4	5	90	1	0	1	3	[404, 668]	87	0	1	1	125	[911, 111]	-35	1	0	1	168	[243, 273]	-78	0	1	1	26	[1203, 273]	64	1	0	1	88	[260, 483]	2	1	0	1	107	[580, 395]	-17	0	1	1	148	[1418, 916]	-58	0	1	1	137	[1491, 109]	-47	-17	90	107	3	125	168	26	88	148	137
2	8	collaborate	contingent	16.23	21.9096709562	42467.4951095	36437.8959267	42699.8249061	45806.6977708	49012.9892741	None	3206.29150324	4	4	6	145	0	1	1	62	[1080, 294]	83	1	0	1	77	[617, 672]	68	0	1	1	117	[1258, 190]	28	0	1	1	97	[1429, 428]	48	1	0	1	0	[761, 921]	-35	0	1	1	33	[1017, 491]	-68	1	0	1	156	[1040, 891]	-11	1	0	1	20	[682, 358]	-55	-11	145	156	62	77	117	97	0	33	20
3	8	collaborate	contingent	0.05	22.1780075617	63191.7209963	56059.5802952	63474.9313754	66597.2529654	69051.9966821	None	2454.74371676	4	4	0	130	1	0	1	40	[663, 792]	90	1	0	1	134	[183, 821]	-4	0	1	1	0	[380, 454]	-50	0	1	1	29	[1102, 512]	-79	0	1	1	53	[1181, 661]	77	1	0	1	12	[420, 892]	-62	1	0	1	91	[287, 631]	39	0	1	1	64	[803, 290]	66	90	130	40	134	0	29	53	12	91	64
4	8	collaborate	contingent	11.44	37.2956796061	82529.317867	76416.5819054	82811.9667142	85918.5305897	88423.2836348	None	2504.75304508	6	2	6	158	1	0	1	60	[549, 354]	-82	0	1	1	151	[339, 336]	7	1	0	1	45	[228, 748]	-67	1	0	1	78	[1266, 694]	80	0	1	1	8	[439, 153]	-30	1	0	1	103	[581, 937]	55	1	0	1	176	[1067, 127]	-18	1	0	1	128	[1430, 105]	30	-18	158	176	60	151	45	78	8	103	128
5	8	collaborate	contingent	0.05	37.3483196961	99212.2370706	95737.7858562	99512.0654221	102634.643587	105490.339782	None	2855.69619511	5	3	4	120	1	0	1	3	[1261, 493]	-63	0	1	1	87	[755, 374]	33	1	0	1	109	[1276, 158]	11	0	1	1	17	[614, 257]	-77	1	0	1	31	[1415, 433]	89	1	0	1	144	[1173, 323]	-24	1	0	1	63	[1361, 853]	57	0	1	1	124	[429, 755]	-4	89	120	31	3	87	109	17	144	63	124
6	8	collaborate	contingent	1.92	43.3263372154	118217.632469	111953.80557	118515.532478	121621.817421	130622.85948	None	9001.04205955	4	4	4	137	0	1	1	166	[359, 669]	-29	0	1	1	40	[553, 474]	-83	1	0	1	115	[1331, 710]	22	1	0	1	133	[1082, 870]	4	1	0	1	100	[1305, 348]	37	1	0	1	57	[1481, 809]	80	0	1	1	179	[170, 358]	-42	0	1	1	151	[574, 670]	-14	37	137	100	166	40	115	133	57	179	151
7	8	collaborate	contingent	0.05	46.4736403918	141497.063137	137536.311358	141928.431438	145034.645639	150495.415195	None	5460.76955529	4	4	3	134	1	0	1	138	[1269, 274]	-4	1	0	1	58	[742, 684]	76	0	1	1	170	[197, 708]	-36	1	0	1	43	[1171, 525]	-89	0	1	1	150	[590, 143]	-16	1	0	1	103	[1463, 195]	31	0	1	1	120	[746, 361]	14	0	1	1	12	[289, 369]	-58	-89	134	43	138	58	170	150	103	120	12
8	8	collaborate	contingent	0.05	56.4298475619	161734.462115	156490.33465	162034.294499	165140.816956	170367.681713	None	5226.86475695	4	4	4	128	0	1	1	176	[452, 296]	-48	0	1	1	117	[646, 436]	11	0	1	1	103	[302, 409]	25	1	0	1	157	[1092, 274]	-29	1	0	1	55	[710, 893]	73	1	0	1	71	[1319, 123]	57	0	1	1	35	[405, 546]	-87	1	0	1	90	[1046, 596]	38	73	128	55	176	117	103	157	71	35	90
9	8	collaborate	contingent	12.86	72.70573048	184195.432165	175778.271501	184496.056265	187601.538495	190223.284808	None	2621.74631293	4	4	5	50	0	1	1	51	[1000, 617]	-1	1	0	1	23	[937, 368]	27	1	0	1	123	[1269, 217]	-73	0	1	1	172	[293, 281]	58	0	1	1	136	[557, 674]	-86	1	0	1	66	[1026, 140]	-16	0	1	1	36	[257, 884]	14	1	0	1	83	[1332, 655]	-33	-16	50	66	51	23	123	172	136	36	83
10	8	collaborate	contingent	0.07	72.7854077378	203366.537023	196034.830373	203666.708818	206773.041044	213101.799285	None	6328.75824109	4	4	4	122	1	0	1	60	[844, 197]	62	0	1	1	49	[735, 863]	73	0	1	1	149	[1095, 785]	-27	0	1	1	31	[1110, 627]	-89	1	0	1	6	[1501, 158]	-64	1	0	1	109	[1363, 648]	13	1	0	1	94	[183, 392]	28	0	1	1	168	[205, 815]	-46	-64	122	6	60	49	149	31	109	94	168
11	8	collaborate	contingent	19.86	88.4350645256	223072.573235	218830.316565	223371.758317	226477.875753	229633.951568	None	3156.0758156	4	4	6	142	0	1	1	9	[800, 870]	-47	0	1	1	54	[440, 631]	88	1	0	1	158	[1163, 319]	-16	1	0	1	93	[965, 237]	49	1	0	1	64	[1404, 534]	78	0	1	1	119	[1131, 913]	23	1	0	1	140	[1391, 350]	2	0	1	1	35	[473, 792]	-73	2	142	140	9	54	158	93	64	119	35
12	8	collaborate	contingent	4.25	92.6872731904	241407.822081	236280.415182	241708.36261	244830.840711	247519.748	None	2688.90728896	5	3	7	152	0	1	1	20	[256, 750]	-48	0	1	1	123	[551, 436]	29	1	0	1	90	[1422, 106]	62	1	0	1	145	[1150, 203]	7	1	0	1	169	[858, 346]	-17	0	1	1	45	[378, 905]	-73	1	0	1	73	[946, 739]	79	1	0	1	2	[1142, 723]	-30	-30	152	2	20	123	90	145	169	45	73
13	8	collaborate	contingent	16.23	109.991494153	258609.341296	253230.612213	258908.29986	262031.159157	265020.659389	None	2989.50023293	5	3	0	61	1	0	1	72	[1027, 366]	-11	1	0	1	39	[1280, 328]	22	0	1	1	141	[284, 756]	-80	1	0	1	127	[1186, 483]	-66	0	1	1	151	[389, 575]	90	1	0	1	26	[1000, 629]	35	1	0	1	98	[1304, 738]	-37	0	1	1	52	[477, 422]	9	-11	61	72	39	141	127	151	26	98	52
