trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	78.17	40.6684748844	13895.888986	9234.31108498	14978.9193148	18102.3413698	23295.9224142	None	5193.58104443	4	4	0	65	1	0	1	53	[257, 599]	12	1	0	1	75	[522, 760]	-10	1	0	1	28	[721, 645]	37	0	1	1	127	[1375, 595]	-62	0	1	1	15	[1500, 705]	50	0	1	1	4	[923, 261]	61	1	0	1	42	[618, 910]	23	0	1	1	113	[641, 194]	-48	12	65	53	75	28	127	15	4	42	113
2	8	collaborate	contingent	21.86	52.8757145166	38510.2916468	30275.5726053	39610.7475464	42734.0435124	46440.736345	None	3706.69283257	3	5	3	40	0	1	1	3	[1082, 883]	37	0	1	1	84	[1155, 528]	-44	1	0	1	143	[428, 786]	77	1	0	1	70	[280, 699]	-30	0	1	1	27	[1137, 120]	13	1	0	1	48	[334, 945]	-8	0	1	1	106	[1368, 659]	-66	0	1	1	129	[1469, 106]	-89	-30	40	70	3	84	143	27	48	106	129
3	8	collaborate	contingent	61.05	89.8459819097	59667.6646268	52218.7306651	61504.2210486	64610.1068384	68317.6910908	None	3707.58425236	3	5	5	162	0	1	1	40	[1175, 844]	-58	0	1	1	60	[1215, 267]	-78	1	0	1	28	[180, 854]	-46	0	1	1	145	[1446, 396]	17	1	0	1	157	[631, 261]	5	1	0	1	179	[318, 208]	-17	0	1	1	116	[1497, 705]	46	0	1	1	105	[1212, 613]	57	-17	162	179	40	60	28	145	157	116	105
4	8	collaborate	contingent	95.81	164.757885066	84099.2397274	74779.5480736	85200.5888795	88322.7155902	91946.4231781	None	3623.70758792	3	5	7	115	0	1	1	54	[192, 435]	61	0	1	1	125	[409, 475]	-10	0	1	1	151	[1367, 514]	-36	1	0	1	84	[976, 837]	31	1	0	1	172	[313, 897]	-57	0	1	1	69	[1035, 444]	46	0	1	1	4	[637, 273]	-69	1	0	1	110	[225, 774]	5	5	115	110	54	125	151	84	172	69	4
5	8	collaborate	contingent	61.05	218.863587848	107829.50277	99294.0105534	109681.910849	112803.933463	116578.97972	None	3775.04625706	4	4	2	124	1	0	1	5	[1323, 856]	-61	0	1	1	45	[1426, 322]	79	1	0	1	141	[673, 570]	-17	0	1	1	127	[947, 310]	-3	1	0	1	21	[294, 451]	-77	0	1	1	73	[1137, 210]	51	0	1	1	113	[774, 253]	11	1	0	1	61	[590, 397]	63	-17	124	141	5	45	127	21	73	113	61
6	8	collaborate	contingent	43.85	290.788587848	127734.621176	122423.022309	128919.315513	132043.221031	134062.341472	None	2019.12044137	5	3	1	118	1	0	1	62	[1031, 748]	56	1	0	1	96	[183, 368]	22	0	1	1	73	[430, 180]	45	0	1	1	142	[978, 135]	-24	1	0	1	17	[1457, 794]	-79	1	0	1	85	[545, 680]	33	0	1	1	2	[1279, 402]	-64	1	0	1	122	[307, 570]	-4	22	118	96	62	73	142	17	85	2	122
7	8	collaborate	contingent	78.17	367.324307602	166710.034191	142228.024596	167979.208147	171102.384988	173689.84969	None	2587.46470242	4	4	5	70	1	0	1	167	[1404, 831]	83	1	0	1	28	[1351, 378]	42	0	1	1	108	[635, 367]	-38	1	0	1	72	[1279, 915]	-2	0	1	1	142	[982, 369]	-72	1	0	1	58	[651, 803]	12	0	1	1	152	[1139, 452]	-82	0	1	1	85	[202, 212]	-15	12	70	58	167	28	108	72	142	152	85
8	8	collaborate	contingent	99.83	453.003650018	187100.136279	180704.290911	188368.792317	191492.134833	194647.7433	None	3155.60846731	4	4	0	150	1	0	1	149	[1400, 920]	1	1	0	1	91	[751, 919]	59	0	1	1	134	[610, 440]	16	1	0	1	19	[530, 898]	-49	1	0	1	76	[938, 869]	74	0	1	1	178	[1408, 150]	-28	0	1	1	106	[846, 739]	44	0	1	1	30	[650, 139]	-60	1	150	149	91	134	19	76	178	106	30
9	8	collaborate	contingent	95.81	545.720229288	210379.931399	200241.81228	211731.231801	214855.022593	219630.290239	None	4775.26764586	4	4	4	34	0	1	1	152	[425, 319]	62	0	1	1	12	[238, 478]	22	0	1	1	115	[227, 174]	-81	0	1	1	129	[1020, 159]	85	1	0	1	39	[1290, 674]	-5	1	0	1	176	[813, 895]	38	1	0	1	141	[1140, 941]	73	1	0	1	28	[907, 722]	6	-5	34	39	152	12	115	129	176	141	28
10	8	collaborate	contingent	94.02	641.965437754	229187.029182	224709.011184	230784.770503	233908.187427	238267.877512	None	4359.69008501	4	4	3	116	0	1	1	150	[670, 325]	-34	1	0	1	63	[1185, 915]	53	0	1	1	16	[286, 255]	-80	1	0	1	122	[1199, 502]	-6	0	1	1	134	[557, 509]	-18	0	1	1	52	[280, 536]	64	1	0	1	170	[1348, 725]	-54	1	0	1	110	[1386, 900]	6	-6	116	122	150	63	16	134	52	170	110
