trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	95.81	93.8815852254	23810.8248186	18900.1060035	27052.5212117	30155.7441284	34664.6374988	None	4508.89337046	4	4	0	130	1	0	1	125	[518, 724]	5	0	1	1	109	[1329, 780]	21	1	0	1	174	[468, 235]	-44	0	1	1	42	[1051, 512]	88	0	1	1	137	[1129, 768]	-7	0	1	1	24	[960, 210]	-74	1	0	1	70	[366, 759]	60	1	0	1	91	[640, 122]	39	5	130	125	109	174	42	137	24	70	91
2	8	collaborate	contingent	78.17	180.871223339	45586.8411253	40442.8350876	48664.7874139	51765.1234581	55789.767804	None	4024.64434582	4	4	4	132	1	0	1	91	[645, 943]	41	1	0	1	41	[500, 222]	-89	0	1	1	165	[1045, 278]	-33	0	1	1	108	[1120, 861]	24	1	0	1	144	[834, 872]	-12	1	0	1	127	[512, 560]	5	0	1	1	66	[1489, 725]	66	0	1	1	9	[1389, 547]	-57	-12	132	144	91	41	165	108	127	66	9
3	8	collaborate	contingent	91.95	267.496531236	67263.0360104	62352.854177	68554.0225613	71654.8798261	75195.5192632	None	3540.63943711	6	2	5	79	1	0	1	157	[1321, 880]	-78	0	1	1	91	[628, 540]	-12	1	0	1	132	[1048, 173]	-53	0	1	1	55	[401, 636]	24	1	0	1	42	[194, 559]	37	1	0	1	72	[1076, 430]	7	1	0	1	32	[478, 415]	47	1	0	1	121	[1286, 708]	-42	7	79	72	157	91	132	55	42	32	121
4	8	collaborate	contingent	34.58	326.922410962	87587.0786434	80722.7906042	88905.2401353	92013.1294782	96871.1511422	None	4858.02166401	4	4	1	72	0	1	1	95	[1391, 661]	-23	1	0	1	47	[635, 111]	25	0	1	1	32	[431, 614]	40	1	0	1	140	[1158, 328]	-68	1	0	1	108	[173, 315]	-36	0	1	1	130	[1241, 894]	-58	1	0	1	14	[1266, 537]	58	0	1	1	151	[622, 560]	-79	25	72	47	95	32	140	108	130	14	151
5	8	collaborate	contingent	81.3	417.572410962	113120.836284	103049.950297	114372.671552	117478.647554	123024.417457	None	5545.76990351	4	4	0	138	1	0	1	127	[596, 945]	11	0	1	1	44	[311, 641]	-86	1	0	1	173	[479, 301]	-35	1	0	1	17	[209, 377]	-59	0	1	1	71	[406, 519]	67	0	1	1	81	[609, 485]	57	1	0	1	144	[1259, 848]	-6	0	1	1	101	[538, 677]	37	11	138	127	44	173	17	71	81	144	101
6	8	collaborate	contingent	61.05	496.745960245	136650.696867	129502.582644	141058.446338	144165.550185	151245.374993	None	7079.82480834	4	4	7	34	0	1	1	40	[639, 547]	-6	0	1	1	60	[521, 348]	-26	0	1	1	110	[504, 748]	-76	0	1	1	141	[223, 157]	73	1	0	1	28	[1150, 845]	6	1	0	1	175	[1051, 106]	39	1	0	1	71	[1431, 489]	-37	1	0	1	17	[1275, 379]	17	17	34	17	40	60	110	141	28	175	71
7	8	collaborate	contingent	99.32	578.693236603	160949.88256	156122.200914	162351.18092	165456.976217	167895.198027	None	2438.22180974	4	4	5	66	0	1	1	163	[190, 695]	83	1	0	1	36	[368, 240]	30	0	1	1	9	[582, 613]	57	1	0	1	132	[1454, 625]	-66	0	1	1	112	[454, 698]	-46	1	0	1	68	[1437, 107]	-2	0	1	1	84	[176, 869]	-18	1	0	1	22	[347, 932]	44	-2	66	68	163	36	9	132	112	84	22
8	8	collaborate	contingent	1.03	588.126018593	180771.893826	175277.947975	183358.839049	186465.147503	190690.723815	None	4225.57631152	4	4	7	61	1	0	1	95	[495, 559]	-34	0	1	1	80	[292, 246]	-19	0	1	1	48	[597, 201]	13	1	0	1	139	[1172, 699]	-78	1	0	1	164	[1084, 921]	77	0	1	1	26	[1057, 526]	35	0	1	1	1	[268, 514]	60	1	0	1	129	[1447, 179]	-68	-68	61	129	95	80	48	139	164	26	1
9	8	collaborate	contingent	95.81	636.532346729	205353.652502	199641.170481	208909.68737	212016.663661	215708.00473	None	3691.3410688	4	4	5	110	0	1	1	158	[1494, 383]	-48	0	1	1	11	[594, 424]	-81	1	0	1	169	[843, 739]	-59	0	1	1	66	[1059, 158]	44	1	0	1	54	[1342, 865]	56	1	0	1	105	[328, 924]	5	0	1	1	138	[501, 143]	-28	1	0	1	38	[719, 887]	72	5	110	105	158	11	169	66	54	138	38
10	8	collaborate	contingent	61.05	707.707654626	230703.65866	225008.264021	232105.280308	235211.956036	239419.993021	None	4208.0369854	4	4	2	118	1	0	1	153	[1131, 888]	-35	1	0	1	118	[476, 578]	0	1	0	1	101	[815, 809]	17	0	1	1	90	[1112, 359]	28	0	1	1	142	[957, 256]	-24	1	0	1	163	[314, 572]	-45	0	1	1	63	[1313, 561]	55	0	1	1	29	[1306, 383]	89	17	118	101	153	118	90	142	163	63	29
11	8	collaborate	contingent	99.32	800.894931534	250543.183594	247168.736887	254249.956015	257355.713192	260162.720492	None	2807.00730002	4	4	5	72	0	1	1	38	[985, 218]	34	0	1	1	132	[1441, 598]	-60	1	0	1	165	[317, 716]	87	1	0	1	54	[619, 835]	18	0	1	1	24	[1196, 908]	48	1	0	1	70	[1037, 658]	2	0	1	1	3	[472, 156]	69	1	0	1	148	[521, 665]	-76	2	72	70	38	132	165	54	24	3	148
12	8	collaborate	contingent	97.3	888.628933027	272836.990307	269880.148977	275407.614951	278514.056459	283323.85753	None	4809.80107118	4	4	5	81	0	1	1	24	[1506, 911]	57	1	0	1	62	[383, 629]	19	1	0	1	120	[334, 362]	-39	0	1	1	145	[1355, 916]	-64	0	1	1	2	[1052, 805]	79	1	0	1	85	[852, 838]	-4	1	0	1	46	[399, 879]	35	0	1	1	109	[1376, 221]	-28	-4	81	85	24	62	120	145	2	46	109
13	8	collaborate	contingent	64.57	970.149141493	301093.976201	292825.563043	302328.031326	305434.840108	308394.690369	None	2959.8502609	4	4	7	111	1	0	1	152	[1307, 362]	-41	0	1	1	168	[1052, 656]	-57	0	1	1	33	[894, 683]	78	0	1	1	126	[739, 798]	-15	1	0	1	54	[284, 904]	57	1	0	1	68	[1153, 876]	43	0	1	1	6	[434, 902]	-75	1	0	1	95	[1110, 202]	16	16	111	95	152	168	33	126	54	68	6
14	8	collaborate	contingent	1.24	986.639217406	323554.138022	317241.051282	324805.434108	327911.815871	333489.891915	None	5578.07604394	4	4	3	103	1	0	1	125	[763, 810]	-22	1	0	1	67	[564, 414]	36	1	0	1	83	[261, 263]	20	1	0	1	44	[543, 194]	59	0	1	1	178	[384, 136]	-75	0	1	1	13	[442, 761]	90	0	1	1	98	[564, 939]	5	0	1	1	33	[380, 530]	70	59	103	44	125	67	83	178	13	98	33
15	8	collaborate	contingent	57.52	1026.33123033	347535.247627	341939.513865	350689.974973	353801.710058	357623.098205	None	3821.38814725	4	4	7	64	0	1	1	73	[351, 245]	-9	1	0	1	142	[1435, 710]	-78	1	0	1	123	[1097, 751]	-59	0	1	1	97	[206, 841]	-33	0	1	1	155	[749, 785]	89	1	0	1	57	[1260, 655]	7	0	1	1	5	[473, 788]	59	1	0	1	46	[1011, 166]	18	18	64	46	73	142	123	97	155	57	5
16	8	collaborate	contingent	2.31	1077.40066423	369444.639566	366004.19139	374421.2158	377526.897103	381033.640714	None	3506.74361083	4	4	4	77	1	0	1	98	[923, 162]	-21	1	0	1	28	[1423, 941]	49	1	0	1	1	[1128, 268]	76	0	1	1	40	[498, 850]	37	1	0	1	127	[1345, 581]	-50	0	1	1	53	[421, 118]	24	0	1	1	17	[588, 526]	60	0	1	1	88	[348, 485]	-11	-50	77	127	98	28	1	40	53	17	88
17	8	collaborate	contingent	84.27	1165.51224946	396816.951175	390719.371882	398117.659845	401224.181259	403745.143706	None	2520.9624472	4	4	0	110	1	0	1	120	[1246, 593]	-10	0	1	1	66	[716, 745]	44	0	1	1	47	[454, 458]	63	1	0	1	135	[513, 109]	-25	0	1	1	3	[414, 856]	-73	1	0	1	145	[1174, 194]	-35	0	1	1	157	[248, 636]	-47	1	0	1	78	[1309, 798]	32	-10	110	120	66	47	135	3	145	157	78
18	8	collaborate	contingent	11.52	1219.17688757	419276.590676	413164.001918	420628.411209	423735.017293	426140.976214	None	2405.95892108	4	4	1	96	0	1	1	151	[220, 793]	-55	1	0	1	60	[1302, 538]	36	1	0	1	175	[1208, 162]	-79	0	1	1	106	[430, 296]	-10	1	0	1	136	[1438, 399]	-40	0	1	1	16	[782, 190]	80	0	1	1	162	[1043, 439]	-66	1	0	1	83	[1328, 720]	13	36	96	60	151	175	106	136	16	162	83
19	8	collaborate	contingent	1.02	1258.77088906	439800.745323	436484.65955	442404.890089	445511.726728	448902.935696	None	3391.20896763	4	4	0	101	1	0	1	30	[1369, 878]	71	0	1	1	170	[198, 189]	-69	1	0	1	85	[1201, 670]	16	0	1	1	155	[470, 159]	-54	0	1	1	1	[978, 640]	-80	0	1	1	144	[909, 786]	-43	1	0	1	115	[1480, 445]	-14	1	0	1	42	[1467, 644]	59	71	101	30	170	85	155	1	144	115	42
20	8	collaborate	contingent	24.11	1311.47619696	462912.999796	460056.852253	464198.626426	467304.445549	469876.878703	None	2572.43315402	4	4	4	107	0	1	1	154	[665, 923]	-47	0	1	1	88	[396, 121]	19	0	1	1	124	[506, 770]	-17	0	1	1	53	[275, 252]	54	1	0	1	78	[1410, 130]	29	1	0	1	140	[1293, 377]	-33	1	0	1	107	[1499, 799]	0	1	0	1	170	[1390, 597]	-63	29	107	78	154	88	124	53	140	107	170
21	8	collaborate	contingent	74.9	1374.20357713	487678.6672	483619.943391	490850.711748	493957.130164	496445.327929	None	2488.19776469	4	4	7	127	1	0	1	35	[1361, 113]	-88	1	0	1	109	[1103, 389]	18	0	1	1	172	[455, 500]	-45	0	1	1	95	[840, 199]	32	0	1	1	130	[705, 342]	-3	0	1	1	54	[534, 194]	73	1	0	1	155	[1148, 742]	-28	1	0	1	140	[654, 763]	-13	-13	127	140	35	109	172	95	130	54	155
22	8	collaborate	contingent	47.16	1446.43212641	513530.283937	508989.699114	514831.575039	517938.119178	520209.161165	None	2271.04198647	5	3	2	156	0	1	1	114	[1052, 696]	42	1	0	1	55	[695, 228]	-79	1	0	1	135	[935, 865]	21	1	0	1	27	[549, 495]	-51	1	0	1	124	[260, 429]	32	0	1	1	39	[1025, 377]	-63	1	0	1	101	[785, 920]	55	0	1	1	161	[1068, 533]	-5	21	156	135	114	55	27	124	39	101	161
23	8	collaborate	contingent	1.0	1449.45195113	535022.326344	530930.192009	537392.799387	540499.211205	544674.200905	None	4174.98970021	4	4	1	78	1	0	1	121	[758, 890]	-43	1	0	1	2	[1493, 432]	76	0	1	1	169	[289, 691]	89	1	0	1	20	[924, 768]	58	0	1	1	156	[352, 207]	-78	1	0	1	49	[452, 893]	29	0	1	1	140	[702, 314]	-62	0	1	1	80	[610, 524]	-2	76	78	2	121	169	20	156	49	140	80
24	8	collaborate	contingent	4.48	1498.70295526	555830.248896	552506.244016	561608.556446	564713.968343	569857.302512	None	5143.33416904	3	5	0	145	1	0	1	9	[1127, 340]	-44	0	1	1	144	[348, 679]	1	0	1	1	76	[744, 204]	69	0	1	1	24	[199, 140]	-59	0	1	1	117	[622, 515]	28	0	1	1	54	[468, 530]	-89	1	0	1	66	[1457, 897]	79	1	0	1	168	[1381, 754]	-23	-44	145	9	144	76	24	117	54	66	168
25	8	collaborate	contingent	61.05	1556.23485841	582399.856389	576887.935395	585170.831299	588279.16159	592302.113252	None	4022.95166211	4	4	5	60	0	1	1	14	[499, 662]	46	0	1	1	112	[258, 801]	-52	0	1	1	83	[1001, 627]	-23	1	0	1	123	[1295, 578]	-63	0	1	1	166	[927, 200]	74	1	0	1	43	[1120, 150]	17	1	0	1	151	[808, 707]	89	1	0	1	29	[1399, 708]	31	17	60	43	14	112	83	123	166	151	29
