trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.13	8.58743301296	23377.8622121	19402.2641852	25198.0799216	28321.1831735	35351.2426775	None	7030.05950396	4	4	0	91	1	0	1	153	[182, 433]	-62	1	0	1	9	[543, 304]	82	0	1	1	83	[1096, 583]	8	0	1	1	31	[1202, 752]	60	1	0	1	50	[394, 611]	41	0	1	1	95	[1135, 381]	-4	0	1	1	132	[763, 899]	-41	1	0	1	60	[244, 241]	31	-62	91	153	9	83	31	50	95	132	60
2	8	collaborate	contingent	71.53	92.2570711269	49198.8236295	42850.206838	50548.8453652	53673.7050724	56828.5495095	None	3154.84443715	4	4	1	141	0	1	1	76	[897, 860]	65	1	0	1	127	[545, 586]	14	0	1	1	7	[1432, 770]	-46	0	1	1	46	[1410, 364]	-85	1	0	1	108	[934, 167]	33	0	1	1	87	[1249, 402]	54	1	0	1	158	[463, 128]	-17	1	0	1	21	[587, 218]	-60	14	141	127	76	7	46	108	87	158	21
3	8	collaborate	contingent	1.53	93.5484719653	70373.2636127	65713.664064	71809.5803787	74932.0154298	80092.4396915	None	5160.42426166	4	4	0	24	1	0	1	149	[684, 282]	55	0	1	1	106	[1019, 437]	-82	1	0	1	78	[546, 754]	-54	0	1	1	49	[1131, 265]	-25	0	1	1	7	[1389, 540]	17	1	0	1	63	[457, 341]	-39	0	1	1	133	[1266, 867]	71	1	0	1	30	[478, 141]	-6	55	24	149	106	78	49	7	63	133	30
4	8	collaborate	contingent	1.13	108.636866804	98781.1853288	88226.2598132	101135.539557	104258.358008	111373.687332	None	7115.32932437	5	3	6	41	1	0	1	145	[455, 372]	76	1	0	1	93	[395, 121]	-52	0	1	1	73	[935, 920]	-32	0	1	1	22	[1318, 496]	19	1	0	1	50	[210, 592]	-9	0	1	1	169	[656, 118]	52	1	0	1	159	[671, 286]	62	1	0	1	11	[1159, 551]	30	62	41	159	145	93	73	22	50	169	11
5	8	collaborate	contingent	1.0	137.896065901	124867.54487	117401.707412	125968.976498	129092.375914	134086.13412	None	4993.75820589	4	4	0	81	1	0	1	1	[454, 342]	80	0	1	1	68	[997, 794]	13	0	1	1	17	[756, 710]	64	0	1	1	169	[247, 826]	-88	1	0	1	105	[618, 313]	-24	1	0	1	48	[475, 182]	33	1	0	1	119	[179, 384]	-38	0	1	1	78	[1220, 279]	3	80	81	1	68	17	169	105	48	119	78
6	8	collaborate	contingent	74.9	202.352969057	146562.439933	140098.012918	147746.989798	150870.211442	154360.792487	None	3490.58104509	4	4	2	147	0	1	1	101	[335, 151]	46	0	1	1	44	[174, 176]	-77	1	0	1	160	[966, 319]	-13	1	0	1	2	[947, 754]	-35	1	0	1	117	[1392, 359]	30	1	0	1	20	[1186, 153]	-53	0	1	1	88	[985, 945]	59	0	1	1	67	[579, 720]	80	-13	147	160	101	44	2	117	20	88	67
7	8	collaborate	contingent	89.62	261.686363896	167020.268878	160923.922613	168456.48338	171580.10895	177791.621063	None	6211.51211302	4	4	7	142	0	1	1	100	[550, 918]	42	0	1	1	63	[1438, 117]	79	1	0	1	167	[1447, 750]	-25	1	0	1	110	[1408, 426]	32	1	0	1	121	[1269, 777]	21	0	1	1	88	[344, 636]	54	0	1	1	11	[435, 126]	-49	1	0	1	150	[1021, 735]	-8	-8	142	150	100	63	167	110	121	88	11
8	8	collaborate	contingent	95.81	310.091548365	191904.999666	183002.970433	193507.817179	196629.986856	200488.23996	None	3858.25310404	4	4	5	90	0	1	1	140	[981, 344]	-50	1	0	1	179	[401, 770]	-89	1	0	1	11	[818, 743]	79	1	0	1	49	[423, 481]	41	0	1	1	105	[879, 153]	-15	1	0	1	85	[225, 762]	5	0	1	1	59	[1336, 678]	31	0	1	1	37	[988, 930]	53	5	90	85	140	179	11	49	105	59	37
9	8	collaborate	contingent	91.95	393.517268119	214402.134797	206801.046616	215518.456343	218641.991011	223584.792587	None	4942.80157553	4	4	2	164	1	0	1	51	[795, 764]	-67	0	1	1	97	[184, 268]	67	1	0	1	171	[832, 915]	-7	1	0	1	153	[508, 944]	11	0	1	1	62	[503, 575]	-78	0	1	1	116	[1048, 311]	48	1	0	1	128	[221, 853]	36	0	1	1	35	[780, 285]	-51	-7	164	171	51	97	153	62	116	128	35
10	8	collaborate	contingent	89.62	438.827850003	233873.005569	228729.039279	235392.410515	238516.155943	242339.974899	None	3823.81895608	4	4	1	44	0	1	1	17	[1012, 283]	27	1	0	1	52	[1387, 632]	-8	0	1	1	171	[283, 464]	53	1	0	1	106	[986, 882]	-62	1	0	1	120	[1081, 578]	-76	0	1	1	7	[373, 906]	37	0	1	1	70	[421, 256]	-26	1	0	1	158	[959, 694]	66	-8	44	52	17	171	106	120	7	70	158
11	8	collaborate	contingent	54.01	466.349455403	252912.194462	248335.319486	254348.054154	257470.649016	263967.269892	None	6496.62087616	4	4	3	62	0	1	1	170	[287, 611]	72	1	0	1	113	[1361, 841]	-51	0	1	1	148	[420, 358]	-86	1	0	1	81	[1214, 658]	-19	0	1	1	71	[248, 227]	-9	0	1	1	6	[187, 772]	56	1	0	1	101	[904, 200]	-39	1	0	1	136	[534, 644]	-74	-19	62	81	170	113	148	71	6	101	136
12	8	collaborate	contingent	99.83	556.9147633	275625.264	269244.683534	276976.994541	280100.130048	284309.996034	None	4209.86598598	4	4	0	35	1	0	1	34	[1165, 633]	1	0	1	1	1	[187, 421]	34	1	0	1	58	[727, 806]	-23	0	1	1	77	[580, 705]	-42	1	0	1	46	[879, 700]	-11	0	1	1	99	[921, 280]	-64	0	1	1	122	[339, 707]	-87	1	0	1	145	[967, 848]	70	1	35	34	1	58	77	46	99	122	145
13	8	collaborate	contingent	89.62	651.639197202	294848.893162	289669.74755	296283.453473	299406.240035	302379.059695	None	2972.81966057	4	4	4	145	1	0	1	54	[664, 726]	-89	0	1	1	104	[447, 400]	41	1	0	1	37	[258, 767]	-72	0	1	1	66	[761, 371]	79	1	0	1	153	[385, 661]	-8	0	1	1	1	[194, 143]	-36	1	0	1	139	[188, 518]	6	0	1	1	82	[525, 151]	63	-8	145	153	54	104	37	66	1	139	82
14	8	collaborate	contingent	1.05	666.68759204	313685.719491	310829.339035	315439.13875	318563.633751	321034.326385	None	2470.69263425	4	4	2	140	0	1	1	176	[1087, 409]	-36	1	0	1	63	[1231, 717]	77	1	0	1	26	[477, 559]	-66	1	0	1	138	[1152, 898]	2	1	0	1	94	[308, 899]	46	0	1	1	73	[1156, 252]	67	0	1	1	161	[371, 237]	-21	0	1	1	15	[1439, 155]	-55	-66	140	26	176	63	138	94	73	161	15
