trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	3.17	40.6690014936	18694.9280892	14219.179237	19946.8833776	23069.9380773	28615.1111228	None	5545.1730455	4	4	3	174	0	1	1	53	[257, 599]	-59	0	1	1	75	[522, 760]	-81	0	1	1	28	[721, 645]	-34	1	0	1	127	[1375, 595]	47	1	0	1	15	[1500, 705]	-21	1	0	1	4	[923, 261]	-10	0	1	1	42	[618, 910]	-48	1	0	1	113	[641, 194]	61	47	174	127	53	75	28	15	4	42	113
2	8	collaborate	contingent	2.55	52.8760144166	43311.0369241	35227.9779433	44579.052738	47701.6276415	51275.4927899	None	3573.86514833	5	3	4	76	1	0	1	3	[1082, 883]	73	1	0	1	84	[1155, 528]	-8	0	1	1	143	[428, 786]	-67	0	1	1	70	[280, 699]	6	1	0	1	27	[1137, 120]	49	0	1	1	48	[334, 945]	28	1	0	1	106	[1368, 659]	-30	1	0	1	129	[1469, 106]	-53	49	76	27	3	84	143	70	48	106	129
3	8	collaborate	contingent	12.89	89.8442820724	65203.9415858	57170.1934799	66471.9346744	69595.6498727	74070.5446951	None	4474.89482238	5	3	0	75	1	0	1	40	[1175, 844]	35	1	0	1	60	[1215, 267]	15	0	1	1	28	[180, 854]	47	1	0	1	145	[1446, 396]	-70	0	1	1	157	[631, 261]	-82	0	1	1	179	[318, 208]	76	1	0	1	116	[1497, 705]	-41	1	0	1	105	[1212, 613]	-30	35	75	40	60	28	145	157	179	116	105
4	8	collaborate	contingent	54.01	164.753920186	88899.7973787	79731.4966927	90168.0180864	93291.3352261	98468.3543469	None	5177.01912074	5	3	5	50	1	0	1	54	[192, 435]	-4	1	0	1	125	[409, 475]	-75	1	0	1	151	[1367, 514]	79	0	1	1	84	[976, 837]	-34	0	1	1	172	[313, 897]	58	1	0	1	69	[1035, 444]	-19	1	0	1	4	[637, 273]	46	0	1	1	110	[225, 774]	-60	-19	50	69	54	125	151	84	172	4	110
5	8	collaborate	contingent	47.16	218.857187842	113380.998093	104246.023263	114649.47611	117773.53292	120595.137455	None	2821.60453508	4	4	6	92	0	1	1	5	[1323, 856]	87	1	0	1	45	[1426, 322]	47	0	1	1	141	[673, 570]	-49	1	0	1	127	[947, 310]	-35	0	1	1	21	[294, 451]	71	1	0	1	73	[1137, 210]	19	1	0	1	113	[774, 253]	-21	0	1	1	61	[590, 397]	31	-21	92	113	5	45	141	127	21	73	61
6	8	collaborate	contingent	100.0	290.783129767	132618.771355	127374.716392	133888.187338	137010.369315	142070.243036	None	5059.87372088	3	5	2	73	0	1	1	62	[1031, 748]	11	0	1	1	96	[183, 368]	-23	1	0	1	73	[430, 180]	0	1	0	1	142	[978, 135]	-69	0	1	1	17	[1457, 794]	56	0	1	1	85	[545, 680]	-12	1	0	1	2	[1279, 402]	71	0	1	1	122	[307, 570]	-49	0	73	73	62	96	142	17	85	2	122
7	8	collaborate	contingent	74.9	367.317131261	171679.612732	147180.294857	172947.450409	176070.787709	180512.517218	None	4441.72950933	4	4	7	72	0	1	1	167	[1404, 831]	85	0	1	1	28	[1351, 378]	44	1	0	1	108	[635, 367]	-36	0	1	1	72	[1279, 915]	0	1	0	1	142	[982, 369]	-70	0	1	1	58	[651, 803]	14	1	0	1	152	[1139, 452]	-80	1	0	1	85	[202, 212]	-13	-13	72	85	167	28	108	72	142	58	152
8	8	collaborate	contingent	71.53	452.996565163	192068.990581	185456.03066	193337.342508	196460.852813	199850.676003	None	3389.82319017	4	4	6	120	0	1	1	149	[1400, 920]	-29	0	1	1	91	[751, 919]	29	1	0	1	134	[610, 440]	-14	0	1	1	19	[530, 898]	-79	0	1	1	76	[938, 869]	44	1	0	1	178	[1408, 150]	-58	1	0	1	106	[846, 739]	14	1	0	1	30	[650, 139]	90	14	120	106	149	91	134	19	76	178	30
9	8	collaborate	contingent	89.62	545.711203277	215431.617503	205211.74148	216700.379585	219823.104402	223397.381171	None	3574.2767687	4	4	3	137	1	0	1	152	[425, 319]	-15	1	0	1	12	[238, 478]	-55	1	0	1	115	[227, 174]	22	1	0	1	129	[1020, 159]	8	0	1	1	39	[1290, 674]	-82	0	1	1	176	[813, 895]	-39	0	1	1	141	[1140, 941]	-4	0	1	1	28	[907, 722]	-71	8	137	129	152	12	115	39	176	141	28
10	8	collaborate	contingent	98.47	641.957207407	234485.585223	229659.717503	235754.750495	238877.242561	241600.142876	None	2722.90031456	4	4	5	55	1	0	1	150	[670, 325]	85	0	1	1	63	[1185, 915]	-8	1	0	1	16	[286, 255]	39	0	1	1	122	[1199, 502]	-67	1	0	1	134	[557, 509]	-79	1	0	1	52	[280, 536]	3	0	1	1	170	[1348, 725]	65	0	1	1	110	[1386, 900]	-55	3	55	52	150	63	16	122	134	170	110
