trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	68.08	78.8515792704	13383.929226	9227.58841623	14567.3791672	17690.6894282	20595.7550531	None	2905.06562492	4	4	0	104	1	0	1	119	[593, 564]	-15	0	1	1	27	[604, 126]	77	0	1	1	169	[447, 634]	-65	1	0	1	10	[1367, 283]	-86	0	1	1	130	[178, 668]	-26	1	0	1	73	[894, 340]	31	0	1	1	41	[489, 280]	63	1	0	1	157	[764, 759]	-53	-15	104	119	27	169	10	130	73	41	157
2	8	collaborate	contingent	54.01	150.668158541	30348.5033531	26340.8910972	32353.2067654	35476.4290574	37646.5091678	None	2170.08011049	4	4	5	151	0	1	1	14	[244, 863]	-43	1	0	1	150	[845, 888]	1	1	0	1	29	[1192, 823]	-58	0	1	1	94	[704, 324]	57	0	1	1	132	[383, 190]	19	1	0	1	170	[1086, 366]	-19	0	1	1	80	[566, 463]	71	1	0	1	56	[1481, 556]	-85	-19	151	170	14	150	29	94	132	80	56
3	8	collaborate	contingent	99.83	245.394737811	49403.3297022	42622.528436	50672.7521706	53794.0842274	55931.4141906	None	2137.32996314	4	4	6	172	0	1	1	36	[353, 830]	-44	0	1	1	103	[637, 855]	69	0	1	1	87	[544, 682]	85	1	0	1	141	[1364, 206]	31	1	0	1	6	[1090, 515]	-14	1	0	1	129	[980, 693]	43	1	0	1	173	[1198, 622]	-1	0	1	1	47	[790, 774]	-55	-1	172	173	36	103	87	141	6	129	47
4	8	collaborate	contingent	1.0	266.215852265	65117.2785159	62128.7166927	66970.2561952	70092.8392453	74702.4127713	None	4609.57352601	4	4	2	114	1	0	1	104	[1181, 652]	10	1	0	1	54	[1038, 277]	60	1	0	1	35	[770, 107]	79	1	0	1	18	[582, 398]	-84	0	1	1	160	[238, 331]	-46	0	1	1	1	[172, 931]	-67	0	1	1	93	[522, 157]	21	0	1	1	121	[365, 751]	-7	79	114	35	104	54	18	160	1	93	121
5	8	collaborate	contingent	54.01	313.541966719	82984.9239361	79828.4845277	84253.2229664	87376.7403212	90716.9272994	None	3340.18697823	4	4	5	109	0	1	1	94	[454, 378]	15	0	1	1	42	[765, 152]	67	0	1	1	65	[275, 203]	44	1	0	1	12	[682, 717]	-83	1	0	1	30	[1238, 710]	79	1	0	1	128	[1508, 580]	-19	0	1	1	84	[416, 142]	25	1	0	1	157	[1075, 559]	-48	-19	109	128	94	42	65	12	30	84	157
6	8	collaborate	contingent	78.17	393.277274616	97880.6028959	95709.386885	99132.9219802	102255.716523	107015.603878	None	4759.88735562	4	4	7	109	0	1	1	172	[330, 319]	-63	0	1	1	17	[563, 626]	-88	0	1	1	27	[207, 853]	82	1	0	1	144	[1088, 630]	-35	0	1	1	38	[512, 888]	71	1	0	1	79	[936, 702]	30	1	0	1	158	[751, 167]	-49	1	0	1	97	[1053, 305]	12	12	109	97	172	17	27	144	38	79	158
7	8	collaborate	contingent	99.83	468.469654787	113995.75366	111991.387096	115848.960426	118972.156693	121677.047626	None	2704.89093303	4	4	1	67	1	0	1	130	[798, 161]	-63	1	0	1	66	[780, 311]	1	0	1	1	33	[564, 869]	34	1	0	1	89	[416, 177]	-22	0	1	1	43	[503, 678]	24	0	1	1	104	[713, 631]	-37	0	1	1	2	[588, 395]	65	1	0	1	151	[1408, 223]	-84	1	67	66	130	33	89	43	104	2	151
8	8	collaborate	contingent	89.62	550.73037454	130294.998739	127422.352278	131563.660642	134685.958892	137725.711743	None	3039.75285093	4	4	7	43	0	1	1	151	[428, 400]	72	0	1	1	109	[583, 690]	-66	0	1	1	99	[589, 289]	-56	1	0	1	13	[949, 380]	30	0	1	1	74	[803, 910]	-31	1	0	1	128	[1000, 128]	-85	1	0	1	161	[1206, 412]	62	1	0	1	51	[1351, 647]	-8	-8	43	51	151	109	99	13	74	128	161
9	8	collaborate	contingent	95.81	637.719376034	145089.766926	142751.81033	146525.328125	149665.657833	154474.796865	None	4809.13903216	4	4	6	27	0	1	1	113	[171, 781]	-86	0	1	1	84	[740, 820]	-57	0	1	1	165	[443, 895]	42	0	1	1	130	[340, 469]	77	1	0	1	145	[1094, 536]	62	1	0	1	101	[1354, 643]	-74	1	0	1	22	[956, 792]	5	1	0	1	50	[1135, 129]	-23	5	27	22	113	84	165	130	145	101	50
10	8	collaborate	contingent	81.3	684.814643427	164912.657721	159200.420272	166180.499312	169303.980013	170940.194236	None	1636.21422225	4	4	0	140	1	0	1	151	[1405, 567]	-11	0	1	1	132	[645, 774]	8	1	0	1	106	[1048, 304]	34	1	0	1	81	[1254, 748]	59	0	1	1	54	[873, 794]	86	1	0	1	119	[1227, 129]	21	0	1	1	19	[1003, 891]	-59	0	1	1	166	[488, 807]	-26	-11	140	151	132	106	81	54	119	19	166
11	8	collaborate	contingent	99.32	784.474643427	183466.08243	178191.537963	184733.466582	187856.946917	192165.01126	None	4308.0643435	4	4	4	155	0	1	1	63	[360, 715]	-88	1	0	1	129	[1436, 308]	26	0	1	1	3	[263, 412]	-28	1	0	1	75	[1303, 113]	80	1	0	1	153	[1050, 910]	2	0	1	1	46	[336, 265]	-71	0	1	1	36	[506, 183]	-61	1	0	1	172	[1194, 581]	-17	2	155	153	63	129	3	75	46	36	172
12	8	collaborate	contingent	68.08	862.041920335	205123.906251	196974.312302	206392.650258	209517.885209	211353.270176	None	1835.38496726	4	4	0	123	1	0	1	138	[829, 268]	-15	1	0	1	52	[1136, 438]	71	1	0	1	152	[1044, 741]	-29	0	1	1	16	[434, 401]	-73	0	1	1	172	[928, 848]	-49	0	1	1	40	[500, 646]	83	1	0	1	27	[1160, 170]	-84	0	1	1	78	[606, 807]	45	-15	123	138	52	152	16	172	40	27	78
13	8	collaborate	contingent	57.52	939.450469618	223927.723522	218116.615083	225196.127749	228319.03885	232462.450041	None	4143.41119084	4	4	2	8	1	0	1	145	[1383, 873]	43	0	1	1	106	[737, 362]	82	1	0	1	26	[1311, 258]	-18	1	0	1	52	[883, 927]	-44	0	1	1	84	[974, 648]	-76	0	1	1	0	[604, 735]	8	1	0	1	168	[1168, 120]	20	0	1	1	134	[318, 247]	54	-18	8	26	145	106	52	84	0	168	134
14	8	collaborate	contingent	50.55	1006.86134934	240895.267338	237403.648223	242248.034991	245387.501136	248575.793041	None	3188.29190479	4	4	1	20	1	0	1	145	[1213, 203]	55	1	0	1	40	[1401, 770]	-20	1	0	1	130	[1124, 603]	70	0	1	1	99	[782, 872]	-79	0	1	1	177	[925, 825]	23	0	1	1	14	[922, 362]	6	0	1	1	25	[456, 505]	-5	1	0	1	75	[1502, 624]	-55	-20	20	40	145	130	99	177	14	25	75
15	8	collaborate	contingent	94.02	1097.39862625	273240.818596	257726.893461	274475.901976	277599.391474	281356.588076	None	3757.19660205	4	4	5	3	1	0	1	114	[1427, 685]	69	0	1	1	62	[408, 371]	-59	1	0	1	16	[670, 904]	-13	0	1	1	134	[700, 613]	49	0	1	1	37	[463, 212]	-34	1	0	1	177	[397, 920]	6	1	0	1	97	[338, 747]	86	0	1	1	124	[536, 690]	59	6	3	177	114	62	16	134	37	97	124
16	8	collaborate	contingent	40.64	1148.24189391	290459.816467	287636.362303	292061.320298	295200.177991	300043.210768	None	4843.03277727	4	4	0	87	1	0	1	110	[1161, 409]	-23	1	0	1	18	[1466, 601]	69	1	0	1	74	[1006, 514]	13	0	1	1	30	[592, 814]	57	1	0	1	54	[964, 111]	33	0	1	1	133	[340, 282]	-46	0	1	1	173	[670, 539]	-86	0	1	1	88	[268, 863]	-1	-23	87	110	18	74	30	54	133	173	88
17	8	collaborate	contingent	78.17	1234.33789804	307507.965598	304869.394172	309361.019151	312484.213219	315675.108275	None	3190.89505585	4	4	4	169	0	1	1	64	[553, 692]	-75	0	1	1	11	[612, 285]	-22	1	0	1	115	[899, 115]	54	1	0	1	161	[1398, 323]	8	1	0	1	1	[1435, 856]	-12	0	1	1	54	[914, 684]	-65	0	1	1	22	[210, 212]	-33	1	0	1	37	[1242, 642]	-48	-12	169	1	64	11	115	161	54	22	37
18	8	collaborate	contingent	99.83	1292.27533105	328499.898469	326513.094561	330335.748939	333478.596028	337550.384278	None	4071.78824968	4	4	1	110	0	1	1	48	[610, 527]	62	1	0	1	109	[1478, 409]	1	0	1	1	60	[403, 801]	50	1	0	1	18	[1172, 735]	-88	1	0	1	137	[1319, 544]	-27	1	0	1	171	[1344, 710]	-61	0	1	1	86	[460, 223]	24	0	1	1	122	[1003, 692]	-12	1	110	109	48	60	18	137	171	86	122
19	8	collaborate	contingent	31.74	1352.95691032	346935.197593	342226.850942	348204.555184	351343.57342	353865.423102	None	2521.84968141	4	4	0	62	1	0	1	36	[1040, 500]	26	1	0	1	18	[1338, 439]	44	0	1	1	157	[628, 162]	85	1	0	1	0	[1422, 185]	62	1	0	1	170	[1186, 413]	72	0	1	1	106	[1027, 288]	-44	0	1	1	147	[916, 738]	-85	0	1	1	132	[508, 561]	-70	26	62	36	18	157	0	170	106	147	132
20	8	collaborate	contingent	71.53	1424.48625274	360183.364538	358858.113606	363299.901181	366439.834296	369346.811415	None	2906.97711925	3	5	4	52	0	1	1	99	[625, 312]	-47	1	0	1	115	[1229, 274]	-63	0	1	1	23	[586, 776]	29	0	1	1	57	[185, 116]	-5	1	0	1	38	[932, 241]	14	1	0	1	128	[1058, 856]	-76	0	1	1	67	[309, 487]	-15	0	1	1	144	[821, 732]	88	14	52	38	99	115	23	57	128	67	144
21	8	collaborate	contingent	97.3	1520.14725687	379033.964853	374057.179888	380300.415067	383423.333499	385895.023957	None	2471.69045741	4	4	0	131	1	0	1	135	[1211, 914]	-4	0	1	1	66	[329, 505]	65	0	1	1	14	[599, 704]	-63	1	0	1	167	[1384, 401]	-36	0	1	1	104	[245, 773]	27	1	0	1	44	[1113, 457]	87	1	0	1	122	[1325, 157]	9	0	1	1	76	[393, 201]	55	-4	131	135	66	14	167	104	44	122	76
22	8	collaborate	contingent	98.47	1570.20111467	395547.780761	391004.935431	397049.342211	400172.53628	402643.982623	None	2471.44634327	3	5	6	135	0	1	1	120	[667, 182]	15	0	1	1	55	[251, 190]	80	0	1	1	150	[838, 314]	-15	1	0	1	14	[976, 836]	-59	1	0	1	176	[1267, 663]	-41	0	1	1	164	[673, 558]	-29	1	0	1	138	[1388, 861]	-3	0	1	1	65	[362, 540]	70	-3	135	138	120	55	150	14	176	164	65
23	8	collaborate	contingent	91.95	1658.3119944	409040.168871	407387.410601	411545.719352	414667.738301	418375.207827	None	3707.46952605	4	4	6	66	1	0	1	174	[1399, 743]	72	0	1	1	102	[885, 154]	-36	0	1	1	25	[704, 726]	41	0	1	1	12	[962, 303]	54	1	0	1	49	[829, 837]	17	0	1	1	89	[330, 403]	-23	1	0	1	59	[1248, 782]	7	1	0	1	132	[1277, 282]	-66	7	66	59	174	102	25	12	49	89	132
24	8	collaborate	contingent	40.64	1680.40460835	426691.5277	424035.873782	428044.123814	431166.665811	433673.165992	None	2506.50018034	4	4	7	118	0	1	1	27	[632, 495]	-89	0	1	1	5	[607, 206]	-67	1	0	1	127	[1057, 529]	-9	1	0	1	100	[902, 762]	18	0	1	1	153	[293, 867]	-35	0	1	1	174	[487, 756]	-56	1	0	1	52	[1131, 346]	66	1	0	1	141	[1459, 246]	-23	-23	118	141	27	5	127	100	153	174	52
25	8	collaborate	contingent	2.55	1698.96749831	442339.076735	439148.851711	443607.350841	446731.821561	448250.900217	None	1519.07865607	4	4	2	59	0	1	1	58	[313, 407]	1	1	0	1	78	[1364, 818]	-19	1	0	1	10	[1089, 571]	49	1	0	1	43	[852, 154]	16	0	1	1	171	[536, 542]	68	0	1	1	31	[543, 716]	28	0	1	1	111	[225, 933]	-52	1	0	1	147	[1288, 323]	-88	49	59	10	58	78	43	171	31	111	147
