trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	26.5	55.3858797262	25763.1002902	14139.177457	27031.2448914	30154.4753323	34915.5750522	None	4761.09971989	4	4	4	35	1	0	1	61	[1352, 914]	-26	1	0	1	120	[423, 605]	-85	0	1	1	104	[1150, 496]	-69	0	1	1	131	[1005, 324]	84	1	0	1	7	[1204, 866]	28	1	0	1	86	[730, 944]	-51	0	1	1	17	[853, 190]	18	0	1	1	159	[615, 143]	56	28	35	7	61	120	104	131	86	17	159
2	8	collaborate	contingent	71.53	100.068661717	51966.4990606	43314.6928659	53234.4930141	56341.368481	63021.6470654	None	6680.27858437	3	5	7	11	0	1	1	58	[1014, 222]	-47	1	0	1	15	[749, 850]	-4	0	1	1	28	[537, 283]	-17	0	1	1	163	[1045, 608]	28	1	0	1	43	[643, 571]	-32	0	1	1	78	[214, 420]	-67	0	1	1	114	[1065, 401]	77	1	0	1	177	[1512, 465]	14	14	11	177	58	15	28	163	43	78	114
3	8	collaborate	contingent	91.95	195.958095619	76334.7352232	68716.7906424	78586.2745041	81711.3160146	88808.0266195	None	7096.71060493	4	4	7	124	0	1	1	98	[487, 623]	26	1	0	1	150	[1008, 823]	-26	1	0	1	42	[245, 574]	82	0	1	1	129	[1197, 494]	-5	0	1	1	17	[712, 663]	-73	0	1	1	63	[995, 651]	61	1	0	1	160	[418, 916]	-36	1	0	1	117	[1389, 798]	7	7	124	117	98	150	42	129	17	63	160
4	8	collaborate	contingent	94.02	290.872733733	103087.032507	93784.2466632	104357.376343	107479.464281	113875.342622	None	6395.87834128	4	4	7	135	0	1	1	173	[1138, 152]	-38	1	0	1	42	[242, 432]	-87	1	0	1	11	[1126, 762]	-56	0	1	1	82	[1315, 250]	53	0	1	1	22	[861, 206]	-67	0	1	1	66	[1479, 162]	69	1	0	1	127	[768, 686]	8	1	0	1	141	[442, 767]	-6	-6	135	141	173	42	11	82	22	66	127
5	8	collaborate	contingent	74.9	368.973041629	125465.789807	119921.029887	128973.025656	132095.644343	136521.458664	None	4425.81432156	3	5	5	106	0	1	1	20	[799, 162]	86	0	1	1	147	[1027, 184]	-41	0	1	1	169	[198, 318]	-63	0	1	1	59	[1406, 276]	47	1	0	1	103	[1303, 885]	3	1	0	1	93	[990, 924]	13	1	0	1	34	[614, 807]	72	0	1	1	10	[953, 315]	-84	13	106	93	20	147	169	59	103	34	10
6	8	collaborate	contingent	47.16	398.998309022	153689.786242	144387.072606	154958.515839	158081.951909	165179.69872	None	7097.74681093	4	4	4	100	0	1	1	46	[1112, 702]	54	0	1	1	30	[1015, 367]	70	1	0	1	64	[894, 832]	36	1	0	1	15	[357, 941]	85	1	0	1	79	[459, 797]	21	0	1	1	106	[535, 326]	-6	0	1	1	116	[1298, 469]	-16	1	0	1	129	[354, 570]	-29	21	100	79	46	30	64	15	106	116	129
7	8	collaborate	contingent	94.02	493.912947136	176336.003815	170490.550989	177604.711054	180727.931231	185138.912449	None	4410.9812178	4	4	2	140	0	1	1	77	[950, 279]	63	0	1	1	37	[362, 700]	-77	1	0	1	134	[1094, 929]	6	0	1	1	167	[660, 266]	-27	1	0	1	113	[1351, 408]	27	0	1	1	7	[657, 421]	-47	1	0	1	152	[1034, 791]	-12	1	0	1	61	[509, 846]	79	6	140	134	77	37	167	113	7	152	61
8	8	collaborate	contingent	100.0	584.563255033	202958.00745	193053.570054	204226.353647	207334.458486	214414.20273	None	7079.74424369	3	5	1	67	1	0	1	16	[1479, 912]	51	1	0	1	67	[713, 706]	0	0	1	1	101	[399, 271]	-34	0	1	1	34	[428, 625]	33	0	1	1	116	[593, 341]	-49	1	0	1	88	[499, 926]	-21	0	1	1	155	[1074, 178]	-88	0	1	1	144	[298, 774]	-77	0	67	67	16	101	34	116	88	155	144
9	8	collaborate	contingent	98.47	683.033463499	227441.17121	221310.725813	228541.808914	231666.19322	238679.732075	None	7013.53885424	4	4	0	144	1	0	1	147	[401, 587]	-3	1	0	1	55	[954, 767]	89	0	1	1	117	[600, 156]	27	1	0	1	44	[402, 926]	-80	0	1	1	32	[427, 271]	-68	1	0	1	15	[1326, 819]	-51	0	1	1	66	[1165, 424]	78	0	1	1	87	[913, 333]	57	-3	144	147	55	117	44	32	15	66	87
10	8	collaborate	contingent	99.83	782.607085546	252260.66867	244157.482419	253528.6344	256649.441284	263780.786534	None	7131.34524976	3	5	6	45	1	0	1	59	[1002, 896]	-14	0	1	1	71	[1494, 723]	-26	0	1	1	166	[700, 903]	59	1	0	1	145	[1332, 894]	80	0	1	1	133	[262, 652]	-88	0	1	1	7	[525, 541]	38	1	0	1	44	[776, 708]	1	0	1	1	106	[493, 185]	-61	1	45	44	59	71	166	145	133	7	106
