trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	16.04	8.58402085678	29040.8454328	14159.8105279	30325.528588	33448.1917094	40495.3372392	None	7047.14552975	4	4	2	116	0	1	1	153	[182, 433]	-37	0	1	1	9	[543, 304]	-73	1	0	1	83	[1096, 583]	33	1	0	1	31	[1202, 752]	85	0	1	1	50	[394, 611]	66	1	0	1	95	[1135, 381]	21	1	0	1	132	[763, 899]	-16	0	1	1	60	[244, 241]	56	33	116	83	153	9	31	50	95	132	60
2	8	collaborate	contingent	95.81	92.2533632727	54407.7791609	47978.082715	55658.437834	58782.7038368	63842.6478587	None	5059.94402195	4	4	2	12	1	0	1	76	[897, 860]	-64	0	1	1	127	[545, 586]	65	1	0	1	7	[1432, 770]	5	1	0	1	46	[1410, 364]	-34	0	1	1	108	[934, 167]	84	1	0	1	87	[1249, 402]	-75	0	1	1	158	[463, 128]	34	0	1	1	21	[587, 218]	-9	5	12	7	76	127	46	108	87	158	21
3	8	collaborate	contingent	1.05	93.5424199943	75650.2522531	69671.0244658	76917.1757913	80040.3062519	87054.1893372	None	7013.88308533	4	4	6	19	0	1	1	149	[684, 282]	50	1	0	1	106	[1019, 437]	-87	0	1	1	78	[546, 754]	-59	1	0	1	49	[1131, 265]	-30	1	0	1	7	[1389, 540]	12	0	1	1	63	[457, 341]	-44	1	0	1	133	[1266, 867]	66	0	1	1	30	[478, 141]	-11	66	19	133	149	106	78	49	7	63	30
4	8	collaborate	contingent	29.05	108.631440851	104990.566349	92715.7955467	106241.87893	109365.390959	114124.463935	None	4759.07297527	3	5	2	100	0	1	1	145	[455, 372]	-45	0	1	1	93	[395, 121]	7	1	0	1	73	[935, 920]	27	1	0	1	22	[1318, 496]	78	0	1	1	50	[210, 592]	50	1	0	1	169	[656, 118]	-69	0	1	1	159	[671, 286]	-59	0	1	1	11	[1159, 551]	89	27	100	73	145	93	22	50	169	159	11
5	8	collaborate	contingent	57.52	137.892209642	129739.394886	121407.081634	131091.091162	134197.476956	139357.976213	None	5160.49925739	4	4	3	7	0	1	1	1	[454, 342]	6	1	0	1	68	[997, 794]	-61	1	0	1	17	[756, 710]	-10	1	0	1	169	[247, 826]	18	0	1	1	105	[618, 313]	82	0	1	1	48	[475, 182]	-41	0	1	1	119	[179, 384]	68	1	0	1	78	[1220, 279]	-71	18	7	169	1	68	17	105	48	119	78
6	8	collaborate	contingent	54.01	202.347929395	151599.2049	144701.505968	152850.827942	155957.391508	160416.038783	None	4458.64727521	4	4	7	86	1	0	1	101	[335, 151]	-15	1	0	1	44	[174, 176]	42	0	1	1	160	[966, 319]	-74	0	1	1	2	[947, 754]	84	0	1	1	117	[1392, 359]	-31	0	1	1	20	[1186, 153]	66	1	0	1	88	[985, 945]	-2	1	0	1	67	[579, 720]	19	19	86	67	101	44	160	2	117	20	88
7	8	collaborate	contingent	29.05	261.684508666	172290.288291	165643.053033	173575.174876	176698.294707	180021.686731	None	3323.39202379	4	4	1	36	1	0	1	100	[550, 918]	-64	1	0	1	63	[1438, 117]	-27	0	1	1	167	[1447, 750]	49	0	1	1	110	[1408, 426]	-74	0	1	1	121	[1269, 777]	-85	1	0	1	88	[344, 636]	-52	1	0	1	11	[435, 126]	25	0	1	1	150	[1021, 735]	66	-27	36	63	100	167	110	121	88	11	150
8	8	collaborate	contingent	1.0	310.08914678	197357.883478	187204.52956	198625.463857	201731.671146	204370.666942	None	2638.99579651	4	4	0	55	1	0	1	140	[981, 344]	-85	0	1	1	179	[401, 770]	56	0	1	1	11	[818, 743]	44	0	1	1	49	[423, 481]	6	1	0	1	105	[879, 153]	-50	0	1	1	85	[225, 762]	-30	1	0	1	59	[1336, 678]	-4	1	0	1	37	[988, 930]	18	-85	55	140	179	11	49	105	85	59	37
9	8	collaborate	contingent	74.9	393.515732005	219367.875004	211918.85308	220634.994641	223741.429185	226196.35131	None	2454.92212482	4	4	1	84	0	1	1	51	[795, 764]	33	1	0	1	97	[184, 268]	-13	0	1	1	171	[832, 915]	-87	0	1	1	153	[508, 944]	-69	1	0	1	62	[503, 575]	22	1	0	1	116	[1048, 311]	-32	0	1	1	128	[221, 853]	-44	1	0	1	35	[780, 285]	49	-13	84	97	51	171	153	62	116	128	35
10	8	collaborate	contingent	1.0	438.827311276	239157.634744	233844.891086	240490.977607	243597.440741	246303.462121	None	2706.02137957	4	4	2	90	1	0	1	17	[1012, 283]	73	0	1	1	52	[1387, 632]	38	1	0	1	171	[283, 464]	-81	0	1	1	106	[986, 882]	-16	0	1	1	120	[1081, 578]	-30	1	0	1	7	[373, 906]	83	1	0	1	70	[421, 256]	20	0	1	1	158	[959, 694]	-68	-81	90	171	17	52	106	120	7	70	158
11	8	collaborate	contingent	1.03	466.349214432	258111.705762	252282.863282	259462.975385	262568.535363	264957.214835	None	2388.67947212	4	4	0	58	1	0	1	170	[287, 611]	68	0	1	1	113	[1361, 841]	-55	1	0	1	148	[420, 358]	90	0	1	1	81	[1214, 658]	-23	1	0	1	71	[248, 227]	-13	1	0	1	6	[187, 772]	52	0	1	1	101	[904, 200]	-43	0	1	1	136	[534, 644]	-78	68	58	170	113	148	81	71	6	101	136
12	8	collaborate	contingent	81.3	556.913648334	280822.629986	274157.763766	282089.977978	285213.300873	289188.892579	None	3975.59170622	4	4	5	88	0	1	1	34	[1165, 633]	54	1	0	1	1	[187, 421]	87	0	1	1	58	[727, 806]	30	1	0	1	77	[580, 705]	11	0	1	1	46	[879, 700]	42	1	0	1	99	[921, 280]	-11	1	0	1	122	[339, 707]	-34	0	1	1	145	[967, 848]	-57	-11	88	99	34	1	58	77	46	122	145
