trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	91.95	93.8796381139	20595.6861598	9205.82411677	21931.510108	25053.8310018	29079.1220134	None	4025.29101157	4	4	1	116	0	1	1	125	[518, 724]	-9	1	0	1	109	[1329, 780]	7	0	1	1	174	[468, 235]	-58	1	0	1	42	[1051, 512]	74	1	0	1	137	[1129, 768]	-21	1	0	1	24	[960, 210]	-88	0	1	1	70	[366, 759]	46	0	1	1	91	[640, 122]	25	7	116	109	125	174	42	137	24	70	91
2	8	collaborate	contingent	95.81	180.868639608	42288.0503269	35307.3187789	43539.6662026	46646.1270664	51238.8541779	None	4592.72711145	4	4	3	113	0	1	1	91	[645, 943]	22	0	1	1	41	[500, 222]	72	1	0	1	165	[1045, 278]	-52	1	0	1	108	[1120, 861]	5	0	1	1	144	[834, 872]	-31	0	1	1	127	[512, 560]	-14	1	0	1	66	[1489, 725]	47	1	0	1	9	[1389, 547]	-76	5	113	108	91	41	165	144	127	66	9
3	8	collaborate	contingent	81.3	267.495224833	62143.560212	57233.4987146	63412.1661495	66535.2534709	69273.9122849	None	2738.65881399	2	6	3	66	0	1	1	157	[1321, 880]	89	1	0	1	91	[628, 540]	-25	0	1	1	132	[1048, 173]	-66	1	0	1	55	[401, 636]	11	0	1	1	42	[194, 559]	24	0	1	1	72	[1076, 430]	-6	0	1	1	32	[478, 415]	34	0	1	1	121	[1286, 708]	-55	11	66	55	157	91	132	42	72	32	121
4	8	collaborate	contingent	84.27	326.918114792	82517.3914191	75603.5406683	83768.7382571	86875.2687628	90867.129089	None	3991.86032617	4	4	0	85	1	0	1	95	[1391, 661]	-10	0	1	1	47	[635, 111]	38	1	0	1	32	[431, 614]	53	0	1	1	140	[1158, 328]	-55	0	1	1	108	[173, 315]	-23	1	0	1	130	[1241, 894]	-45	0	1	1	14	[1266, 537]	71	1	0	1	151	[622, 560]	-66	-10	85	95	47	32	140	108	130	14	151
5	8	collaborate	contingent	100.0	417.568422688	107700.242867	97930.1194689	109252.616154	112358.475165	119405.824337	None	7047.3491721	4	4	5	81	0	1	1	127	[596, 945]	-46	1	0	1	44	[311, 641]	37	0	1	1	173	[479, 301]	88	0	1	1	17	[209, 377]	64	1	0	1	71	[406, 519]	10	1	0	1	81	[609, 485]	0	0	1	1	144	[1259, 848]	-63	1	0	1	101	[538, 677]	-20	0	81	81	127	44	173	17	71	144	101
6	8	collaborate	contingent	97.3	496.741690344	134686.207455	124366.519905	135938.004033	139044.228115	143920.57816	None	4876.3500452	4	4	2	114	1	0	1	40	[639, 547]	74	1	0	1	60	[521, 348]	54	1	0	1	110	[504, 748]	4	1	0	1	141	[223, 157]	-27	0	1	1	28	[1150, 845]	86	0	1	1	175	[1051, 106]	-61	0	1	1	71	[1431, 489]	43	0	1	1	17	[1275, 379]	-83	4	114	110	40	60	141	28	175	71	17
7	8	collaborate	contingent	64.57	578.685312391	155961.310983	151068.83297	157197.015881	160319.414114	164744.908993	None	4425.49487912	4	4	0	147	1	0	1	163	[190, 695]	-16	0	1	1	36	[368, 240]	-69	1	0	1	9	[582, 613]	-42	0	1	1	132	[1454, 625]	15	1	0	1	112	[454, 698]	35	0	1	1	68	[1437, 107]	79	1	0	1	84	[176, 869]	63	0	1	1	22	[347, 932]	-55	-16	147	163	36	9	132	112	68	84	22
8	8	collaborate	contingent	17.84	588.121917791	176969.128472	170155.298174	178237.625548	181344.238158	188424.645614	None	7080.40745652	4	4	5	174	0	1	1	95	[495, 559]	79	1	0	1	80	[292, 246]	-86	1	0	1	48	[597, 201]	-54	0	1	1	139	[1172, 699]	35	0	1	1	164	[1084, 921]	10	1	0	1	26	[1057, 526]	-32	1	0	1	1	[268, 514]	-7	0	1	1	129	[1447, 179]	45	-32	174	26	95	80	48	139	164	1	129
9	8	collaborate	contingent	1.0	636.526555905	202469.484745	194503.080738	203771.029476	206894.153085	213958.236843	None	7064.08375796	4	4	3	144	1	0	1	158	[1494, 383]	-14	1	0	1	11	[594, 424]	-47	0	1	1	169	[843, 739]	-25	1	0	1	66	[1059, 158]	78	0	1	1	54	[1342, 865]	90	0	1	1	105	[328, 924]	39	1	0	1	138	[501, 143]	6	0	1	1	38	[719, 887]	-74	78	144	66	158	11	169	54	105	138	38
10	8	collaborate	contingent	81.3	707.699823561	225648.41462	219886.412936	226950.998482	230073.013684	235634.483305	None	5561.46962036	4	4	3	101	0	1	1	153	[1131, 888]	-52	0	1	1	118	[476, 578]	-17	0	1	1	101	[815, 809]	0	1	0	1	90	[1112, 359]	11	1	0	1	142	[957, 256]	-41	0	1	1	163	[314, 572]	-62	1	0	1	63	[1313, 561]	38	1	0	1	29	[1306, 383]	72	11	101	90	153	118	101	142	163	63	29
