trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	2.84	28.4269031561	32617.4607195	13994.8076815	33887.7603719	37025.0808115	44139.5423678	None	7114.46155628	4	4	6	42	0	1	1	29	[1432, 171]	13	0	1	1	97	[1483, 531]	-55	1	0	1	122	[419, 694]	-80	1	0	1	80	[181, 509]	-38	1	0	1	107	[675, 334]	-65	0	1	1	44	[1157, 725]	-2	1	0	1	174	[228, 824]	48	0	1	1	62	[1222, 478]	-20	48	42	174	29	97	122	80	107	44	62
2	8	collaborate	contingent	1.0	75.937907286	62243.4019326	49116.2806638	64181.9792901	67303.3177544	74400.8945625	None	7097.57680808	3	5	0	102	1	0	1	8	[467, 192]	-86	0	1	1	169	[1282, 431]	-67	0	1	1	138	[1403, 861]	-36	1	0	1	57	[702, 189]	45	0	1	1	46	[1311, 122]	56	0	1	1	115	[884, 356]	-13	1	0	1	89	[271, 175]	13	0	1	1	158	[1427, 688]	-56	-86	102	8	169	138	57	46	115	89	158
3	8	collaborate	contingent	1.92	114.348627039	85357.9657518	79649.2256423	86692.3927	89816.2111323	96829.701044	None	7013.48991171	4	4	2	40	0	1	1	38	[1223, 128]	2	1	0	1	65	[1072, 864]	-25	1	0	1	92	[315, 605]	-52	0	1	1	49	[947, 235]	-9	0	1	1	18	[1130, 673]	22	1	0	1	77	[707, 913]	-37	1	0	1	158	[1436, 797]	62	0	1	1	131	[935, 671]	89	-52	40	92	38	65	49	18	77	158	131
4	8	collaborate	contingent	95.81	210.902176322	107635.43444	101942.169756	108887.805089	112012.272286	119074.948841	None	7062.67655477	4	4	2	82	1	0	1	106	[283, 870]	-24	0	1	1	53	[964, 212]	29	1	0	1	87	[205, 486]	-5	0	1	1	9	[668, 145]	73	1	0	1	118	[446, 559]	-36	1	0	1	159	[200, 734]	-77	0	1	1	131	[1285, 342]	-49	0	1	1	26	[1309, 815]	56	-5	82	87	106	53	9	118	159	131	26
5	8	collaborate	contingent	78.17	299.222384788	129948.569803	124119.780329	131215.916659	134339.730326	141453.853938	None	7114.12361207	4	4	7	41	1	0	1	66	[384, 363]	-25	0	1	1	33	[743, 814]	8	1	0	1	91	[216, 595]	-50	0	1	1	133	[956, 407]	88	1	0	1	101	[442, 861]	-60	0	1	1	152	[648, 112]	69	0	1	1	2	[1391, 511]	39	1	0	1	53	[243, 193]	-12	-12	41	53	66	33	91	133	101	152	2
6	8	collaborate	contingent	99.32	351.402209501	151541.360596	146648.741818	152809.901619	155933.781995	162997.411538	None	7063.62954277	4	4	7	81	0	1	1	158	[1187, 853]	-77	0	1	1	52	[1453, 138]	29	1	0	1	65	[244, 752]	16	0	1	1	110	[994, 792]	-29	1	0	1	7	[586, 905]	74	0	1	1	145	[789, 916]	-64	1	0	1	94	[369, 540]	-13	1	0	1	83	[407, 838]	-2	-2	81	83	158	52	65	110	7	145	94
7	8	collaborate	contingent	97.3	447.956847615	178163.724805	167857.525361	180182.113075	183305.913181	190404.651168	None	7098.73798731	3	5	2	32	0	1	1	160	[1107, 669]	52	1	0	1	172	[299, 799]	40	1	0	1	36	[1107, 936]	-4	0	1	1	99	[732, 192]	-67	0	1	1	138	[1504, 347]	74	1	0	1	74	[865, 852]	-42	0	1	1	117	[1415, 767]	-85	0	1	1	20	[1326, 388]	12	-4	32	36	160	172	99	138	74	117	20
8	8	collaborate	contingent	14.4	503.805396898	198870.884054	195062.387726	200139.060009	203263.084067	210276.807827	None	7013.7237603	4	4	3	136	1	0	1	88	[1236, 872]	48	1	0	1	104	[355, 744]	32	0	1	1	129	[1042, 326]	7	1	0	1	170	[1479, 115]	-34	0	1	1	66	[547, 256]	70	0	1	1	37	[263, 358]	-81	1	0	1	160	[578, 499]	-24	0	1	1	148	[1408, 437]	-12	-34	136	170	88	104	129	66	37	160	148
9	8	collaborate	contingent	91.95	578.539595996	224910.672403	215221.171288	227228.684132	230350.898613	237383.850006	None	7032.95139285	4	4	1	79	1	0	1	150	[735, 764]	-71	1	0	1	86	[1128, 133]	-7	0	1	1	28	[1034, 822]	51	0	1	1	71	[1379, 697]	8	0	1	1	103	[1480, 452]	-24	1	0	1	38	[1136, 406]	41	0	1	1	56	[447, 873]	23	1	0	1	164	[231, 639]	-85	-7	79	86	150	28	71	103	38	56	164
