trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	95.81	48.4050405949	63439.7361543	15993.324319	64692.5114569	67798.4144479	74879.3619819	None	7080.94753398	5	3	0	38	1	0	1	43	[402, 460]	-5	0	1	1	70	[1437, 481]	-32	0	1	1	12	[616, 650]	26	1	0	1	24	[418, 814]	14	1	0	1	53	[364, 612]	-15	1	0	1	129	[778, 849]	89	1	0	1	159	[205, 572]	59	0	1	1	179	[828, 352]	39	-5	38	43	70	12	24	53	129	159	179
2	8	collaborate	contingent	5.68	68.5329305535	86703.7941018	81327.7149803	87989.0153471	91095.6437086	98193.4616959	None	7097.81798736	4	4	5	47	1	0	1	72	[553, 892]	-25	0	1	1	22	[1242, 826]	25	1	0	1	113	[1371, 122]	-66	0	1	1	41	[1269, 536]	6	1	0	1	146	[526, 318]	81	1	0	1	89	[602, 712]	-42	0	1	1	164	[1097, 617]	63	0	1	1	175	[1004, 856]	52	-42	47	89	72	22	113	41	146	164	175
3	8	collaborate	contingent	74.9	150.794509824	105208.913663	103337.269785	107178.871816	110302.268368	117317.24714	None	7014.97877219	3	5	6	60	0	1	1	58	[462, 286]	2	0	1	1	122	[1114, 274]	-62	1	0	1	110	[841, 858]	-50	1	0	1	0	[233, 438]	60	0	1	1	93	[1391, 795]	-33	0	1	1	145	[896, 321]	-85	1	0	1	47	[699, 803]	13	0	1	1	27	[1084, 742]	33	13	60	47	58	122	110	0	93	145	27
4	8	collaborate	contingent	91.95	200.376972644	126051.717926	122142.417826	127286.907301	130408.985431	137456.466225	None	7047.48079454	3	5	0	163	1	0	1	170	[345, 411]	-7	0	1	1	105	[1321, 585]	58	0	1	1	139	[1222, 914]	24	0	1	1	159	[925, 234]	4	0	1	1	19	[1145, 259]	-36	0	1	1	8	[759, 163]	-25	1	0	1	41	[641, 434]	-58	1	0	1	121	[359, 679]	42	-7	163	170	105	139	159	19	8	41	121
5	8	collaborate	contingent	99.32	278.796171741	144721.706611	142566.725837	146875.379592	149983.22228	154608.449118	None	4625.22683863	3	5	1	61	0	1	1	86	[557, 346]	-25	1	0	1	59	[258, 709]	2	0	1	1	6	[919, 236]	55	1	0	1	105	[545, 515]	-44	1	0	1	43	[236, 200]	18	0	1	1	131	[1356, 407]	-70	0	1	1	74	[858, 831]	-13	0	1	1	163	[1018, 613]	78	2	61	59	86	6	105	43	131	74	163
6	8	collaborate	contingent	84.27	349.690370839	175602.006919	161875.2634	177136.637221	180259.935175	187307.928384	None	7047.99320886	4	4	0	145	1	0	1	135	[193, 343]	10	0	1	1	84	[834, 832]	61	1	0	1	176	[260, 686]	-31	1	0	1	46	[487, 602]	-81	1	0	1	106	[486, 785]	39	0	1	1	15	[1435, 155]	-50	0	1	1	152	[1457, 649]	-7	0	1	1	120	[1000, 919]	25	10	145	135	84	176	46	106	15	152	120
7	8	collaborate	contingent	99.83	448.253920122	208367.251887	192518.352533	209653.170646	212759.251039	219792.026863	None	7032.77582313	5	3	1	90	1	0	1	146	[1389, 739]	-56	1	0	1	89	[618, 370]	1	1	0	1	156	[345, 856]	-66	1	0	1	109	[231, 662]	-19	0	1	1	135	[805, 312]	-45	0	1	1	123	[1035, 333]	-33	0	1	1	28	[1282, 198]	62	1	0	1	63	[478, 191]	27	1	90	89	146	156	109	135	123	28	63
8	8	collaborate	contingent	98.47	538.139228018	259455.549891	225017.438947	260773.234306	263880.131336	270927.380848	None	7047.24951169	5	3	4	42	1	0	1	65	[858, 297]	-23	1	0	1	125	[301, 278]	-83	1	0	1	15	[202, 115]	27	0	1	1	165	[1056, 495]	57	1	0	1	45	[417, 610]	-3	0	1	1	175	[602, 809]	47	0	1	1	135	[851, 727]	87	1	0	1	150	[1047, 841]	72	-3	42	45	65	125	15	165	175	135	150
9	8	collaborate	contingent	87.05	605.244930801	282083.68041	276004.387777	283385.678276	286508.947641	293526.430206	None	7017.4825649	4	4	3	6	0	1	1	89	[1460, 117]	-83	1	0	1	21	[705, 771]	-15	0	1	1	164	[1334, 739]	22	1	0	1	177	[256, 120]	9	1	0	1	107	[901, 853]	79	1	0	1	120	[271, 402]	66	0	1	1	31	[1085, 488]	-25	0	1	1	138	[1309, 177]	48	9	6	177	89	21	164	107	120	31	138
10	8	collaborate	contingent	97.3	703.553552848	331818.592869	298450.429779	333120.167022	336228.770634	343325.002263	None	7096.23162887	5	3	4	137	1	0	1	11	[205, 206]	-54	1	0	1	53	[1465, 630]	84	0	1	1	123	[1106, 105]	14	1	0	1	31	[386, 344]	-74	1	0	1	141	[615, 127]	-4	0	1	1	165	[622, 315]	-28	1	0	1	63	[299, 871]	74	0	1	1	111	[895, 690]	26	-4	137	141	11	53	123	31	165	63	111
11	8	collaborate	contingent	19.77	737.019255631	358122.837588	348150.745475	359458.143851	362563.399909	369577.994188	None	7014.59427819	5	3	2	32	0	1	1	106	[1430, 415]	-74	1	0	1	169	[732, 343]	43	1	0	1	63	[291, 248]	-31	1	0	1	43	[588, 185]	-11	1	0	1	12	[172, 721]	20	0	1	1	87	[1074, 803]	-55	0	1	1	24	[1079, 275]	8	1	0	1	137	[572, 713]	75	-31	32	63	106	169	43	12	87	24	137
12	8	collaborate	contingent	100.0	787.583276488	388299.42993	374905.096323	389618.174361	392725.032906	399839.229091	None	7114.19618578	4	4	5	51	0	1	1	167	[1281, 815]	64	0	1	1	26	[1072, 844]	25	0	1	1	95	[906, 838]	-44	1	0	1	81	[674, 276]	-30	1	0	1	4	[1369, 545]	47	1	0	1	51	[301, 223]	0	1	0	1	150	[1162, 206]	81	0	1	1	68	[596, 635]	-17	0	51	51	167	26	95	81	4	150	68
13	8	collaborate	contingent	97.3	884.137914602	439137.841651	405005.847681	440421.756936	443527.752293	450542.360867	None	7014.60857301	5	3	1	52	1	0	1	66	[239, 188]	-14	1	0	1	48	[1500, 129]	4	1	0	1	137	[667, 193]	-85	0	1	1	5	[1013, 487]	47	0	1	1	115	[1008, 783]	-63	0	1	1	166	[1161, 839]	66	1	0	1	91	[389, 331]	-39	1	0	1	20	[217, 750]	32	4	52	48	66	137	5	115	166	91	20
14	8	collaborate	contingent	100.0	982.786463885	464722.389463	455385.691838	467559.728706	470682.956286	477780.723692	None	7097.76740568	4	4	5	123	0	1	1	53	[1154, 902]	70	1	0	1	12	[274, 913]	-69	0	1	1	108	[1314, 912]	15	1	0	1	141	[1464, 306]	-18	0	1	1	63	[1337, 750]	60	1	0	1	123	[578, 502]	0	1	0	1	31	[1068, 218]	-88	0	1	1	86	[1204, 612]	37	0	123	123	53	12	108	141	63	31	86
15	8	collaborate	contingent	1.07	999.191539797	505353.833816	482858.463322	508025.058086	511150.502096	518163.635737	None	7013.13364081	4	4	6	149	0	1	1	152	[982, 773]	-3	0	1	1	94	[1116, 451]	55	0	1	1	5	[1201, 645]	-36	1	0	1	106	[178, 148]	43	0	1	1	142	[1345, 848]	7	1	0	1	125	[270, 667]	24	1	0	1	84	[790, 364]	65	1	0	1	34	[669, 477]	-65	65	149	84	152	94	5	106	142	125	34
16	8	collaborate	contingent	94.02	1076.72480745	536917.819446	523623.991253	538487.740726	541611.087429	548657.720797	None	7046.63336829	4	4	2	53	0	1	1	28	[1255, 134]	25	0	1	1	58	[1313, 474]	-5	1	0	1	47	[935, 194]	6	0	1	1	165	[1057, 853]	68	1	0	1	106	[245, 647]	-53	0	1	1	146	[1282, 939]	87	1	0	1	14	[606, 754]	39	1	0	1	117	[354, 493]	-64	6	53	47	28	58	165	106	146	14	117
17	8	collaborate	contingent	98.47	1126.46113559	566229.75881	553634.552193	567932.430218	571036.680508	578120.059994	None	7083.37948605	4	4	5	146	0	1	1	1	[1245, 930]	-35	1	0	1	81	[880, 191]	65	0	1	1	67	[1168, 143]	79	0	1	1	104	[1167, 406]	42	1	0	1	167	[528, 668]	-21	1	0	1	149	[665, 128]	-3	1	0	1	36	[437, 445]	-70	0	1	1	139	[1400, 395]	7	-3	146	149	1	81	67	104	167	36	139
18	8	collaborate	contingent	91.95	1186.95953043	597057.507328	584046.546133	598291.741882	601401.163232	608413.456044	None	7012.29281216	4	4	2	112	0	1	1	168	[1344, 558]	-56	0	1	1	74	[1122, 644]	38	1	0	1	119	[670, 299]	-7	1	0	1	36	[317, 672]	76	1	0	1	98	[217, 799]	14	0	1	1	10	[1475, 182]	-78	1	0	1	138	[546, 564]	-26	0	1	1	26	[892, 899]	86	-7	112	119	168	74	36	98	10	138	26
19	8	collaborate	contingent	91.95	1282.59315247	625015.710007	613357.776987	627066.838547	630173.201171	637239.596578	None	7066.39540718	4	4	5	4	0	1	1	97	[1199, 455]	87	0	1	1	71	[1055, 152]	-67	1	0	1	31	[981, 773]	-27	0	1	1	49	[1037, 630]	-45	1	0	1	127	[751, 826]	57	1	0	1	177	[382, 523]	7	0	1	1	156	[1432, 665]	28	1	0	1	10	[206, 680]	-6	7	4	177	97	71	31	49	127	156	10
20	8	collaborate	contingent	37.55	1335.40682958	664075.657351	641947.671429	665311.125658	668434.506816	675515.404135	None	7080.89731884	4	4	2	38	0	1	1	39	[1246, 490]	-1	0	1	1	111	[1399, 168]	-73	1	0	1	14	[931, 780]	24	0	1	1	95	[1278, 320]	-57	1	0	1	121	[1386, 846]	-83	1	0	1	52	[389, 516]	-14	0	1	1	134	[479, 270]	84	1	0	1	157	[1347, 646]	61	24	38	14	39	111	95	121	52	134	157
21	8	collaborate	contingent	37.55	1371.46971953	688375.324795	680408.635391	689526.92466	692650.231411	699664.364956	None	7014.13354514	4	4	2	72	1	0	1	29	[343, 496]	43	1	0	1	150	[184, 241]	-78	1	0	1	96	[1114, 643]	-24	0	1	1	169	[1392, 588]	83	0	1	1	112	[1439, 878]	-40	0	1	1	39	[535, 913]	33	1	0	1	124	[791, 134]	-52	0	1	1	134	[1193, 489]	-62	-24	72	96	29	150	169	112	39	124	134
22	8	collaborate	contingent	100.0	1428.66881605	709835.402111	704691.536477	711120.749078	714244.292243	721359.346485	None	7115.05424151	5	3	5	116	0	1	1	80	[664, 435]	36	1	0	1	128	[1284, 153]	-12	0	1	1	172	[944, 329]	-56	0	1	1	148	[388, 471]	-32	1	0	1	103	[1043, 141]	13	1	0	1	116	[313, 902]	0	1	0	1	18	[1465, 615]	-82	1	0	1	57	[1469, 844]	59	0	116	116	80	128	172	148	103	18	57
23	8	collaborate	contingent	91.95	1516.77969578	737207.930253	728139.5453	739345.64435	742468.16342	749516.540023	None	7048.37660326	4	4	1	118	0	1	1	156	[1254, 934]	-38	1	0	1	111	[206, 192]	7	0	1	1	61	[962, 187]	57	0	1	1	71	[414, 929]	47	0	1	1	50	[1000, 382]	68	1	0	1	82	[321, 521]	36	1	0	1	133	[511, 731]	-15	1	0	1	6	[490, 265]	-68	7	118	111	156	61	71	50	82	133	6
24	8	collaborate	contingent	99.83	1616.35331783	763143.93271	754810.16589	765064.62285	768169.998765	775286.733564	None	7116.7347992	4	4	5	41	0	1	1	110	[1088, 768]	-69	1	0	1	175	[503, 193]	46	1	0	1	165	[351, 116]	56	0	1	1	28	[1295, 388]	13	1	0	1	96	[582, 865]	-55	1	0	1	42	[677, 177]	-1	0	1	1	76	[1429, 519]	-35	0	1	1	123	[1399, 766]	-82	-1	41	42	110	175	165	28	96	76	123
25	8	collaborate	contingent	87.05	1680.19943228	796043.980763	780344.711888	797279.555365	800403.757925	807433.289924	None	7029.53199859	4	4	1	65	0	1	1	28	[691, 842]	37	1	0	1	56	[557, 170]	9	0	1	1	130	[1305, 660]	-65	0	1	1	113	[1062, 712]	-48	1	0	1	167	[1460, 767]	78	0	1	1	95	[979, 433]	-30	1	0	1	4	[258, 695]	61	1	0	1	43	[307, 435]	22	9	65	56	28	130	113	167	95	4	43
