trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	31.74	58.0058797262	39620.4211357	24740.4530097	40888.7323778	44011.8970385	51092.6087202	None	7080.71168173	6	2	7	126	1	0	1	62	[1224, 405]	64	1	0	1	142	[689, 919]	-16	1	0	1	34	[1505, 330]	-88	0	1	1	10	[1016, 116]	-64	1	0	1	119	[738, 387]	7	0	1	1	173	[610, 477]	-47	1	0	1	52	[355, 796]	74	1	0	1	100	[1060, 449]	26	26	126	100	62	142	34	10	119	173	52
2	8	collaborate	contingent	91.95	104.799737531	62166.1146628	58657.4449774	63583.3961943	66706.4091089	73787.0258577	None	7080.61674881	4	4	3	74	0	1	1	155	[1034, 327]	-81	1	0	1	173	[700, 317]	81	0	1	1	123	[1065, 562]	-49	1	0	1	67	[320, 354]	7	1	0	1	11	[525, 938]	63	0	1	1	85	[797, 188]	-11	0	1	1	56	[1332, 159]	18	1	0	1	22	[287, 685]	52	7	74	67	155	173	123	11	85	56	22
3	8	collaborate	contingent	40.64	135.006898598	100357.017449	80484.3448638	101624.898011	104748.25437	111761.973828	None	7013.71945744	5	3	2	61	1	0	1	171	[573, 773]	70	0	1	1	19	[1165, 430]	42	1	0	1	38	[293, 467]	23	0	1	1	112	[1489, 579]	-51	1	0	1	100	[786, 255]	-39	0	1	1	50	[1309, 795]	11	1	0	1	154	[1183, 880]	87	1	0	1	132	[617, 322]	-71	23	61	38	171	19	112	100	50	154	132
4	8	collaborate	contingent	61.05	166.29595532	135726.727688	118409.365445	137612.393989	140737.117895	147782.755342	None	7045.63744712	4	4	4	99	1	0	1	156	[697, 198]	-57	0	1	1	102	[1159, 261]	-3	1	0	1	46	[171, 582]	53	1	0	1	126	[904, 864]	-27	1	0	1	116	[796, 325]	-17	0	1	1	56	[1348, 387]	43	0	1	1	175	[1177, 616]	-76	0	1	1	69	[1397, 111]	30	-17	99	116	156	102	46	126	56	175	69
5	8	collaborate	contingent	97.3	236.871897245	166019.069789	153944.90848	168072.456182	171195.533241	178293.149215	None	7097.61597395	4	4	1	158	0	1	1	46	[1397, 929]	-68	1	0	1	154	[185, 344]	4	1	0	1	122	[325, 791]	36	0	1	1	164	[940, 247]	-6	1	0	1	9	[1474, 367]	-31	1	0	1	56	[491, 257]	-78	0	1	1	110	[1110, 716]	48	0	1	1	34	[682, 698]	-56	4	158	154	46	122	164	9	56	110	34
6	8	collaborate	contingent	95.81	322.227616999	219090.084017	185123.067528	220341.874731	223464.972682	230579.876712	None	7114.90402977	5	3	6	118	1	0	1	24	[480, 665]	-86	1	0	1	87	[701, 428]	31	1	0	1	71	[1488, 263]	47	0	1	1	50	[1360, 685]	68	0	1	1	40	[1162, 797]	78	0	1	1	4	[1457, 530]	-66	1	0	1	123	[208, 866]	-5	1	0	1	172	[588, 198]	-54	-5	118	123	24	87	71	50	40	4	172
7	8	collaborate	contingent	1.0	337.251011837	245141.481584	236490.571584	246409.794659	249532.923032	256646.970467	None	7114.04743421	5	3	3	79	1	0	1	70	[1025, 314]	9	1	0	1	111	[1357, 234]	-32	0	1	1	59	[363, 848]	20	1	0	1	163	[802, 234]	-84	0	1	1	2	[601, 762]	77	1	0	1	144	[490, 475]	-65	1	0	1	26	[643, 151]	53	0	1	1	82	[1112, 755]	-3	-84	79	163	70	111	59	2	144	26	82
8	8	collaborate	contingent	99.32	424.36173159	274115.116254	264512.322954	275301.427073	278423.346243	285504.823619	None	7081.47737627	3	5	0	151	1	0	1	149	[456, 583]	2	1	0	1	49	[353, 373]	-78	0	1	1	110	[1296, 334]	41	0	1	1	174	[929, 754]	-23	0	1	1	120	[1128, 548]	31	1	0	1	136	[170, 777]	15	0	1	1	37	[732, 696]	-66	0	1	1	4	[439, 914]	-33	2	151	149	49	110	174	120	136	37	4
9	8	collaborate	contingent	21.86	446.223744513	299231.696455	291064.549626	300566.47834	303689.682953	310703.31041	None	7013.6274568	4	4	7	121	0	1	1	59	[1433, 678]	62	0	1	1	44	[1319, 526]	77	1	0	1	114	[645, 244]	7	0	1	1	4	[1436, 348]	-63	1	0	1	91	[501, 540]	30	1	0	1	129	[338, 391]	-8	0	1	1	174	[1058, 684]	-53	1	0	1	151	[178, 767]	-30	-30	121	151	59	44	114	4	91	129	174
10	8	collaborate	contingent	74.9	484.206861269	337506.365638	316431.219811	338774.851718	341897.941971	348995.217433	None	7097.27546163	4	4	5	42	1	0	1	26	[322, 601]	16	1	0	1	130	[395, 349]	-88	1	0	1	163	[1346, 588]	59	0	1	1	83	[201, 695]	-41	0	1	1	116	[758, 308]	-74	1	0	1	55	[650, 436]	-13	0	1	1	146	[986, 279]	76	0	1	1	67	[1158, 875]	-25	-13	42	55	26	130	163	83	116	146	67
