trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	99.83	57.1140965202	32587.9712576	16236.4941838	34505.6054617	37611.8841799	42220.9595812	None	4609.07540121	3	5	3	13	0	1	1	176	[689, 778]	17	1	0	1	165	[524, 214]	28	0	1	1	70	[1436, 204]	-57	1	0	1	12	[490, 525]	1	0	1	1	45	[1403, 612]	-32	0	1	1	88	[1255, 384]	-75	1	0	1	31	[345, 607]	-18	0	1	1	149	[934, 907]	44	1	13	12	176	165	70	45	88	31	149
2	8	collaborate	contingent	57.52	134.522645803	59054.9649003	51541.2589545	60322.7467459	63429.961235	68071.9726182	None	4642.0113832	4	4	2	69	0	1	1	30	[377, 358]	39	1	0	1	90	[1076, 621]	-21	1	0	1	51	[1219, 105]	18	0	1	1	67	[389, 893]	2	1	0	1	117	[922, 263]	-48	0	1	1	11	[514, 673]	58	0	1	1	165	[189, 648]	84	1	0	1	137	[1490, 462]	-68	18	69	51	30	90	67	117	11	165	137
3	8	collaborate	contingent	99.32	233.417854269	80329.2318982	73883.1642617	81599.4215301	84704.4848092	88629.6766551	None	3925.19184585	4	4	3	148	1	0	1	173	[1453, 310]	-25	0	1	1	98	[533, 851]	50	0	1	1	70	[731, 911]	78	1	0	1	146	[748, 285]	2	0	1	1	54	[560, 637]	-86	1	0	1	41	[395, 144]	-73	1	0	1	110	[832, 122]	38	0	1	1	24	[957, 658]	-56	2	148	146	173	98	70	54	41	110	24
4	8	collaborate	contingent	26.5	296.326476317	102273.167751	94957.7140067	103607.642605	106714.393057	113781.704782	None	7067.31172422	4	4	0	26	1	0	1	54	[372, 444]	-28	0	1	1	124	[637, 448]	82	0	1	1	103	[1368, 704]	-77	1	0	1	150	[858, 319]	56	0	1	1	4	[1154, 944]	22	1	0	1	43	[243, 116]	-17	0	1	1	92	[505, 904]	-66	1	0	1	136	[175, 618]	70	-28	26	54	124	103	150	4	43	92	136
5	8	collaborate	contingent	99.83	391.053055587	127905.80823	119473.034918	129175.619595	132280.929921	136156.52921	None	3875.59928921	4	4	2	156	1	0	1	90	[1250, 416]	66	0	1	1	109	[925, 940]	47	1	0	1	155	[496, 642]	1	0	1	1	28	[1280, 686]	-52	0	1	1	168	[1365, 933]	-12	0	1	1	64	[725, 298]	-88	1	0	1	124	[533, 253]	32	1	0	1	11	[1259, 207]	-35	1	156	155	90	109	28	168	64	124	11
6	8	collaborate	contingent	1.44	424.060331945	151369.680071	141366.154711	152704.06659	155810.539573	159601.145724	None	3790.6061508	4	4	5	108	1	0	1	93	[168, 713]	15	0	1	1	38	[801, 845]	70	0	1	1	153	[1452, 437]	-45	0	1	1	142	[1335, 801]	-34	0	1	1	11	[973, 635]	-83	1	0	1	52	[777, 242]	56	1	0	1	109	[266, 344]	-1	1	0	1	83	[1288, 181]	25	56	108	52	93	38	153	142	11	109	83
7	8	collaborate	contingent	29.05	487.233881228	173028.047102	167702.718464	174296.25523	177402.581965	180527.223125	None	3124.64115955	4	4	7	115	0	1	1	169	[1093, 679]	-54	1	0	1	58	[530, 637]	57	0	1	1	39	[794, 844]	76	0	1	1	156	[1443, 700]	-41	0	1	1	96	[1193, 931]	19	1	0	1	115	[401, 448]	0	1	0	1	83	[1240, 600]	32	1	0	1	142	[896, 287]	-27	-27	115	142	169	58	39	156	96	115	83
8	8	collaborate	contingent	100.0	537.733956383	195371.678068	189576.613719	196640.094024	199746.708125	203789.312639	None	4042.60451457	4	4	3	162	0	1	1	57	[939, 684]	-75	0	1	1	42	[921, 854]	-60	0	1	1	20	[1373, 525]	-38	1	0	1	162	[995, 335]	0	1	0	1	87	[1062, 109]	75	1	0	1	118	[434, 880]	44	0	1	1	174	[1110, 513]	-12	1	0	1	131	[208, 373]	31	0	162	162	57	42	20	87	118	174	131
9	8	collaborate	contingent	50.55	586.589659166	215644.685643	209568.275352	216896.581009	220003.028701	227100.166701	None	7097.13799999	4	4	2	33	0	1	1	138	[918, 905]	75	0	1	1	101	[1269, 176]	-68	1	0	1	13	[604, 131]	20	1	0	1	51	[349, 245]	-18	0	1	1	90	[1262, 454]	-57	1	0	1	177	[528, 341]	36	1	0	1	25	[725, 308]	8	0	1	1	66	[1345, 627]	-33	20	33	13	138	101	51	90	177	25	66
10	8	collaborate	contingent	94.02	657.180361948	238756.621504	231608.791334	240008.446862	243114.908483	247607.471066	None	4492.56258265	4	4	2	18	0	1	1	143	[212, 762]	55	1	0	1	119	[1408, 394]	79	1	0	1	12	[1124, 293]	6	0	1	1	39	[286, 524]	-21	0	1	1	79	[600, 531]	-61	1	0	1	105	[1347, 178]	-87	0	1	1	61	[669, 805]	-43	1	0	1	95	[633, 118]	-77	6	18	12	143	119	39	79	105	61	95
