trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	1.0	15.0233948384	35051.366411	16297.5366555	36453.3487132	39576.7468575	46640.4354892	None	7063.68863173	4	4	2	89	0	1	1	32	[880, 798]	57	0	1	1	153	[693, 758]	-64	1	0	1	4	[1288, 374]	85	1	0	1	18	[667, 502]	71	0	1	1	94	[493, 389]	-5	1	0	1	70	[817, 325]	19	0	1	1	132	[448, 542]	-43	1	0	1	58	[1477, 398]	31	85	89	4	32	153	18	94	70	132	58
2	8	collaborate	contingent	7.21	66.5330329523	68834.4582335	54338.8768298	70620.9724064	73743.6668008	80824.2644897	None	7080.59768891	5	3	0	120	1	0	1	160	[1072, 282]	-40	1	0	1	87	[1171, 771]	33	0	1	1	42	[603, 663]	78	1	0	1	115	[855, 160]	5	1	0	1	22	[1373, 420]	-82	0	1	1	97	[790, 932]	23	0	1	1	143	[194, 576]	-23	1	0	1	70	[374, 366]	50	-40	120	160	87	42	115	22	97	143	70
3	8	collaborate	contingent	50.55	92.3081346829	101348.652356	86552.3721869	102616.786561	105740.355878	112770.507528	None	7030.15165077	4	4	6	48	0	1	1	173	[913, 905]	55	0	1	1	91	[708, 632]	-43	1	0	1	80	[627, 149]	-32	1	0	1	121	[1372, 617]	-73	0	1	1	70	[547, 530]	-22	0	1	1	142	[1141, 693]	86	1	0	1	28	[1080, 514]	20	1	0	1	40	[257, 328]	8	20	48	28	173	91	80	121	70	142	40
4	8	collaborate	contingent	81.3	177.769713953	134897.9548	120802.646906	136216.154579	139339.475384	145200.65522	None	5861.17983669	4	4	1	160	1	0	1	20	[326, 874]	-40	1	0	1	149	[876, 173]	11	0	1	1	89	[401, 722]	71	0	1	1	114	[202, 583]	46	1	0	1	7	[1214, 322]	-27	1	0	1	172	[1322, 170]	-12	0	1	1	58	[642, 599]	-78	0	1	1	138	[1234, 747]	22	11	160	149	20	89	114	7	172	58	138
5	8	collaborate	contingent	98.47	262.769056369	165641.349631	152748.872717	166742.655893	169865.827518	175160.170542	None	5294.34302382	4	4	1	80	0	1	1	118	[367, 551]	-38	1	0	1	77	[789, 183]	3	1	0	1	177	[915, 281]	83	0	1	1	28	[1315, 726]	52	0	1	1	149	[987, 794]	-69	0	1	1	7	[1121, 926]	73	1	0	1	63	[1144, 379]	17	1	0	1	161	[1360, 184]	-81	3	80	77	118	177	28	149	7	63	161
6	8	collaborate	contingent	43.85	326.829936095	195116.521555	183091.873815	196384.287757	199507.540753	206354.559823	None	6847.01906942	5	3	6	45	0	1	1	21	[1415, 838]	24	1	0	1	157	[1177, 251]	68	0	1	1	100	[650, 788]	-55	1	0	1	88	[799, 113]	-43	0	1	1	50	[1051, 746]	-5	1	0	1	11	[767, 269]	34	1	0	1	67	[1016, 436]	-22	1	0	1	142	[1350, 196]	83	-22	45	67	21	157	100	88	50	11	142
7	8	collaborate	contingent	40.64	370.730638878	225876.748837	212566.282976	227512.011764	230635.342099	236212.785376	None	5577.44327666	4	4	1	131	0	1	1	157	[1047, 802]	-26	1	0	1	108	[771, 375]	23	0	1	1	65	[496, 617]	66	1	0	1	45	[834, 145]	86	0	1	1	136	[1227, 815]	-5	1	0	1	90	[258, 351]	41	1	0	1	27	[1448, 252]	-76	0	1	1	17	[899, 932]	-66	23	131	108	157	65	45	136	90	27	17
8	8	collaborate	contingent	87.05	433.028790849	259225.158545	243528.697601	261094.828831	264218.298084	269862.416164	None	5644.11808043	4	4	0	68	1	0	1	77	[281, 814]	-9	1	0	1	40	[583, 766]	28	0	1	1	92	[1224, 543]	-24	0	1	1	107	[1266, 868]	-39	0	1	1	166	[1430, 450]	82	0	1	1	60	[1057, 476]	8	1	0	1	176	[477, 543]	72	1	0	1	9	[298, 281]	59	-9	68	77	40	92	107	166	60	176	9
9	8	collaborate	contingent	84.27	523.812340132	286946.303517	276542.078012	288950.729811	292072.53682	297833.814596	None	5761.27777521	5	3	0	86	1	0	1	96	[452, 276]	-10	0	1	1	13	[1435, 674]	73	1	0	1	85	[560, 154]	1	1	0	1	133	[294, 408]	-47	0	1	1	156	[886, 860]	-70	0	1	1	72	[1322, 438]	14	1	0	1	168	[846, 259]	-82	1	0	1	179	[643, 407]	87	-10	86	96	13	85	133	156	72	168	179
10	8	collaborate	contingent	74.9	604.78961704	314667.262655	304213.100597	316471.49813	319593.66068	325939.200775	None	6345.54009505	4	4	4	128	1	0	1	155	[387, 843]	-27	0	1	1	169	[1467, 596]	-41	0	1	1	89	[1278, 222]	39	0	1	1	41	[586, 507]	87	1	0	1	141	[977, 704]	-13	1	0	1	18	[182, 638]	-70	1	0	1	119	[363, 625]	9	0	1	1	61	[894, 294]	67	-13	128	141	155	169	89	41	18	119	61
