trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	84.27	58.0050759128	41942.7849244	29735.4004352	46117.1417973	49226.5745728	56287.3413991	None	7060.76682628	2	6	5	3	0	1	1	62	[1224, 405]	-59	0	1	1	142	[689, 919]	41	0	1	1	34	[1505, 330]	-31	1	0	1	10	[1016, 116]	-7	0	1	1	119	[738, 387]	64	1	0	1	173	[610, 477]	10	0	1	1	52	[355, 796]	-49	0	1	1	100	[1060, 449]	83	10	3	173	62	142	34	10	119	52	100
2	8	collaborate	contingent	1.64	104.801661138	67542.2412757	63885.0387357	68794.9661173	71900.8647358	77461.1561627	None	5560.29142683	4	4	5	31	1	0	1	155	[1034, 327]	56	0	1	1	173	[700, 317]	38	1	0	1	123	[1065, 562]	88	0	1	1	67	[320, 354]	-36	0	1	1	11	[525, 938]	20	1	0	1	85	[797, 188]	-54	1	0	1	56	[1332, 159]	-25	0	1	1	22	[287, 685]	9	-54	31	85	155	173	123	67	11	56	22
3	8	collaborate	contingent	19.77	135.007775592	105152.61422	85627.1259189	106835.078908	109941.725264	117005.581637	None	7063.85637292	3	5	3	81	0	1	1	171	[573, 773]	90	1	0	1	19	[1165, 430]	62	0	1	1	38	[293, 467]	43	1	0	1	112	[1489, 579]	-31	0	1	1	100	[786, 255]	-19	1	0	1	50	[1309, 795]	31	0	1	1	154	[1183, 880]	-73	0	1	1	132	[617, 322]	-51	-31	81	112	171	19	38	100	50	154	132
4	8	collaborate	contingent	1.53	166.296043248	141586.983072	122950.294183	142822.856707	145928.608711	151692.212392	None	5763.6036818	4	4	1	47	0	1	1	156	[697, 198]	71	1	0	1	102	[1159, 261]	-55	0	1	1	46	[171, 582]	1	0	1	1	126	[904, 864]	-79	0	1	1	116	[796, 325]	-69	1	0	1	56	[1348, 387]	-9	1	0	1	175	[1177, 616]	52	1	0	1	69	[1397, 111]	-22	-55	47	102	156	46	126	116	56	175	69
5	8	collaborate	contingent	43.85	236.869592531	172046.923429	159171.453894	173298.982271	176421.906935	182552.658278	None	6130.75134373	4	4	6	132	1	0	1	46	[1397, 929]	86	0	1	1	154	[185, 344]	-22	0	1	1	122	[325, 791]	10	1	0	1	164	[940, 247]	-32	0	1	1	9	[1474, 367]	-57	0	1	1	56	[491, 257]	76	1	0	1	110	[1110, 716]	22	1	0	1	34	[682, 698]	-82	22	132	110	46	154	122	164	9	56	34
6	8	collaborate	contingent	74.9	322.224230645	220408.939929	189497.710605	225551.278997	228674.87809	233700.665852	None	5025.78776292	3	5	3	63	0	1	1	24	[480, 665]	39	0	1	1	87	[701, 428]	-24	0	1	1	71	[1488, 263]	-8	1	0	1	50	[1360, 685]	13	1	0	1	40	[1162, 797]	23	1	0	1	4	[1457, 530]	59	0	1	1	123	[208, 866]	-60	0	1	1	172	[588, 198]	71	13	63	50	24	87	71	40	4	123	172
7	8	collaborate	contingent	29.05	337.249477764	245324.855804	241015.765521	251635.3305	254742.243328	258432.369021	None	3690.12569312	3	5	7	109	0	1	1	70	[1025, 314]	39	0	1	1	111	[1357, 234]	-2	1	0	1	59	[363, 848]	50	0	1	1	163	[802, 234]	-54	1	0	1	2	[601, 762]	-73	0	1	1	144	[490, 475]	-35	0	1	1	26	[643, 151]	83	1	0	1	82	[1112, 755]	27	27	109	82	70	111	59	163	2	144	26
8	8	collaborate	contingent	74.9	424.358099812	279258.339467	269738.697076	280526.759821	283632.104968	289576.775362	None	5944.6703946	5	3	2	123	0	1	1	149	[456, 583]	-26	0	1	1	49	[353, 373]	74	1	0	1	110	[1296, 334]	13	1	0	1	174	[929, 754]	-51	1	0	1	120	[1128, 548]	3	0	1	1	136	[170, 777]	-13	1	0	1	37	[732, 696]	86	1	0	1	4	[439, 914]	-61	13	123	110	149	49	174	120	136	37	4
9	8	collaborate	contingent	21.86	446.220112735	304040.899748	295504.825469	305792.08733	308914.597805	312972.455788	None	4057.85798275	4	4	6	24	1	0	1	59	[1433, 678]	-35	1	0	1	44	[1319, 526]	-20	0	1	1	114	[645, 244]	90	1	0	1	4	[1436, 348]	20	0	1	1	91	[501, 540]	-67	0	1	1	129	[338, 391]	75	1	0	1	174	[1058, 684]	30	0	1	1	151	[178, 767]	53	30	24	174	59	44	114	4	91	129	151
10	8	collaborate	contingent	1.07	484.205832488	342013.083931	321238.800806	343983.697134	347106.267356	354221.039853	None	7114.77249735	4	4	7	132	0	1	1	26	[322, 601]	-74	0	1	1	130	[395, 349]	2	0	1	1	163	[1346, 588]	-31	1	0	1	83	[201, 695]	49	1	0	1	116	[758, 308]	16	0	1	1	55	[650, 436]	77	1	0	1	146	[986, 279]	-14	1	0	1	67	[1158, 875]	65	65	132	67	26	130	163	83	116	55	146
