trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	97.3	98.65	37435.3522721	19332.5263394	38653.2813192	41760.0200423	48857.2544417	None	7097.23439942	5	3	4	151	0	1	1	90	[1478, 469]	61	1	0	1	13	[189, 648]	-42	0	1	1	43	[1330, 137]	-72	0	1	1	107	[1365, 605]	44	1	0	1	147	[520, 571]	4	1	0	1	125	[870, 722]	26	1	0	1	56	[314, 222]	-85	1	0	1	1	[306, 525]	-30	4	151	147	90	13	43	107	125	56	1
2	8	collaborate	contingent	99.83	163.088394838	77680.7100716	54935.7122122	79218.2072492	82339.2834627	87900.1851749	None	5560.90171217	5	3	7	65	0	1	1	146	[1086, 319]	-81	0	1	1	76	[1257, 157]	-11	1	0	1	54	[455, 838]	11	1	0	1	170	[609, 832]	75	1	0	1	121	[181, 698]	-56	0	1	1	20	[1241, 515]	45	1	0	1	99	[711, 287]	-34	1	0	1	66	[1078, 582]	-1	-1	65	66	146	76	54	170	121	20	99
3	8	collaborate	contingent	1.05	209.589980064	113918.253653	94379.355568	115589.339176	118694.028954	125240.128772	None	6546.09981849	5	3	4	24	0	1	1	22	[1175, 125]	2	1	0	1	148	[1046, 457]	56	1	0	1	9	[529, 499]	15	0	1	1	124	[1283, 283]	80	1	0	1	138	[427, 742]	66	0	1	1	114	[1479, 161]	90	1	0	1	82	[503, 900]	-58	1	0	1	100	[851, 212]	-76	66	24	138	22	148	9	124	114	82	100
4	8	collaborate	contingent	94.02	306.599980064	146632.23069	130718.019582	147934.045199	151040.513417	157152.616053	None	6112.10263643	6	2	6	124	0	1	1	65	[1260, 298]	59	1	0	1	80	[356, 371]	44	1	0	1	19	[630, 174]	-75	0	1	1	156	[1003, 807]	-32	1	0	1	174	[350, 568]	-50	1	0	1	34	[1117, 618]	90	1	0	1	130	[647, 935]	-6	1	0	1	92	[652, 764]	32	-6	124	130	65	80	19	156	174	34	92
5	8	collaborate	contingent	6.4	348.883981557	179062.449968	162964.542238	180565.35148	183688.294104	190688.312797	None	7000.01869343	5	3	0	48	1	0	1	7	[941, 820]	41	1	0	1	115	[202, 776]	-67	1	0	1	140	[682, 221]	88	1	0	1	85	[764, 813]	-37	0	1	1	63	[1438, 918]	-15	0	1	1	161	[1502, 293]	67	0	1	1	41	[1216, 699]	7	1	0	1	25	[1101, 480]	23	41	48	7	115	140	85	63	161	41	25
6	8	collaborate	contingent	89.62	431.144701311	210941.59441	196813.601629	212194.391826	215302.366148	222331.890763	None	7029.52461521	5	3	4	109	0	1	1	139	[1302, 282]	-30	1	0	1	53	[329, 257]	56	1	0	1	5	[1019, 628]	-76	1	0	1	25	[1295, 504]	84	1	0	1	101	[1150, 746]	8	1	0	1	72	[598, 659]	37	0	1	1	90	[852, 112]	19	0	1	1	120	[1474, 175]	-11	8	109	101	139	53	5	25	72	90	120
7	8	collaborate	contingent	1.0	473.780581037	247496.540983	231497.98221	248731.856382	251837.837105	258768.544977	None	6930.70787235	5	3	4	80	1	0	1	49	[860, 202]	31	1	0	1	154	[579, 418]	-74	0	1	1	7	[1492, 726]	73	0	1	1	21	[992, 812]	59	1	0	1	168	[354, 199]	-88	1	0	1	85	[584, 151]	-5	0	1	1	140	[1308, 240]	-60	1	0	1	116	[701, 621]	-36	-88	80	168	49	154	7	21	85	140	116
8	8	collaborate	contingent	81.3	541.437484193	272462.125288	264328.963593	274114.566503	277222.992766	283249.431133	None	6026.43836741	5	3	0	141	1	0	1	152	[1278, 275]	-11	1	0	1	48	[741, 788]	-87	1	0	1	114	[1028, 113]	27	1	0	1	70	[807, 197]	71	1	0	1	91	[289, 441]	50	0	1	1	129	[1016, 615]	12	0	1	1	174	[847, 356]	-33	0	1	1	139	[1429, 547]	2	-11	141	152	48	114	70	91	129	174	139
9	8	collaborate	contingent	1.0	589.842122307	303941.052667	289979.238936	305542.769457	308665.956561	315679.548513	None	7013.59195259	5	3	5	60	1	0	1	54	[1238, 841]	6	1	0	1	91	[1445, 128]	-31	1	0	1	79	[831, 706]	-19	1	0	1	131	[684, 144]	-71	0	1	1	150	[1361, 750]	90	1	0	1	164	[368, 756]	76	0	1	1	43	[1005, 445]	17	0	1	1	23	[1137, 628]	37	76	60	164	54	91	79	131	150	43	23
10	8	collaborate	contingent	1.03	622.644398665	347844.74964	321392.070762	349362.330256	352468.356064	358864.92571	None	6396.56964657	5	3	0	137	1	0	1	26	[620, 756]	-69	0	1	1	150	[1190, 477]	-13	1	0	1	54	[574, 320]	83	1	0	1	40	[263, 398]	-83	1	0	1	71	[879, 352]	66	1	0	1	168	[378, 599]	-31	0	1	1	2	[1448, 370]	-45	0	1	1	115	[811, 861]	22	-69	137	26	150	54	40	71	168	2	115
11	8	collaborate	contingent	1.53	662.493400158	375147.167836	365561.360617	378970.074393	382077.587243	387286.445947	None	5208.8587041	5	3	4	143	1	0	1	120	[453, 540]	23	1	0	1	100	[462, 176]	43	0	1	1	134	[1465, 165]	9	1	0	1	56	[388, 907]	87	1	0	1	18	[649, 566]	-55	0	1	1	88	[1303, 869]	55	1	0	1	30	[797, 913]	-67	0	1	1	69	[1369, 332]	74	-55	143	18	120	100	134	56	88	30	69
12	8	collaborate	contingent	81.3	743.793708055	419065.900187	394934.942849	420685.338344	423791.279847	430889.471643	None	7098.19179601	5	3	3	18	0	1	1	71	[1460, 609]	-53	0	1	1	110	[963, 353]	88	1	0	1	19	[443, 734]	-1	1	0	1	7	[468, 557]	11	0	1	1	146	[787, 250]	52	1	0	1	92	[223, 836]	-74	1	0	1	164	[746, 831]	34	1	0	1	47	[360, 404]	-29	11	18	7	71	110	19	146	92	164	47
13	8	collaborate	contingent	99.83	817.289410838	453033.220049	436750.623114	454267.923696	457374.023543	460162.788942	None	2788.76539825	5	3	4	90	0	1	1	46	[1165, 311]	44	1	0	1	152	[179, 468]	-62	1	0	1	34	[468, 891]	56	1	0	1	17	[661, 135]	73	1	0	1	91	[1207, 604]	-1	0	1	1	62	[1251, 177]	28	0	1	1	169	[1398, 838]	-79	1	0	1	140	[314, 840]	-50	-1	90	91	46	152	34	17	62	169	140
14	8	collaborate	contingent	50.55	890.469048952	485696.57016	471969.571136	487267.024579	490388.933932	497452.477649	None	7063.54371622	6	2	0	150	1	0	1	130	[419, 402]	20	1	0	1	143	[1055, 878]	7	1	0	1	4	[1227, 730]	-34	1	0	1	57	[541, 844]	-87	1	0	1	105	[1048, 659]	45	0	1	1	164	[1330, 357]	-14	0	1	1	71	[1443, 504]	79	1	0	1	26	[185, 327]	-56	20	150	130	143	4	57	105	164	71	26
15	8	collaborate	contingent	68.08	939.03244379	519328.994015	503213.712763	521632.735779	524739.260444	531836.389647	None	7097.12920309	5	3	7	80	1	0	1	174	[233, 169]	86	1	0	1	136	[678, 113]	-56	1	0	1	162	[633, 634]	-82	0	1	1	77	[1034, 611]	3	1	0	1	119	[423, 428]	-39	0	1	1	19	[1320, 815]	61	0	1	1	90	[1259, 163]	-10	1	0	1	65	[820, 905]	15	15	80	65	174	136	162	77	119	19	90
16	8	collaborate	contingent	1.0	988.767652256	565135.074656	541020.854531	566370.393354	569477.367027	576491.837571	None	7014.47054356	6	2	4	120	1	0	1	165	[971, 817]	-45	1	0	1	63	[171, 506]	57	1	0	1	102	[309, 631]	18	1	0	1	175	[496, 474]	-55	1	0	1	32	[441, 799]	88	0	1	1	115	[1230, 854]	5	1	0	1	83	[1271, 334]	37	0	1	1	19	[1463, 737]	-79	88	120	32	165	63	102	175	115	83	19
17	8	collaborate	contingent	10.27	1043.5612743	610057.126007	585641.781564	611341.797179	614448.129411	620109.471629	None	5661.34221723	5	3	1	32	1	0	1	83	[457, 698]	-51	1	0	1	175	[252, 233]	37	0	1	1	162	[1360, 695]	50	0	1	1	65	[1128, 555]	-33	0	1	1	45	[1343, 286]	-13	1	0	1	113	[1227, 119]	-81	1	0	1	127	[683, 425]	85	1	0	1	24	[1087, 309]	8	37	32	175	83	162	65	45	113	127	24
18	8	collaborate	contingent	97.3	1114.13721623	644474.860276	627640.657393	646711.045835	649817.768064	655578.930238	None	5761.16217389	5	3	7	64	1	0	1	146	[420, 692]	-82	1	0	1	9	[173, 243]	55	0	1	1	58	[1403, 386]	6	1	0	1	25	[196, 702]	39	1	0	1	128	[531, 522]	-64	0	1	1	116	[1262, 524]	-52	0	1	1	172	[1148, 271]	72	1	0	1	68	[840, 704]	-4	-4	64	68	146	9	58	25	128	116	172
19	8	collaborate	contingent	1.0	1133.4103682	679543.786599	662075.307012	680827.887438	683934.53306	690998.387234	None	7063.85417369	5	3	5	14	1	0	1	16	[791, 749]	-2	1	0	1	148	[1370, 301]	46	0	1	1	48	[962, 735]	-34	1	0	1	77	[1087, 398]	-63	0	1	1	64	[1085, 881]	-50	1	0	1	94	[1154, 156]	-80	0	1	1	167	[621, 784]	27	1	0	1	28	[494, 145]	-14	-80	14	94	16	148	48	77	64	167	28
20	8	collaborate	contingent	7.21	1181.82694747	717552.402435	696959.800706	719838.006445	722961.659052	728221.137352	None	5259.4782995	5	3	3	79	0	1	1	77	[1254, 917]	2	1	0	1	161	[1087, 195]	-82	1	0	1	59	[1285, 193]	20	1	0	1	39	[661, 222]	40	0	1	1	100	[370, 444]	-21	1	0	1	118	[1439, 230]	-39	0	1	1	142	[966, 811]	-63	1	0	1	88	[170, 756]	-9	40	79	39	77	161	59	100	118	142	88
21	8	collaborate	contingent	1.01	1221.41594896	752971.745438	735669.260532	754889.689367	758015.228544	763490.222239	None	5474.99369555	5	3	1	50	1	0	1	9	[472, 720]	41	1	0	1	156	[424, 205]	74	1	0	1	92	[745, 225]	-42	1	0	1	54	[1187, 212]	-4	0	1	1	107	[1419, 839]	-57	0	1	1	178	[1265, 586]	52	0	1	1	39	[1091, 551]	11	1	0	1	144	[1219, 426]	86	74	50	156	9	92	54	107	178	39	144
22	8	collaborate	contingent	71.53	1285.94014806	799394.245431	770136.382463	800747.358362	803852.538934	808261.23988	None	4408.70094625	5	3	1	130	1	0	1	156	[859, 150]	-26	1	0	1	116	[826, 827]	14	0	1	1	35	[1400, 621]	-85	1	0	1	7	[948, 315]	-57	0	1	1	84	[1453, 461]	46	1	0	1	134	[476, 388]	-4	0	1	1	65	[1122, 379]	65	1	0	1	102	[345, 709]	28	14	130	116	156	35	7	84	134	65	102
