trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	54.01	27.5088025789	56087.9628713	14340.0772365	57975.0861544	61081.2208008	68111.381615	None	7030.16081418	4	4	2	132	1	0	1	17	[230, 470]	-65	0	1	1	161	[1471, 937]	-29	1	0	1	151	[505, 161]	-19	0	1	1	66	[312, 661]	66	0	1	1	30	[1096, 720]	-78	1	0	1	4	[467, 497]	-52	0	1	1	110	[834, 732]	22	1	0	1	86	[348, 315]	46	-19	132	151	17	161	66	30	4	110	86
2	8	collaborate	contingent	74.9	65.4637063512	80486.8299806	73438.881155	82756.436929	85879.9098467	92993.8557503	None	7113.94590363	4	4	3	35	0	1	1	91	[1288, 938]	-56	0	1	1	159	[1400, 678]	56	1	0	1	41	[734, 882]	-6	1	0	1	22	[507, 484]	13	0	1	1	116	[1408, 502]	-81	0	1	1	5	[1323, 217]	30	1	0	1	174	[172, 777]	41	1	0	1	104	[849, 205]	-69	13	35	22	91	159	41	116	5	174	104
3	8	collaborate	contingent	81.3	131.391086522	103514.67905	98370.6984204	105017.661556	108123.233569	114285.659043	None	6162.42547399	4	4	5	75	0	1	1	133	[1383, 702]	-58	0	1	1	89	[917, 862]	-14	0	1	1	15	[1038, 263]	60	0	1	1	113	[1500, 250]	-38	1	0	1	2	[413, 652]	73	1	0	1	64	[778, 713]	11	1	0	1	40	[272, 345]	35	1	0	1	25	[187, 865]	50	11	75	64	133	89	15	113	2	40	25
4	8	collaborate	contingent	99.32	228.955724636	124088.269296	120164.422731	125189.766157	128313.111154	135326.639646	None	7013.52849197	4	4	7	155	1	0	1	77	[550, 670]	78	0	1	1	36	[1374, 322]	-61	0	1	1	114	[1415, 859]	41	1	0	1	169	[237, 283]	-14	1	0	1	54	[242, 487]	-79	0	1	1	24	[1274, 637]	-49	0	1	1	11	[1231, 465]	-36	1	0	1	157	[614, 107]	-2	-2	155	157	77	36	114	169	54	24	11
5	8	collaborate	contingent	89.62	306.053000994	156118.138347	141221.501978	157369.777681	160476.494754	167539.942205	None	7063.44745078	4	4	2	64	0	1	1	140	[1259, 827]	-76	0	1	1	152	[1360, 592]	-88	1	0	1	56	[217, 342]	8	1	0	1	39	[658, 444]	25	1	0	1	127	[253, 621]	-63	1	0	1	174	[1341, 330]	70	0	1	1	23	[898, 872]	41	0	1	1	80	[936, 660]	-16	8	64	56	140	152	39	127	174	23	80
6	8	collaborate	contingent	3.17	326.411152965	188548.248652	173668.575222	189800.033501	192924.012606	200021.233087	None	7097.22048117	4	4	0	37	1	0	1	170	[182, 229]	47	1	0	1	66	[180, 617]	-29	1	0	1	136	[1101, 864]	81	0	1	1	152	[893, 305]	65	1	0	1	47	[652, 610]	-10	0	1	1	90	[1362, 458]	-53	0	1	1	17	[1503, 395]	20	0	1	1	105	[1053, 419]	-68	47	37	170	66	136	152	47	90	17	105
7	8	collaborate	contingent	97.3	398.641855747	212278.222386	205781.583525	213530.094838	216653.178127	223683.554098	None	7030.37597105	4	4	3	79	0	1	1	155	[988, 753]	-76	0	1	1	125	[1090, 134]	-46	0	1	1	169	[1050, 375]	90	1	0	1	75	[556, 237]	4	1	0	1	142	[535, 576]	-63	0	1	1	3	[1193, 524]	76	1	0	1	47	[584, 815]	32	1	0	1	100	[372, 187]	-21	4	79	75	155	125	169	142	3	47	100
8	8	collaborate	contingent	57.52	468.052163644	243356.120168	231498.917251	244607.927009	247730.688113	254828.810274	None	7098.12216072	4	4	6	124	1	0	1	32	[620, 673]	-88	0	1	1	131	[1475, 589]	-7	0	1	1	86	[1131, 315]	38	0	1	1	97	[1407, 129]	27	1	0	1	156	[175, 474]	-32	1	0	1	115	[721, 363]	9	1	0	1	142	[335, 365]	-18	0	1	1	54	[1264, 628]	70	-18	124	142	32	131	86	97	156	115	54
9	8	collaborate	contingent	97.3	545.461362742	273114.291181	261457.746783	274366.120747	277472.488144	284502.977742	None	7030.48959733	4	4	1	128	1	0	1	6	[723, 135]	-58	1	0	1	124	[351, 376]	4	0	1	1	24	[1130, 189]	-76	0	1	1	67	[1067, 427]	61	0	1	1	134	[1076, 613]	-6	1	0	1	93	[919, 273]	35	0	1	1	83	[1443, 709]	45	1	0	1	35	[617, 565]	-87	4	128	124	6	24	67	134	93	83	35
10	8	collaborate	contingent	34.58	595.038639099	304860.012418	290297.63672	306095.22579	309218.237238	316248.821402	None	7030.58416372	4	4	1	33	0	1	1	85	[1415, 217]	-52	1	0	1	8	[726, 401]	25	1	0	1	70	[366, 641]	-37	0	1	1	60	[863, 146]	-27	1	0	1	101	[645, 146]	-68	0	1	1	158	[1256, 117]	55	1	0	1	49	[304, 793]	-16	0	1	1	39	[1396, 777]	-6	25	33	8	85	70	60	101	158	49	39
11	8	collaborate	contingent	37.55	649.577981515	337640.986393	322193.630184	338892.837219	342016.305372	349048.197337	None	7031.8919656	4	4	7	133	0	1	1	169	[983, 833]	-36	1	0	1	85	[973, 165]	48	1	0	1	21	[774, 919]	-68	1	0	1	73	[333, 597]	60	0	1	1	58	[1249, 854]	75	0	1	1	39	[1106, 933]	-86	0	1	1	108	[1394, 553]	25	1	0	1	157	[348, 417]	-24	-24	133	157	169	85	21	73	58	39	108
12	8	collaborate	contingent	68.08	733.276603563	371674.632236	358264.469941	372926.453372	376052.688874	383164.440325	None	7111.7514502	4	4	3	56	0	1	1	23	[1169, 328]	33	1	0	1	163	[479, 605]	73	0	1	1	104	[1110, 493]	-48	1	0	1	71	[248, 921]	-15	0	1	1	51	[956, 245]	5	0	1	1	123	[673, 944]	-67	1	0	1	9	[570, 179]	47	1	0	1	152	[660, 337]	84	-15	56	71	23	163	104	51	123	9	152
13	8	collaborate	contingent	1.0	777.30388047	395655.133965	390360.904568	396990.494612	400114.567916	407143.839146	None	7029.27123034	3	5	5	62	0	1	1	119	[1105, 283]	-57	0	1	1	96	[1402, 128]	-34	0	1	1	146	[1121, 599]	-84	1	0	1	106	[951, 334]	-44	1	0	1	69	[785, 310]	-7	1	0	1	159	[438, 219]	83	0	1	1	130	[1283, 426]	-68	0	1	1	83	[1206, 144]	-21	83	62	159	119	96	146	106	69	130	83
14	8	collaborate	contingent	98.47	862.303222886	423292.819332	412371.743049	424695.5534	427818.483111	430456.374471	None	2637.89136008	3	5	6	0	1	0	1	144	[361, 856]	36	0	1	1	42	[1047, 265]	-42	1	0	1	24	[183, 749]	-24	0	1	1	65	[1302, 811]	-65	0	1	1	85	[651, 196]	-85	0	1	1	75	[1471, 501]	-75	1	0	1	177	[355, 660]	3	0	1	1	52	[1035, 551]	-52	3	0	177	144	42	24	65	85	75	52
15	8	collaborate	contingent	84.27	947.965499794	450395.97697	440242.219349	451647.729197	454754.040881	459647.029479	None	4892.98859852	4	4	2	84	1	0	1	126	[575, 765]	-42	0	1	1	29	[730, 130]	55	1	0	1	94	[318, 818]	-10	1	0	1	150	[181, 232]	-66	0	1	1	14	[1087, 882]	70	0	1	1	106	[1072, 673]	-22	0	1	1	48	[775, 314]	36	1	0	1	78	[445, 377]	6	-10	84	94	126	29	150	14	106	48	78
16	8	collaborate	contingent	47.16	991.866614248	469400.052855	466760.851127	470653.091991	473775.012627	480888.927375	None	7113.91474803	4	4	2	74	1	0	1	18	[645, 928]	56	0	1	1	119	[1219, 499]	-45	1	0	1	95	[429, 717]	-21	1	0	1	157	[806, 811]	-83	0	1	1	141	[1153, 767]	-67	0	1	1	55	[1092, 315]	19	0	1	1	29	[1316, 658]	45	1	0	1	83	[232, 543]	-9	-21	74	95	18	119	157	141	55	29	83
17	8	collaborate	contingent	74.9	1074.12819352	490174.056407	486132.586112	491409.801257	494533.243752	501546.111745	None	7012.86799338	5	3	6	51	1	0	1	99	[974, 885]	-48	1	0	1	117	[731, 828]	-66	0	1	1	20	[1195, 484]	31	1	0	1	8	[531, 364]	43	0	1	1	40	[1448, 255]	11	0	1	1	162	[1230, 254]	69	1	0	1	64	[861, 724]	-13	1	0	1	87	[1202, 906]	-36	-13	51	64	99	117	20	8	40	162	87
18	8	collaborate	contingent	87.05	1146.41239262	514506.580795	506605.842883	515823.672167	518946.926262	526044.253406	None	7097.32714327	4	4	1	38	1	0	1	161	[1288, 877]	57	1	0	1	47	[383, 824]	-9	0	1	1	84	[1408, 743]	-46	1	0	1	140	[192, 833]	78	0	1	1	69	[1456, 593]	-31	0	1	1	116	[498, 231]	-78	1	0	1	179	[939, 887]	39	0	1	1	94	[1352, 269]	-56	-9	38	47	161	84	140	69	116	179	94
19	8	collaborate	contingent	97.3	1243.7109419	539470.877583	531120.98047	540723.30607	543845.988369	549457.022874	None	5611.034505	4	4	5	89	0	1	1	127	[400, 362]	-38	1	0	1	14	[627, 585]	75	1	0	1	42	[844, 123]	47	0	1	1	106	[1096, 931]	-17	1	0	1	81	[175, 423]	8	1	0	1	93	[677, 370]	-4	0	1	1	156	[305, 552]	-67	0	1	1	175	[1407, 924]	-86	-4	89	93	127	14	42	106	81	156	175
